model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgage_rate__romer_surprise__land_precip_shock,corporate_mortgage_rate,romer_surprise,land_precip_shock,Climate = -3 SD,0,0.5741641363696819,0.3510220844687442,0.2250874572890193,0.9232408154503444,-0.003215812408797869,1.1515440851481618,196
corporate_mortgage_rate__romer_surprise__land_precip_shock,corporate_mortgage_rate,romer_surprise,land_precip_shock,Climate = 0,0,0.45173630888642535,0.23795495909808237,0.21510012396248293,0.6883724938103678,0.06033523136285551,0.8431373864099951,196
corporate_mortgage_rate__romer_surprise__land_precip_shock,corporate_mortgage_rate,romer_surprise,land_precip_shock,Climate = +3 SD,0,0.3293084814031688,0.16456234669494452,0.16565815845288476,0.49295880435345285,0.058627508582343835,0.5999894542239939,196
corporate_mortgage_rate__romer_surprise__land_precip_shock,corporate_mortgage_rate,romer_surprise,land_precip_shock,Climate = -3 SD,1,0.39683347159655036,0.49090501772354056,-0.09135089318584821,0.8850178363789489,-0.41063342729469177,1.2043003704877924,196
corporate_mortgage_rate__romer_surprise__land_precip_shock,corporate_mortgage_rate,romer_surprise,land_precip_shock,Climate = 0,1,0.4882935860171683,0.36832789674509725,0.12200700549293836,0.8545801665413983,-0.11755189085141204,1.0941390628857488,196
corporate_mortgage_rate__romer_surprise__land_precip_shock,corporate_mortgage_rate,romer_surprise,land_precip_shock,Climate = +3 SD,1,0.5797537004377863,0.27643737515585376,0.3048483735002355,0.854659027375337,0.12505468128773561,1.034452719587837,196
corporate_mortgage_rate__romer_surprise__land_precip_shock,corporate_mortgage_rate,romer_surprise,land_precip_shock,Climate = -3 SD,2,0.19846017232189722,0.5846535689758325,-0.38295317829283665,0.7798735229366311,-0.7632093711181234,1.1601297157619177,196
corporate_mortgage_rate__romer_surprise__land_precip_shock,corporate_mortgage_rate,romer_surprise,land_precip_shock,Climate = 0,2,0.46181142972643224,0.4692203024695436,-0.004808399026470234,0.9284312584793347,-0.309987286629863,1.2336101460827276,196
corporate_mortgage_rate__romer_surprise__land_precip_shock,corporate_mortgage_rate,romer_surprise,land_precip_shock,Climate = +3 SD,2,0.7251626871309673,0.4145793917640801,0.3128809427748732,1.1374444314870615,0.04324027092848515,1.4070851033334495,196
corporate_mortgage_rate__romer_surprise__land_precip_shock,corporate_mortgage_rate,romer_surprise,land_precip_shock,Climate = -3 SD,3,0.2340394788026971,0.6096015064151927,-0.37218354486843225,0.8402625024738264,-0.7686657700194133,1.2367447276248076,192
