model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,0,0.0012856486277000993,0.001561869440158458,-2.6756474960988336e-4,0.002838862005010082,-0.001283397985769205,0.0038546952411694035,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock alone (no climate shock),0,0,-0.0017208758614123674,9.35405571209574e-4,-0.0026510973057000506,-7.906544171246843e-4,-0.003259481107887048,-1.822706149376865e-4,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,0,-0.0047274003505248345,0.0027374992377642107,-0.007449728047800145,-0.0020050726532495245,-0.009230185900538184,-2.2461480051148407e-4,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,1,0.008654770750011379,0.0026293479928497223,0.00603999491082023,0.011269546589202527,0.004329878167454941,0.012979663332567816,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock alone (no climate shock),0,1,0.005854158191558795,0.0012956639381315842,0.004565674974293247,0.007142641408824342,0.0037229806636128317,0.007985335719504758,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,1,0.0030535456331062115,0.0030851725490438466,-1.4528529352771016e-5,0.006121619795565194,-0.002021111623959676,0.008128202890172099,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,2,0.013290425396277398,0.003999936595763702,0.009312656916281,0.017268193876273798,0.00671111517915955,0.019869735613395244,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock alone (no climate shock),0,2,0.011985121903799781,0.003314160453876191,0.00868932891422059,0.015280914893378973,0.006533813060942393,0.01743643074665717,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,2,0.010679818411322164,0.0057122750394237275,0.004999201467304934,0.016360435355339396,0.0012839620945816858,0.020075674728062643,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,3,0.026573310424426597,0.006322041441666406,0.020286306474782686,0.03286031437407051,0.0161744776293641,0.03697214321948909,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock alone (no climate shock),0,3,0.022078022976812765,0.0060544390171830016,0.01605713836776242,0.02809890758586311,0.012119357000242803,0.03203668895338273,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,3,0.017582735529198933,0.010832948624337499,0.006809824371320257,0.02835564668707761,-2.3587930612155653e-4,0.03540135036451943,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,4,0.03340203880626766,0.008314379112653423,0.02513373895369495,0.04167033865884037,0.01972610216697012,0.0470779754455652,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock alone (no climate shock),0,4,0.028473903669838256,0.0061142544408599635,0.022393535141174824,0.03455427219850169,0.018416850076685604,0.03853095726299091,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,4,0.023545768533408853,0.011209894997348566,0.012398000083341996,0.034693536983475715,0.005107132089274907,0.0419844049775428,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,5,0.037734365651812464,0.009750993148007621,0.028037413646651996,0.047431317656972935,0.021695409205933183,0.05377332209769174,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock alone (no climate shock),0,5,0.03116521620711807,0.0067672279999558054,0.024435492975084246,0.03789493943915189,0.02003411668698321,0.042296315727252926,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,5,0.024596066762423673,0.012935702738516757,0.011732055199247691,0.03746007832559965,0.003318729195808303,0.04587340432903904,184
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,6,0.04849183318833178,0.016624728683154122,0.03195924069314586,0.0650244256835177,0.02114658791676156,0.075837078459902,180
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock alone (no climate shock),0,6,0.028760565016561584,0.007992958101209037,0.020811904822648997,0.03670922521047417,0.015613318893716751,0.04190781113940642,180
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,6,0.009029296844791389,0.019973082954621697,-0.01083309295143451,0.028891686641017288,-0.02382350109452072,0.0418820947841035,180
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,7,0.052414238569210604,0.016203561922816002,0.03630047867898884,0.06852799845943236,0.025761750970933944,0.07906672616748726,176
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock alone (no climate shock),0,7,0.024667018071749466,0.009111991347355039,0.015605526444633188,0.03372850969886575,0.009679126055302105,0.039654910088196826,176
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,7,-0.0030802024257116714,0.022548984070049866,-0.02550421739254391,0.019343812541120567,-0.040169980657404146,0.0340095758059808,176
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,8,0.047339451158064795,0.012618837208740016,0.034790549018892725,0.059888353297236865,0.026583311007358598,0.06809559130877099,172
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock alone (no climate shock),0,8,0.015450346534241245,0.011118774821663468,0.004393193261203892,0.0265074998072786,-0.002838410558428612,0.0337391036269111,172
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,8,-0.016438758089582305,0.023762229108416667,-0.04006929414908353,0.007191777969918916,-0.05552414682301329,0.022646630643848684,172
corporate_mortgage_rate__target__pop_precip_shock,corporate_mortgage_rate,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,9,0.03520483421950301,0.010061249741915754,0.025199345098712793,0.04521032334029323,0.018655551089848326,0.05175411734915769,168
