model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,0,0.00146994191479811,9.235982050940881e-4,5.514623988239157e-4,0.0023884214307723045,-4.924194269676982e-5,0.00298912577229299,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock alone (no climate shock),0,0,4.1414578170289386e-4,8.046102991578917e-4,-3.8600527320642946e-4,0.0012142968366122171,-9.093203871494728e-4,0.0017376119505552606,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,0,-6.416503513923223e-4,0.0010821104373192573,-0.0017177636062880113,4.344629035033668e-4,-0.0024215636289789456,0.001138262926194301,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,1,0.0016393319872272157,0.0017991460165614004,-1.4984295198769426e-4,0.0034285069264421257,-0.001319999863529096,0.004598663837983527,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock alone (no climate shock),0,1,0.003160442913628526,0.002382953408167918,7.906961115543912e-4,0.005530189715702661,-7.591666426528441e-4,0.007080052469909896,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,1,0.004681553840029836,0.003542102722880265,0.0011590818641228247,0.008204025815936848,-0.0011446866707344504,0.010507794350794124,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,2,5.929086440902797e-4,0.001666833330440295,-0.0010646869013628394,0.0022505041895433987,-0.0021487882050080405,0.0033346054931885994,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock alone (no climate shock),0,2,0.002085580243899661,0.002519416981670315,-4.1987383461490613e-4,0.004591034322414228,-0.0020584919162038853,0.006229652404003207,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,2,0.003578251843709042,0.004130304111672623,-5.291616401974552e-4,0.007685665327615539,-0.003215493854788248,0.010371997542206333,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,3,-7.799336024085922e-5,0.0025434459261256728,-0.0026073432119942666,0.0024513564915125477,-0.004261589616783616,0.004105602896301898,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock alone (no climate shock),0,3,0.0013719797334539997,0.0026575810429758187,-0.001270872685002101,0.0040148321519101,-0.0029993520840022507,0.00574331155091025,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,3,0.002821952827148859,0.00418983770813202,-0.0013446643110725139,0.006988569965370232,-0.004069716923410135,0.009713622577707852,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,4,-6.485465717136646e-4,0.003085820998241912,-0.003717265589589524,0.002420172446162195,-0.005724270432794884,0.004427177289367554,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock alone (no climate shock),0,4,-2.8690110773455055e-4,0.0023108054743712658,-0.0025848998282873093,0.0020110976128182084,-0.004087837873433443,0.003514035657964342,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,4,7.474435624456354e-5,0.0029402189149022964,-0.0028491795220424517,0.002998668234531579,-0.004761485389963799,0.004910974102452926,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,5,-0.382494959258551,0.16476966345811328,-0.5463514499982898,-0.21863846851881222,-0.653516937809202,-0.11147298070790002,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock alone (no climate shock),0,5,0.3395423247979114,0.26253619935571276,0.07846113172069552,0.6006235178751274,-0.09229129491838733,0.7713759445142101,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,5,1.0615796088543739,0.6723449078723378,0.39296091498479224,1.7301983027239554,-0.04432935142179395,2.1674885691305414,184
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,6,1.3102911308451042,0.9503519252720686,0.3652061669347293,2.255376094755479,-0.25289868031897167,2.87348094200918,180
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock alone (no climate shock),0,6,0.36615994978388894,0.3288823277140312,0.03910032634029709,0.6932195732274808,-0.1748033397967777,0.9071232393645556,180
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,6,-0.5779712312773262,0.34994329956816683,-0.9259751042093219,-0.22996735834533044,-1.1535767367993908,-0.002365725755261616,180
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,7,0.007386337121229936,0.23318828248944462,-0.22450958867254114,0.23928226291500101,-0.3761742550941174,0.39094692933657726,176
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock alone (no climate shock),0,7,-0.1835613571935818,0.19712822015049933,-0.37959706972535356,0.012474355338189996,-0.5078084250826187,0.14068571069545516,176
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,7,-0.37450905150839353,0.27047004458940194,-0.6434801195224178,-0.10553798349436933,-0.8193926853329976,0.07037458231621047,176
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,8,0.45549714048665224,0.5948921095590342,-0.13609800752360945,1.047092288496914,-0.5230133035663372,1.4340075845396418,172
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock alone (no climate shock),0,8,0.3070187487900262,0.3080739417342222,6.52188820926769e-4,0.6133853087591257,-0.19971779164074543,0.8137552892207979,172
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,8,0.15854035709340022,0.1727234731508886,-0.013225862396869098,0.3303065765836696,-0.125564474178494,0.44264518836529443,172
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,9,-0.981489745107113,0.6713290278608814,-1.6490981890909064,-0.31388130112331936,-2.085727731461889,0.12274824124766326,168
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock alone (no climate shock),0,9,-0.22422079519644145,0.26917525428998473,-0.49190424879010675,0.04346265839722385,-0.6669746885009075,0.21853309810802457,168
corporate_mortgages__central_bank_information__pop_precip_shock,corporate_mortgages,central_bank_information,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,9,0.5330481547142301,0.1973952407124298,0.3367469014796674,0.7293494079487928,0.20836187708543114,0.8577344323430289,168
