model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,0,-0.06773068882447907,0.017881809780863043,-0.0855133955271156,-0.04994798212184254,-0.09714364849898793,-0.03831772914997019,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,0,-0.019875999417723746,0.005816825603208665,-0.02566058749409093,-0.014091411341356563,-0.0294438261085057,-0.010308172726941792,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,0,0.027978689989031576,0.006844335512655658,0.02117228658313869,0.034785093394924464,0.016720759896967155,0.039236620081096,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,1,-0.10941703353428481,0.028534993371795842,-0.13779388264020523,-0.08104018442836437,-0.1563529208769194,-0.06248114619165022,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,1,-0.03106688070856994,0.008180784597775537,-0.03920232644266875,-0.02293143497447113,-0.04452307392552977,-0.017610687491610114,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,1,0.04728327211714492,0.013089224251152214,0.03426658987548632,0.06029995435880352,0.025753414133656043,0.0688131301006338,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,2,-0.10771863548295386,0.02849065858883475,-0.13605139551445825,-0.07938587545144948,-0.1545815985970348,-0.06085567236887293,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,2,-0.028536388814502645,0.007907362794862404,-0.03639992808125307,-0.02067284954775222,-0.041542843187253195,-0.015529934441752095,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,2,0.05064585785394858,0.01303120545470167,0.03768687286179457,0.0636048428461026,0.02921143229823274,0.07208028340966442,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,3,-0.09592301674871581,0.026853262603043875,-0.12262745543421445,-0.06921857806321717,-0.14009270313681285,-0.05175333036061878,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,3,-0.02232205350044352,0.006778212724788543,-0.029062700578682148,-0.015581406422204893,-0.033471221285060575,-0.01117288571582647,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,3,0.051278909747828776,0.014014561334403566,0.03734201874910455,0.065215800746553,0.028227007706801217,0.07433081178885634,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,4,-0.077594790663792,0.032181096638867916,-0.1095975359066491,-0.04559204542093491,-0.1305279841895097,-0.024661597138074302,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,4,-0.017922582090069875,0.007965491581653753,-0.025843927987086374,-0.010001236193053374,-0.031024649808604463,-0.004820514371535285,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,4,0.041749626483652255,0.016806542236448178,0.025036228067118686,0.058463024900185824,0.014105324529517373,0.06939392843778713,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,5,-2.836972468833355,2.8156818939716772,-5.637049524904459,-0.036895412762251834,-7.468357044474256,1.7944121068075467,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,5,-0.9943839273401904,0.8340096153947458,-1.82377136404223,-0.16499649063815103,-2.3662076681346402,0.37743981345425914,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,5,0.8482046141529742,1.1776511993258671,-0.32291990468805487,2.0193291329940033,-1.0888592323419286,2.785268460647877,184
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,6,-3.1723217793362575,1.686444911912157,-4.84942021658628,-1.495223342086235,-5.946276809348824,-0.3983667493236913,180
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,6,-0.27783913511873237,0.2630404446244684,-0.5394217788785336,-0.016256491358931202,-0.7105021644942169,0.1548238942567522,180
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,6,2.6166435090987927,1.4242275745573727,1.2003091700955069,4.032977848102078,0.273997617483801,4.959289400713784,180
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,7,1.1189071210021995,1.9360457158240016,-0.8064088033534487,3.044223045357848,-2.0656046966147676,4.303418938619167,176
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,7,-0.4453874867890979,0.34252128469984827,-0.7860104785259943,-0.10476449505220153,-1.008784864235721,0.1180098906575251,176
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,7,-2.0096820945803953,1.9106783623230486,-3.909771254270852,-0.10959293488993849,-5.15246832878516,1.1331041396243688,176
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,8,2.5885443476173857,3.2877744284870554,-0.6810088510070078,5.85809754624178,-2.8193633456778486,7.9964520409126205,172
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,8,0.3338839513299942,0.6465398353472069,-0.30907268474017163,0.97684058740016,-0.7295794418094663,1.3973473444694549,172
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,8,-1.9207764449573974,2.037038340540771,-3.9465252811086815,0.10497239119388646,-5.271406347635091,1.4298534577202966,172
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,9,-5.288673169937711,3.666151841870814,-8.934506770130099,-1.6428395697453233,-11.318956323993739,0.7416099841183152,168
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,9,-0.6232243886859855,0.4487666237713217,-1.069503895416802,-0.17694488195516916,-1.3613797974510105,0.11493102007903944,168
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,9,4.042224392565741,2.851931483914591,1.2060986460127863,6.878350139118695,-0.6487854525682666,8.733234237699747,168
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,10,1.6994584396695855,3.3014865021144217,-1.583730838668695,4.9826477180078665,-3.7310036076646482,7.129920487003819,164
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,10,-0.4085102975726484,0.353837543529535,-0.7603868321111686,-0.05663376303412809,-0.9905212643988033,0.17350066925350643,164
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,10,-2.5164790348148824,3.1616433685722485,-5.660600206589395,0.6276421369596297,-7.716919596738013,2.683961527108248,164
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,11,-3.0405493867568145,2.996830340132697,-6.0207709431439405,-0.06032783036968814,-7.9698966410822925,1.8887978675686634,160
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,11,-0.4704906753200323,0.448336843824271,-0.9163427839944587,-0.024638566645605986,-1.20793915898036,0.26695780834029537,160
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,11,2.09956803611675,2.1165121385837646,-0.005214145007008231,4.204350217240508,-1.3817846315195705,5.580920703753071,160
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = -3 SD,12,-2.2209921658302085,1.512379411464366,-3.7249897939650745,-0.7169945376953426,-4.708634926104104,0.2666505944436861,156
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = 0,12,-0.6969667481805489,0.5238220129997506,-1.2178856784069527,-0.17604781795414504,-1.5585772861402096,0.16464378977911176,156
corporate_mortgages__country_risk__land_temp_shock,corporate_mortgages,country_risk,land_temp_shock,Climate = +3 SD,12,0.8270586694691108,0.6319528077505544,0.19860821798503425,1.4555091209531872,-0.21241119842155454,1.866528537359776,156
