model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,0,-0.021897240762744838,0.1499810350592767,-0.17104706340940096,0.12725258188391125,-0.26859409025393194,0.2247996087284423,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,0,-0.12847853687837532,0.125966205716268,-0.25374662317093954,-0.0032104505858111254,-0.33567450722409387,0.07871743346734325,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,0,-0.2350598329940058,0.14290822646673643,-0.37717604537937655,-0.09294362060863504,-0.4701229476190195,3.2816310079064603e-6,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,1,0.10059956312296059,0.21691702551150405,-0.11511528289936576,0.31631440914528697,-0.2561971930371617,0.4573963192830829,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,1,-0.29385142521694163,0.1454376170670646,-0.4384830100245254,-0.1492198404093579,-0.533075017144882,-0.0546278332890012,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,1,-0.6883024135568439,0.2233897910338404,-0.9104541522790259,-0.46615067483466177,-1.0557459215627876,-0.32085890555090013,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,2,0.03751701800061297,0.22656699409515949,-0.187794315352456,0.26282835135368193,-0.33515252398430273,0.41018655998552866,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,2,-0.2826335162514674,0.1261917358603564,-0.40812588277372175,-0.15714114972921303,-0.4902004506726767,-0.07506658183025808,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,2,-0.6027840505035478,0.25371899947791976,-0.8550969096544563,-0.3504711913526392,-1.0201146670213026,-0.18545343398579295,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,3,0.14001704293310316,0.3031132762367896,-0.1614163441261078,0.4414504299923141,-0.3585599288621235,0.6385940147283298,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,3,-0.18392383115323094,0.10095763996999889,-0.2843219520916484,-0.08352571021481346,-0.3499843714263444,-0.017863290880117427,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,3,-0.5078647052395651,0.20809877591266326,-0.714810173432213,-0.30091923704691714,-0.8501567315636708,-0.16557267891545935,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,4,-0.03045084597957093,0.31362385268638954,-0.34233655864616536,0.2814348666870235,-0.5463161775692728,0.4854144856101309,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,4,-0.2239896286866658,0.10027810839925363,-0.3237119840976658,-0.12426727327566585,-0.38893243899101093,-0.05904681838232065,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,4,-0.4175284113937607,0.2780807617125807,-0.6940680170478095,-0.14098880573971184,-0.874930560882127,0.03987373809460565,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,5,0.09941653598619746,0.3519692466482248,-0.25060205599052776,0.4494351279629226,-0.4795213559385122,0.6783544279109072,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,5,-0.14890175643868261,0.12421086110399511,-0.27242422644382225,-0.025379286433542966,-0.3532104418323544,0.05540692895498919,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,5,-0.39722004886356266,0.3038737766877351,-0.699409721591401,-0.09503037613572435,-0.8970479325838252,0.10260783485669989,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,6,0.3224119186718981,0.3138185919787732,0.010332545980822061,0.6344912913629741,-0.193773730549191,0.8385975678929872,180
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,6,-0.1127364714115601,0.1775328708186468,-0.28928543432602216,0.06381249150290197,-0.40475205788071833,0.17927911505759817,180
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,6,-0.5478848614950182,0.26023032642235494,-0.8066729610559764,-0.28909676193406003,-0.9759256577535942,-0.11984406523644237,180
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,7,0.4304013927215493,0.24665720233723257,0.18511119340682522,0.6756915920362734,0.024686398843449364,0.8361163865996493,176
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,7,-0.016497464616147678,0.17188330171992564,-0.18742816900364825,0.1544332397713529,-0.29922033686256144,0.26622540763026614,176
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,7,-0.4633963219538446,0.32651677463900974,-0.7881035024938303,-0.13868914141385896,-1.000468622979316,0.07367597907162682,176
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,8,0.3592611232178097,0.2278888001540652,0.1326353094093875,0.5858869370262318,-0.015582596257223524,0.7341048426928429,172
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,8,-0.1646537425504049,0.21675359314110856,-0.38020606196361983,0.05089857686281002,-0.5211816763833209,0.19187419128251113,172
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,8,-0.6885686083186194,0.3468541996290998,-1.0335005014641871,-0.34363671517305167,-1.259092996601894,-0.11804422003534487,172
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,9,0.4325179703937043,0.2769546673854193,0.15709821812053898,0.7079377226668697,-0.02303191875634103,0.8880678595437497,168
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,9,-0.10497301793443083,0.24243206263782607,-0.3460614937674176,0.136115457898556,-0.5037382754535854,0.2937922395847237,168
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,9,-0.642464006262566,0.35519055564477514,-0.9956860543651651,-0.2892419581599668,-1.2267004799737828,-0.05822753255134905,168
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,10,0.5244902556989681,0.22956024855525975,0.29620225685159973,0.7527782545463365,0.14689724825896783,0.9020832631389684,164
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,No climate shock,0,10,0.040428511127459106,0.1931100413511964,-0.1516112918211996,0.2324683140761178,-0.2772092407898049,0.3580662630447231,164
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,+3 SD,3,10,-0.44363323344404987,0.3729883103167338,-0.8145543989836115,-0.0727120679044882,-1.0571444084790305,0.16987794159093067,164
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,-3 SD,-3,11,0.3462714572278631,0.29475176738450376,0.05315323856233595,0.6393896758933904,-0.13855205640489432,0.8310949708606206,160
