model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,0,0.05851168248922879,0.1123859811365494,-0.05325144241427539,0.17027480739273299,-0.12634680620172417,0.24337017118018173,196
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,0,0.010608996818902315,0.037683431290773346,-0.02686558849460033,0.04808358213240496,-0.0513747318157028,0.07259272545350742,196
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,0,-0.03729368885142416,0.04066917397905581,-0.07773746951852517,0.00315009181567686,-0.10418852717599451,0.029601149473146196,196
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,1,0.07708451760561252,0.12055181514286442,-0.042799185298453904,0.19696822050967894,-0.12120557276771135,0.2753746079789364,196
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,1,0.002921570498320198,0.03589857025598835,-0.03277804568870659,0.03862118668534698,-0.05612632298961446,0.06196946398625485,196
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,1,-0.07124137660897212,0.05155062287769684,-0.1225062999140708,-0.01997645330387344,-0.15603460562095928,0.013551852403015041,196
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,2,44.94800773916552,36.3882628580414,8.761412883677579,81.13460259465346,-14.9053584013474,104.80137387967844,196
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,2,11.037850720952356,9.535403588577159,1.5552934527052305,20.520407989199484,-4.646492456164861,26.722193898069573,196
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,2,-22.872306297260806,17.59428690106581,-40.3690836054798,-5.375528989041811,-51.81233292010367,6.067720325582059,196
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,3,-42.00158379978762,33.69820967661388,-75.51303406275147,-8.490133536823755,-97.43020620813712,13.427038608561894,192
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,3,-8.084373283009713,7.153816360711554,-15.198542357954224,-0.9702042080652005,-19.85135407047089,3.682607504451463,192
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,3,25.832837233768196,19.55960054185332,6.3816382824883995,45.284036185047995,-6.339842659221205,58.005517126757596,192
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,4,16.28839850831746,23.275576725932318,-6.858182253039391,39.434979269674315,-21.996518288719567,54.573315305354484,188
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,4,4.082677915538567,5.304700995700087,-1.1926238077060125,9.357979638783146,-4.642778757131803,12.808134588208937,188
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,4,-8.123042677240324,13.014564896072972,-21.065479334685016,4.8193939802043655,-29.530096949741253,13.284011595260605,188
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,5,-10.51268107020902,6.022123890927708,-16.50142964720787,-4.523932493210168,-20.418193394152567,-0.6071687462654705,184
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,5,-0.09988562277411805,1.569712057903698,-1.6608981531258553,1.4611269075776192,-2.681832194486474,2.482060948938238,184
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,5,10.312909824660782,5.924296190840239,4.421446775210193,16.20437287411137,0.5683097480224273,20.057509901299134,184
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,6,-34.84722960348292,29.005590270145063,-63.692067504780795,-6.002391702185047,-82.55717996119935,12.8627207542335,180
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,6,-6.119932685012925,6.006698023800072,-12.093340886841354,-0.14652448318449718,-16.00007171546271,3.7602063454368597,180
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,6,22.60736423345707,17.18285893794279,5.519734706538692,39.694993760375446,-5.655923612013638,50.870652078927776,180
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,7,-3.59213545953383,6.757420686387658,-10.312105731276699,3.1278348122090383,-14.707103384375472,7.522832465307811,176
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,7,-0.294949591723496,1.4674163342131052,-1.7542333332324764,1.1643341497854847,-2.7086346713017546,2.118735487854763,176
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,7,3.002236276086838,3.9661682960147253,-0.9419510520215995,6.946423604195276,-3.52153003071292,9.526002582886596,176
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,8,0.505710430137301,9.807563915195109,-9.247498820411987,10.258919680686589,-15.62629664732975,16.637717507604354,172
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,8,0.2633417381139302,2.359618357694497,-2.0831993390618138,2.609882815289674,-3.617885075761138,4.144568551988998,172
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,8,0.02097304609055939,5.326333904180129,-5.275841693528752,5.317787785709871,-8.740066594554719,8.782012686735836,172
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,9,-32.140762269182424,28.80590618887473,-60.78702276170952,-3.49450177665533,-79.52226154157685,15.240737003212011,168
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,9,-5.038389099349627,5.132785493261586,-10.142728095948273,0.06594989724901978,-13.481069934304845,3.404291735605592,168
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,9,22.06398407048317,18.636487104604512,3.5307825539723012,40.59718558699404,-8.59030933715989,52.718277478126225,168
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,10,-30.92426568291339,30.936001033798615,-61.6888157859595,-0.15971557986728158,-81.80945918673152,19.960927820904732,164
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,10,-2.226992397983467,3.656272361665859,-5.8630012712040225,1.4090164752370882,-8.241025253191978,3.7870404572250433,164
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,10,26.47028088694646,23.947444001777914,2.655556416654292,50.285005357238624,-12.919759235595205,65.86032100948812,164
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,11,-1.9900826102399587,8.374512636311609,-10.318182719459731,6.338017498979813,-15.764930094028038,11.78476487354812,160
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,11,3.414134384730343,4.123805357022306,-0.6868163613831002,7.5150851308437865,-3.3689218136097048,10.197190583070391,160
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,11,8.818351379700644,11.504366266664096,-2.622256345515824,20.25895910491711,-10.104647199799956,27.741349959201244,160
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,-3 SD,-3,12,29.166228447517803,17.841605627662904,11.423503081968931,46.908953813066674,-0.18060127978131035,58.51305817481692,156
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,No climate shock,0,12,5.2706634239216035,4.392776785436759,0.9022319204632199,9.639094927379986,-1.9548114039922755,12.496138251835482,156
corporate_mortgages__romer_surprise__pop_temp_shock,corporate_mortgages,romer_surprise,pop_temp_shock,+3 SD,3,12,-18.624901599674594,9.872107194757382,-28.442296423392797,-8.807506775956393,-34.86307292462499,-2.386730274724197,156
