model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,0,-0.06134560154299022,0.01824239952762919,-0.07948689956190294,-0.043204303524077496,-0.0913516785703089,-0.03133952451567154,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,0,0.061698185422836796,0.042501028606413485,0.01943270248066567,0.10396366836500792,-0.008209785629590668,0.13160615647526425,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,1,-0.033322889234757076,0.026928019157883985,-0.060101670165538065,-0.006544108303976087,-0.07761553921322126,0.010969760743707105,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,1,0.006889533647938595,0.04271095538789038,-0.03558471263696908,0.04936377993284627,-0.0633637362323954,0.07714280352827259,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,2,0.10249600557201548,0.028931630288317054,0.07372471775768852,0.13126729338634244,0.054907708558658126,0.15008430258537284,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,2,-0.22291373902833794,0.05562692327904942,-0.2782323714018928,-0.1675951066547831,-0.31441188554003363,-0.13141559251664225,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,3,0.12024741062259775,0.04152631550943373,0.07895123880358593,0.16154358244160957,0.05194269994297453,0.188552121302221,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,3,-0.4513995821922773,0.16300482831605242,-0.6135010187124281,-0.2892981456721266,-0.7195186652585381,-0.18328049912601657,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,4,0.15057532639290772,0.0702695678526522,0.08069520069209508,0.22045545209372036,0.03499217284616021,0.26615847993965525,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,4,-0.5065168092904432,0.2308584826650467,-0.736095847282541,-0.27693777129834535,-0.8862452218145587,-0.1267883967663277,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,5,0.17406161126989722,0.06068121068079929,0.1137167029456645,0.23440651959412995,0.07424990179377813,0.27387332074601634,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,5,-0.5079662070142168,0.1559657617295626,-0.6630675882769944,-0.3528648257514392,-0.7645070558753368,-0.25142535815309675,184
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,6,0.20109013312972954,0.0680235336802632,0.13344359381760762,0.26873667244185145,0.08920137703769303,0.31297888922176603,180
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,6,-0.4622134438182067,0.18420710871746396,-0.6453996552255649,-0.2790272324108486,-0.7652071747023713,-0.15921971293404213,180
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,7,0.17849863056375528,0.07591635574311324,0.1030030121304603,0.25399424899705025,0.053627337474757286,0.3033699236527533,176
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,7,-0.46106855643839795,0.22713529010467914,-0.6869450362381304,-0.2351920766386655,-0.8346728621757541,-0.0874642507010418,176
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,8,0.13755215681246646,0.07983842155809999,0.05815620911099041,0.21694810451394253,0.006229639542545129,0.2688746740823878,172
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,8,-0.45349908997379296,0.2106726476888411,-0.663004165244632,-0.2439940147029539,-0.8000247586242528,-0.1069734213233331,172
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,9,0.13053946892514187,0.07444878964596828,0.05650328316628406,0.20457565468399969,0.008082107253823786,0.25299683059645994,168
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,9,-0.4884846383737613,0.2085649090718416,-0.6958936563611796,-0.28107562038634304,-0.8315433855153839,-0.14542589123213878,168
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,10,0.13072145828376452,0.07763916257384607,0.05351258101639966,0.20793033555112939,0.003016400130698871,0.2584265164368302,164
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,10,-0.5355422118528812,0.14518127680630277,-0.6799188770673663,-0.3911655466383961,-0.7743441615731739,-0.29674026213258853,164
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,11,0.10321469100303708,0.086880517670838,0.016815675307927963,0.1896137066981462,-0.03969104359926222,0.24612042560533637,160
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,11,-0.398385481930772,0.15323721872364415,-0.5507734420916371,-0.24599752176990686,-0.650438276932314,-0.14633268692922996,160
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,No climate shock,0,12,0.13631196299976375,0.08753045401106258,0.049266612987533806,0.22335731301199369,-0.00766282174904151,0.280286747748569,156
corporate_mortgages__target__pop_temp_shock,corporate_mortgages,target,pop_temp_shock,MP Shock with extreme heat,3,12,-0.3574144072756277,0.1666450524262468,-0.5231358933588114,-0.19169292119244394,-0.6315211261724578,-0.08330768837879748,156
