model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = -3 SD,0,0.0035077922749668375,0.0019065196276093497,0.0016118388017965966,0.005403745748137078,3.718465506394298e-4,0.006643737999294245,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = 0,0,7.685594035552194e-4,5.1112034590598e-4,2.602717463001217e-4,0.001276847060810317,-7.215875121692244e-5,0.0016092775583273614,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = +3 SD,0,-0.0019706734678563986,0.0011658929718711363,-0.0031301049247124974,-8.112420110003001e-4,-0.003888396751275867,-5.29501844369301e-5,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = -3 SD,1,0.006931902918853682,0.003865304302186426,0.003088020584539816,0.010775785253167547,5.74043118131212e-4,0.013289762719576152,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = 0,1,0.001050712645927252,0.0013282847352055695,-2.702105801451061e-4,0.00237163587199961,-0.001134121318399904,0.0032355466102544084,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = +3 SD,1,-0.004830477626999177,0.0019448116876678314,-0.006764510941158916,-0.0028964443128394377,-0.008029408185197222,-0.001631547068801132,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = -3 SD,2,0.009500367244188842,0.00535489959749724,0.004175145125660977,0.014825589362716707,6.923412192845323e-4,0.01830839326909315,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = 0,2,0.0010447796381074556,0.0019579367932068175,-9.023060407234885e-4,0.0029918653169384,-0.0021757397975405114,0.004265299073755423,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = +3 SD,2,-0.007410807967973931,0.0034255066218056153,-0.010817330032015736,-0.004004285903932127,-0.013045264958997181,-0.0017763509769506821,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = -3 SD,3,0.006477218468499463,0.006518239583416247,-4.896269878681796e-6,0.012959333206877609,-0.0042443315516214,0.017198768488620328,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = 0,3,5.217747686682645e-4,0.0021580373113296546,-0.001624302447844291,0.00266785198518082,-0.0030278807299689197,0.004071430267305449,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = +3 SD,3,-0.005433668931162934,0.0039734758469431915,-0.009385123310899142,-0.0014822145514267263,-0.011969455089611513,0.0011021172272856448,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = -3 SD,4,6.351264787123814e-4,0.006479191813908093,-0.005808156897456623,0.007078409854881385,-0.010022195676108629,0.011292448633533392,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = 0,4,-5.604097189057701e-4,0.002253433794178242,-0.0028013547198175873,0.0016805352820060473,-0.004266978468354867,0.003146159030543327,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = +3 SD,4,-0.0017559459165239215,0.0036702471515207015,-0.005405852129681825,0.0018939602966339818,-0.007792965255511054,0.004281073422463212,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = -3 SD,5,-0.26086829755046476,0.23475321304291427,-0.4943204808698095,-0.027416114231120003,-0.6470029714626138,0.12526637636168425,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = 0,5,-0.08199463493869981,0.06753854425261127,-0.14915887269121986,-0.014830397186179761,-0.19308565441162992,0.029096384534230302,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = +3 SD,5,0.09687902767306512,0.11084328558770684,-0.013349951480499972,0.20710800682663022,-0.08544195264909225,0.2792000079952225,184
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = -3 SD,6,-0.4614911164913331,0.40237471974222516,-0.8616358285433041,-0.06134640443936218,-1.123338633652914,0.20035640067024785,180
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = 0,6,-0.05382583065687237,0.08177036924835837,-0.13514301896887473,0.02749135765513,-0.1883261190921957,0.08067445777845096,180
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = +3 SD,6,0.3538394551775884,0.3811455708477603,-0.025193762402448305,0.7328726727576251,-0.27308921942783915,0.980768129783016,180
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = -3 SD,7,-0.20216267780436936,0.2751268227370456,-0.47576471555767674,0.07143935994893802,-0.6547060300550334,0.25038067444629464,176
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = 0,7,-0.04218335179562353,0.05369028025693821,-0.09557607424887671,0.011209370657629641,-0.1304960040082893,0.04612930041704226,176
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = +3 SD,7,0.11779597421312228,0.187889472806399,-0.06905219319132576,0.3046441416175703,-0.19125470659848304,0.4268466550247276,176
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = -3 SD,8,0.6373495884000753,0.9727013316913313,-0.32996091890899415,1.6046600957091446,-0.9626017249729375,2.237300901773088,172
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = 0,8,0.016577901909999932,0.0999544448442379,-0.08282258372720694,0.1159783875472068,-0.1478325292219656,0.1809883330419655,172
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = +3 SD,8,-0.6041937845800753,0.7793322141080244,-1.3792068485391116,0.1708192793789609,-1.8860812035557801,0.6776936343956295,172
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = -3 SD,9,0.16799660252647242,0.8147309548269667,-0.642219018196214,0.9782122232491588,-1.1721165635102992,1.5081097685632439,168
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = 0,9,-0.06779194114344061,0.09927640997406084,-0.1665181496589088,0.030934267372027563,-0.23108710415999584,0.09550322187311461,168
corporate_secured_credit__forward_guidance__land_temp_shock,corporate_secured_credit,forward_guidance,land_temp_shock,Climate = +3 SD,9,-0.30358048481335365,0.6525345768194034,-0.9524986387983497,0.34533766917164244,-1.376904350205993,0.7697433805792857,168
