model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = -3 SD,0,-0.20673512020171364,0.11724640055123639,-0.32333172750785905,-0.09013851289556825,-0.39958828739541985,-0.013881953008007458,196
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = 0,0,-0.06985431306382649,0.04150795832147685,-0.11113222943256101,-0.028576396695091953,-0.1381288288562582,-0.0015797972713947755,196
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = +3 SD,0,0.06702649407406065,0.037769492811654586,0.02946632420267664,0.10458666394544466,0.004901206834693077,0.12915178131342822,196
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = -3 SD,1,-0.2961627519958211,0.21715011755366936,-0.5121093982369922,-0.08021610575464996,-0.6533429104469126,0.06101740645527037,196
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = 0,1,-0.10743286442855028,0.07730411791739597,-0.18430855389608103,-0.03055717496101952,-0.2345868231632633,0.019721094306162715,196
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = +3 SD,1,0.08129702313872054,0.06408175591139684,0.017570415802708753,0.14502363047473232,-0.024108085493559445,0.18670213177100053,196
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = -3 SD,2,-43.43926239341002,35.685375742681224,-78.92686561602147,-7.951659170798571,-102.13648211288529,15.257957326065252,196
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = 0,2,-11.51438900787327,9.371592233228053,-20.834042782434203,-2.1947352333123344,-26.929286483008674,3.900508467262135,196
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = +3 SD,2,20.410484377663483,17.442048370309163,3.0651018764837055,37.755866878843264,-8.279132145702548,49.10010090102951,196
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = -3 SD,3,29.70066649672063,25.567064414572865,4.275297739117089,55.126035254324165,-12.35341213609145,71.75474512953271,192
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = 0,3,8.336056065555677,7.506757522701381,0.8709018697611706,15.801210261350185,-4.011461272304933,20.68357340341629,192
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = +3 SD,3,-13.028554365609274,10.842607318856446,-23.811070688393833,-2.246038042824715,-30.86305633964087,4.805947608422322,192
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = -3 SD,4,-31.496039358450293,36.49692512251565,-67.79069425945207,4.7986155425514845,-91.52813901879644,28.536060301895848,188
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = 0,4,-8.435928875320261,9.661327671189529,-18.043712340207215,1.171854589566692,-24.327398736442973,7.455540985802449,188
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = +3 SD,4,14.62418160780977,17.708736018087798,-2.986410527058137,32.234773742677675,-14.504097060268105,43.75246027588764,188
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = -3 SD,5,-18.571268633382683,25.249300643355824,-43.680634703700974,6.538097436935612,-60.10267237459463,22.96013510782927,184
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = 0,5,-9.782477250106224,10.745996973294785,-20.46891865314737,0.9039641529349236,-27.458069346839686,7.89311484662724,184
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = +3 SD,5,-0.9936858668297646,5.766446985869224,-6.728174530038535,4.740802796379006,-10.478647106160139,8.49127537250061,184
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = -3 SD,6,35.640189366463304,27.074698855057118,8.715541654521672,62.564837078404935,-8.893727243896251,80.17410597682286,180
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = 0,6,9.187161378970945,6.889096087599773,2.336245466467882,16.038077291474007,-2.1443933071347345,20.518716065076624,180
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = +3 SD,6,-17.26586660852141,13.476979029024669,-30.668154645787517,-3.8635785712553012,-39.43352444476156,4.901791227718739,180
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = -3 SD,7,3.5037256196393782,7.933384445054175,-4.38569108227838,11.393142321557136,-9.54553055880837,16.552981798087124,176
corporate_secured_credit__miyajima_surprise__land_temp_shock,corporate_secured_credit,miyajima_surprise,land_temp_shock,Climate = 0,7,-0.4604252708644846,2.908024541160294,-3.3523332003887645,2.4314826586597955,-5.243699984655883,4.322849442926914,176
