model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,0,0.06158502787047079,0.04212505734031177,0.019693432517734873,0.10347662322320672,-0.007704525481279728,0.13087458122222131,196
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,0,0.02307787582567763,0.010102349978296383,0.013031514250816913,0.03312423740053835,0.006460988823143707,0.039694762828211556,196
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,0,-0.015429276219115533,0.025069778820366536,-0.04036011539735394,0.009501562959122876,-0.05666539283866662,0.025806840400435547,196
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,1,0.0275836720119471,0.06309020556726191,-0.03515688026774037,0.09032422429163457,-0.07619048144047758,0.13135782546437177,196
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,1,0.018094633079711743,0.022254822796888056,-0.004036850890089715,0.040226117049513205,-0.018511292914911867,0.05470055907433535,196
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,1,0.008605594147476388,0.025102843925840484,-0.01635812688555975,0.03356931518051253,-0.03268490973073905,0.049896098025691824,196
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,2,46.89600626900391,37.53328478257255,9.570735334217972,84.22127720378985,-14.84075333701302,108.63276587502085,196
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,2,11.280820058585796,9.52859803456592,1.8050306271747552,20.756609489996837,-4.392328978332621,26.953969095504213,196
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,2,-24.33436615183232,18.63721637584754,-42.86829289787981,-5.800439405784825,-54.9898591039245,6.321126800259865,196
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,3,-38.046876156443105,30.167928423149696,-68.04761039695191,-8.046141915934307,-87.66870264087328,11.574950327987061,192
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,3,-7.301323683564807,6.498363088676142,-13.763672085058078,-0.8389752820715373,-17.99017977922133,3.387532412091713,192
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,3,23.444228789313488,17.366648014825152,6.173828766041602,40.714628812585374,-5.121365185861237,52.00982276448821,192
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,4,17.29321813090334,24.03776849907369,-6.611330247771566,41.197766509578244,-22.245392568617845,56.83182883042453,188
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,4,4.17918435758647,5.288044108052831,-1.079552792427556,9.437921507600496,-4.518874173023589,12.877242888196529,188
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,4,-8.934849415730401,13.825973736364318,-22.684197990908906,4.814499159448102,-31.676552462125038,13.806853630664236,188
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,5,-10.468662558914737,5.96189699320924,-16.39751802269619,-4.539807095133284,-20.275110451706027,-0.6622146661234467,184
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,5,-0.2358459622889126,1.5057760150485286,-1.73327679080209,1.2615848662242648,-2.7126271020180184,2.2409351774401935,184
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,5,9.996970634336911,5.646813151691875,4.3814527806244135,15.612488488049408,0.7087895410592608,19.28515172761456,184
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,6,-36.378612033412786,30.661862187518192,-66.8705425996813,-5.886681467144271,-86.81288726163827,14.055663194812695,180
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,6,-6.665845686580715,6.403688919419441,-13.034044614120324,-0.2976467590411058,-17.198976631556732,3.8672852583953023,180
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,6,23.04692066025136,17.98772114290407,5.158889568711654,40.93495175179106,-6.54024770224607,52.63408902274879,180
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,7,-2.8892586613401177,6.427972815393031,-9.28160690066571,3.503089577985474,-13.462333060684806,7.683815738004571,176
corporate_secured_credit__romer_surprise__pop_temp_shock,corporate_secured_credit,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,7,-0.39399791253131944,1.342036864639495,-1.7285970521301657,0.9406012270675269,-2.6014521168361737,1.8134562917735346,176
