model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,0,0.01356923522898057,0.018064260534686905,-0.004394911064093655,0.031533381522054794,-0.016143829229695515,0.04328229968765665,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,0,0.010700364957691316,0.02631363430638881,-0.015467436114195644,0.03686816602957828,-0.032581711869446986,0.05398244178482961,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,1,0.028158049022050047,0.03267196798797167,-0.004332847103565081,0.060648945147665174,-0.025582556022607533,0.08189865406670763,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,1,0.00895520476339138,0.04940760329488328,-0.04017857582370548,0.05808898535048824,-0.07231307071517687,0.09022348024195961,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,2,0.06194044406704189,0.038431752209238716,0.023721685117000596,0.10015920301708318,-0.001274162944424638,0.1251550510785084,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,2,-0.12521854473234675,0.051569342536947047,-0.17650208395015782,-0.0739350055145357,-0.2100425648437469,-0.0403945246209466,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,3,0.08866567661044186,0.032486343770151666,0.05635937595155248,0.12097197726933125,0.03523039623371555,0.14210095698716818,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,3,-0.1901036591198785,0.07623402485832256,-0.2659151861090457,-0.11429213213071134,-0.315497471405199,-0.064709846834558,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,4,0.10621412995054552,0.03765500039697187,0.06876781796351045,0.1436604419375806,0.04427716597472724,0.1681510939263638,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,4,-0.18458476211507308,0.11057922171385652,-0.2945511408676168,-0.07461838336252934,-0.36647139601658085,-0.0026981282135652707,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,5,0.12311012362173657,0.039881294073624264,0.08344985633761451,0.16277039090585863,0.057511232417217464,0.18870901482625568,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,5,-0.1943209952592374,0.11720537031217025,-0.3108767997206935,-0.07776519079778133,-0.387106673715401,-0.0015353168030738384,184
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,6,0.15265729160392708,0.03600346327684638,0.11685336372541434,0.18846121948243982,0.0934368644501922,0.21187771875766195,180
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,6,-0.14476091024487,0.15026219260453608,-0.2941903322288332,0.00466851173909319,-0.39192022274412175,0.10239840225438174,180
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,7,0.09050917441748367,0.03371335779641672,0.05698265998736607,0.12403568884760127,0.03505563556933496,0.14596271326563237,176
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,7,0.04509426993098647,0.1649799480846304,-0.11897134001331006,0.209159879875283,-0.2262735960502833,0.31646213591225625,176
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,8,0.05169645533048448,0.041318745686623186,0.010606702958083067,0.0927862077028859,-0.016266833373243132,0.11965974403421209,172
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,8,0.14719700073117103,0.1823862613326272,-0.03417845464021427,0.32857245610255637,-0.15280170272791976,0.44719570419026183,172
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,9,0.04400932405300872,0.07798113096056988,-0.03353962637234217,0.1215582744783596,-0.08425822204126235,0.1722768701472798,168
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,9,0.1403924604944804,0.2596326662028923,-0.11780129114975235,0.39858621213871315,-0.2866652721844278,0.5674501931733886,168
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,10,0.012099688766719215,0.10357979875117344,-0.09090605864266497,0.1151054361761034,-0.15827391888805192,0.18247329642149035,164
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,10,0.20169920846547792,0.2784334013024891,-0.07519108240868713,0.478589499339643,-0.25628298153135587,0.6596813984623118,164
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,11,-0.055837268084733126,0.09475282111403631,-0.15006495799795008,0.03839042182848384,-0.21169178955803972,0.10001725338857345,160
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,11,0.30147699150873003,0.2354157397903446,0.06736595324256586,0.5355880297748942,-0.08574744192688216,0.6887014249443422,160
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,No climate shock,0,12,-0.047776893694029356,0.10427687088076977,-0.15147584997785643,0.05592206258979771,-0.2192970829694138,0.1237432955813551,156
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,12,0.27111662014697047,0.25970044266409825,0.0128554676665954,0.5293777726273455,-0.1560525948899742,0.6982858351839152,156
