model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,0,0.778410737311449,0.7357704887768097,0.0467179745142573,1.5101035001086407,-0.4318240197569434,1.9886454943798415,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,0,0.40303343441568906,1.0726682777854866,-0.6636899904971175,1.4697568593284958,-1.3613488728155572,2.167415741646935,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,1,2.674789092487872,1.5489697398552418,1.1344039238354662,4.2151742611402785,0.12696059784890057,5.222617587126844,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,1,-0.4754205705163512,2.8384114862515726,-3.2981012488123396,2.347260107779637,-5.144191998457967,4.193350857425265,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,2,2.9909873397332354,1.9640550570666937,1.03781730517528,4.944157374291191,-0.2395957444152952,6.221570423881766,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,2,-1.8495605265456878,4.2128838447049155,-6.039096076959504,2.339975023868129,-8.779137798433828,5.080016745342453,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,3,-0.25141368734334996,1.8373459693813847,-2.078576870778334,1.575749496091634,-3.273578869044988,2.770751494358288,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,3,0.1206679950853134,4.397732469615022,-4.252691727570841,4.494027717741469,-7.112958207923207,7.354294198093835,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,4,-3.020431041529915,2.0167468178892975,-5.026000813018111,-1.0148612700417186,-6.337684359577965,0.2968222765181352,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,4,1.9665454540995633,3.8548214599902217,-1.8669121351538434,5.8000030433529695,-4.37407160561572,8.307162513814847,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,5,-4.814718448029255,2.5033368653792616,-7.3041815281352545,-2.3252553679232553,-8.93234117052966,-0.6970957255288486,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,5,1.4678472568761949,4.254571824900629,-2.7631452340783413,5.698839747830731,-5.5303006404371455,8.465995154189535,184
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,6,-3.5958492658042744,2.3529499596223005,-5.935758901948741,-1.255939629659807,-7.466107540924334,0.27440900931578494,180
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,6,-0.8732054554099418,4.777727735076099,-5.624454465386249,3.8780435545663647,-8.731868249036502,6.985457338216619,180
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,7,-2.1588452197630033,1.8907560013671805,-4.039122430548747,-0.27856800897725953,-5.268862086292072,0.9511716467660651,176
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,7,-4.359580494583573,4.323329202682838,-8.658949301902458,-0.06021168726468851,-11.470824214121652,2.7516632249545063,176
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,8,-0.5052214615674083,1.488837941547365,-1.985808089360967,0.9753651662261505,-2.9541419496645545,1.9436990265297376,172
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,8,-11.496459259563462,5.884878329129199,-17.348722905696235,-5.644195613430689,-21.17622272339974,-1.816695795727183,172
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,9,0.26095717167456434,1.4210813021648514,-1.1522483319452537,1.6741626752943821,-2.0765135623842115,2.59842790573334,168
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,9,-7.32523154010877,6.23075078411157,-13.52145077568387,-1.129012304533668,-17.573904565985412,2.9234414857678717,168
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,10,0.6777879111374024,1.8062571083653765,-1.1184587093801999,2.4740345316550045,-2.293240644764264,3.648816467039069,164
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,10,-11.120249024186167,8.174771559171871,-19.249715044643523,-2.9907830037288132,-24.566551672789757,2.326053624417421,164
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,11,1.061261168641888,2.486580316530378,-1.41153822936595,3.534060566649726,-3.028799483709242,5.151321820993018,160
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,11,-8.51024798973547,6.774675174696262,-15.24737712339758,-1.77311885607336,-19.65359702225271,2.633101042781771,160
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,12,1.0412410838437662,2.488972015982449,-1.4339367585384524,3.5164189262259846,-3.0527535640256813,5.135235731713213,156
corporate_secured_credit_rate__central_bank_information__pop_temp_shock,corporate_secured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,12,-6.270779515815762,7.345148114776208,-13.57521996189822,1.033660930266696,-18.35247303290117,5.810914001269647,156
