model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,0,4.438540990176868,1.9681199968647902,2.4813285441919226,6.395753436161813,1.2012716750580994,7.675810305295637,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,0,-1.9804984544504247,3.2236128078729966,-5.186245623655654,1.2252487147548043,-7.28286967336754,3.3218727644666908,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,1,8.715024570261676,3.9765011206874443,4.760561683201628,12.669487457321724,2.174262279322342,15.25578686120101,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,1,-4.348768120057532,5.703563392363389,-10.020721697979866,1.3231854578648035,-13.73029505253409,5.0327588124190274,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,2,16.659078688485014,6.878061151359055,9.81913655531725,23.499020821652778,5.345674857278059,27.97248251969197,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,2,-19.654339981605762,9.71351656000068,-29.314023098386926,-9.9946568648246,-35.631652925776066,-3.6770270374354617,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,3,25.417944888855608,12.072681321186694,13.41217177752236,37.423718000188856,5.560151230672389,45.27573854703883,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,3,-34.37860342046928,17.996002063408618,-52.27486953868497,-16.482337302253597,-63.97939268509312,-4.777814155845451,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,4,38.18086319879661,16.572975017118516,21.699737544784803,54.66198885280841,10.92074513251309,65.44098126508013,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,4,-46.02619129134492,22.029833967396087,-67.93393334602396,-24.11844923666589,-82.2620435937551,-9.790338988934742,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,5,45.08201421992131,18.019852003970648,27.16203034029963,63.001998099542995,15.44199529406145,74.72203314578118,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,5,-53.73345285283845,20.508226499733638,-74.12802036614973,-33.33888533952717,-87.46648359326761,-20.00042211240929,184
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,6,42.168505265631076,16.436326032098656,25.823271272004884,58.513739259257264,15.133154777976713,69.20385575328544,180
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,6,-49.61054914584303,15.879531338149079,-65.4020742667417,-33.819024024944355,-75.7300538616871,-23.491044429998965,180
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,7,32.98457280366158,14.204306171120072,18.858988556266276,47.11015705105688,9.62056827976556,56.34857732755759,176
corporate_secured_credit_rate__country_risk__pop_temp_shock,corporate_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,7,-46.22180652850936,18.901401012361024,-65.0184537689606,-27.42515928805813,-77.31184453815561,-15.131768518863115,176
