model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,0,1.4114673022103408,0.9725675448567507,0.44428984027358975,2.378644764147092,-0.18826395140257346,3.0111985558232552,196
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,0,0.6417915957348893,0.3534490603574516,0.2903013913493417,0.9932818001204369,0.060419626863345455,1.2231635646064332,196
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,0,-0.12788411074056205,0.2834467333523511,-0.4097599491928605,0.15399172771173641,-0.5941124981427234,0.3383442766615993,196
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,1,1.548102382409426,2.0020045513704536,-0.44280682592272713,3.539011590741579,-1.7449020650856184,4.84110682990447,196
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,1,0.8684945851563027,0.7090036140003706,0.16342035198942917,1.5735688183231762,-0.29771258085390795,2.0347017511665135,196
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,1,0.18888678790317937,0.6067292427073957,-0.41447989048107403,0.7922534662874328,-0.8090940075416001,1.1868675833479587,196
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,2,-0.10618135171951171,2.3332964162928547,-2.426546366767007,2.214183663327984,-3.944112424811684,3.731749721372661,196
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,2,0.5579233707398946,0.9028339160440929,-0.3399069342992861,1.4557536757790754,-0.927106270600032,2.0429530120798214,196
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,2,1.222028093199301,0.6194571274001165,0.6060040695457868,1.8380521168528152,0.20311179045427963,2.2409443959443225,196
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,3,-0.6521908561688989,3.2361590546985246,-3.87041473943447,2.566033027096672,-5.9751988146816135,4.670817102343815,192
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,3,0.4777328152561325,1.2381639370954127,-0.7535690726944257,1.7090347032066906,-1.5588656274357708,2.5143312579480357,192
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,3,1.6076564866811638,0.8817660296817905,0.730777307317542,2.4845356660447857,0.1572804346364718,3.058032538725856,192
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,4,1.150785291306713,4.573336332455675,-3.397205077073414,5.69877565968684,-6.3716835624019446,8.67325414501537,188
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,4,1.0321950843005576,1.7128364054941256,-0.6711485817917331,2.7355387503928483,-1.7851700896509761,3.849560258252091,188
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,4,0.9136048772944023,1.247174125494873,-0.3266572635392042,2.153867018128009,-1.1378140064658693,2.965023761054674,188
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,5,3.7897349490100103,5.484133960426849,-1.6640053005147948,9.243475198534815,-5.230862686485831,12.81033258450585,184
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,5,1.8262663695923698,2.004570043296741,-0.16719411241019078,3.8197268515949303,-1.4709579366025431,5.1234906757872825,184
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,5,-0.13720220982527054,1.5267129960842385,-1.6554539841800227,1.3810495645294816,-2.648421618748378,2.374017199097837,184
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,6,4.043845692037469,5.304279193964263,-1.2310365671457673,9.318727951220705,-4.680917178517876,12.768608562592814,180
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,6,1.9608708006494429,1.9604970269604785,0.011239077179310941,3.9105025241195746,-1.2638598447740768,5.185601446072963,180
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,6,-0.1221040907385833,1.4433839901674408,-1.5574886782593438,1.3132804967821772,-2.4962594820491857,2.2520513005720186,180
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,7,0.9062685671569733,4.080640247738894,-3.1517562957499705,4.964293430063917,-5.805787344620498,7.618324478934445,176
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,7,0.9516837927807238,1.547789035078419,-0.5875272146986272,2.490894800260075,-1.594202615323732,3.4975702008851797,176
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,7,0.9970990184044742,1.1502188641846949,-0.146745198500564,2.1409432353095124,-0.8948426521377232,2.8890406889466718,176
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,8,-3.7085578555789844,3.3601144135113805,-7.0500501225820935,-0.36706558857587535,-9.235454235615094,1.8183385244571264,172
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,8,-0.5651048520478359,1.3454185701987702,-1.9030669553987978,0.772857251303126,-2.7781214670071464,1.6479117629114743,172
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,8,2.578348151483312,1.0256599005668108,1.5583725778725155,3.598323725094109,0.8912877440173079,4.265408558949316,172
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,9,-6.613437106693094,3.0917770518183003,-9.688079169000812,-3.5387950443853753,-11.698957804101752,-1.527916409284435,168
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,9,-1.794485243053784,1.2736613131140369,-3.061087776419324,-0.5278827096882444,-3.8894716734371815,0.3005011873296133,168
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,9,3.0244666205855255,0.930247664085956,2.099374497697788,3.949558743473263,1.4943453763506065,4.554587864820444,168
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,10,-9.170544959047366,3.4223244937237585,-12.573902530732784,-5.767187387361947,-14.799767815153748,-3.541322102940983,164
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,10,-2.9120782508259557,1.4679445279466847,-4.371887258757156,-1.4522692428947552,-5.326632131782626,-0.4975243698692857,164
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,10,3.346388457395453,0.8125867970840357,2.5383051112430697,4.154471803547836,2.0098021169988978,4.682974797792008,164
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,11,-11.715404752249189,3.974190576010004,-15.667569899940247,-7.76323960455813,-18.252366535395602,-5.178442969102776,160
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,11,-3.842386972749141,1.6942158723988368,-5.5272133029152535,-2.1575606425830287,-6.629124095303119,-1.055649850195163,160
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,11,4.0306308067509065,0.6716089325699821,3.3627440093226,4.698517604179213,2.925932418120165,5.135329195381647,160
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,-3 SD,-3,12,-11.563448582245726,4.042611690970838,-15.583655647087587,-7.543241517403866,-18.21295308449553,-4.913944079995923,156
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,No climate shock,0,12,-4.074481197595927,1.7394462521966092,-5.804287235512505,-2.3446751596793485,-6.9356156744086634,-1.21334672078319,156
corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,+3 SD,3,12,3.414486187053874,0.6964188227839673,2.7219269987207015,4.107045375387046,2.2689791605203915,4.559993213587356,156
