model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,0,0.18588113095269793,0.09778194685670413,0.08864110306545135,0.2831211588399445,0.025044141015072102,0.3467181208903237,196
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,0,0.4148955327217654,0.1991833432566709,0.21681608681609477,0.612974978627436,0.08726808813771031,0.7425229773058204,196
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,1,0.4342904719457478,0.19440972194762968,0.2409581913823113,0.6276227525091843,0.11451493568556204,0.7540660082059336,196
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,1,0.7598905796052233,0.27525720444681806,0.48615888273280633,1.0336222764776404,0.3071327685263519,1.2126483906840948,196
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,2,0.450501174792037,0.26285480831098096,0.18910313852759342,0.7118992110564806,0.01814348998008619,0.8828588596039878,196
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,2,1.0307966924525398,0.3444751076178161,0.6882307061124744,1.3733626787926052,0.46418556229287655,1.597407822612203,196
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,3,0.3521009608085124,0.20414749016879094,0.14908487987267263,0.5551170417443522,0.016308221171336734,0.687893700445688,192
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,3,1.0670890256895789,0.366705921739565,0.7024154309959696,1.4317626203831881,0.46391146029167285,1.670266591087485,192
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,4,0.5645808321345107,0.20460614883266812,0.36110863447467584,0.7680530297943455,0.22803366613052395,0.9011279981384974,188
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,4,1.8413692266616482,0.5974988570717786,1.2471817780378003,2.435556675285496,0.8585710645077742,2.824167388815522,188
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,5,0.8414088090313472,0.2307328057800332,0.6119547514082883,1.070862866654406,0.46188711658737014,1.2209305014753242,184
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,5,2.302555806734933,0.8095583723350127,1.497484101447923,3.107627512021943,0.9709507817707574,3.6341608316991083,184
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,6,0.7330347764278375,0.1971224437642189,0.5370048082689388,0.9290647445867363,0.40879720984872464,1.0572723430069504,180
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,6,3.2911721173086197,0.6796689084023155,2.6152700133753695,3.96707422124187,2.1732162481969235,4.409127986420316,180
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,7,0.6967501429069812,0.2109320393257957,0.486987113577934,0.9065131722360285,0.3497978129816757,1.0437024728322868,176
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,7,3.45264372148644,0.4363668044893384,3.0186953127909684,3.8865921301819117,2.734884200440928,4.170403242531952,176
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,8,0.5319071181404732,0.2106124035317365,0.32246195314658416,0.7413522831343622,0.1854805423103295,0.8783336939706169,172
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,8,2.9572974762752806,0.23863813818831564,2.7199818985194115,3.1946130540311497,2.564772669147283,3.3498222834032783,172
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,9,0.15531813132738836,0.2600151589424302,-0.10325599323694834,0.41389225589172507,-0.27236874592143134,0.5830050085762081,168
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,9,1.7300372437346643,0.27963455812002125,1.4519524529943333,2.0081220344749955,1.2700793265899752,2.189995160879353,168
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,10,-0.2053585545218899,0.3412214086759398,-0.5446888742996151,0.13397176525583532,-0.7666178261759998,0.35590071713222005,164
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,10,0.6948065027583016,0.5366606011483399,0.1611201373382498,1.2284928681783533,-0.18792163348250235,1.5775346389991056,164
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,11,-0.47260644645256183,0.39638393755919327,-0.8667935779360242,-0.07841931496909949,-1.1246000038121065,0.17938711090698284,160
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,11,-0.848374982377228,0.7765657759960976,-1.6206369401474465,-0.07611302460700942,-2.1257120155907927,0.428962050836337,160
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,No climate shock,0,12,-0.5015926087514089,0.32485242746509163,-0.8246446661238938,-0.17854055137892394,-1.0359273022913547,0.03274208478853691,156
corporate_secured_credit_rate__romer_surprise__pop_precip_shock,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,12,-1.6179682786826857,0.7372184394614636,-2.35110096745273,-0.884835589912641,-2.830584702686378,-0.4053518546789934,156
