model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit_rate__romer_surprise__pop_temp_shock,corporate_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,0,0.18538626485602389,0.18634086486545715,7.812282644670265e-5,0.37069440688560107,-0.12111718256719733,0.4918897122792451,196
corporate_secured_credit_rate__romer_surprise__pop_temp_shock,corporate_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,0,0.18875731985766608,0.08735662655224895,0.10188483393217167,0.2756298057831605,0.04506845583495417,0.332446183880378,196
corporate_secured_credit_rate__romer_surprise__pop_temp_shock,corporate_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,0,0.19212837485930828,0.24219378394366087,-0.048723142847865025,0.4329798925664816,-0.20624494908552338,0.5905016988041399,196
corporate_secured_credit_rate__romer_surprise__pop_temp_shock,corporate_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,1,0.6482284341493082,0.6810464145082125,-0.029043541590120903,1.3255004098887373,-0.4719932308768203,1.7684500991754368,196
corporate_secured_credit_rate__romer_surprise__pop_temp_shock,corporate_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,1,0.43197051499072836,0.23365819064854343,0.1996072853237569,0.6643337446576998,0.04763699263555332,0.8163040373459034,196
corporate_secured_credit_rate__romer_surprise__pop_temp_shock,corporate_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,1,0.21571259583214852,0.30906990547489455,-0.09164440813025365,0.5230695997945507,-0.2926621591697802,0.7240873508340773,196
corporate_secured_credit_rate__romer_surprise__pop_temp_shock,corporate_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,2,0.3343067932020306,1.0627265027002069,-0.7225299551041212,1.3911435415081823,-1.4137227492218574,2.082336335625919,196
corporate_secured_credit_rate__romer_surprise__pop_temp_shock,corporate_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,2,0.4370668135263746,0.3318039584892586,0.10710175132652966,0.7670318757262196,-0.10870213103153786,0.982835758084287,196
corporate_secured_credit_rate__romer_surprise__pop_temp_shock,corporate_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,2,0.5398268338507186,0.5550714208715165,-0.012168316379399746,1.091821984080837,-0.37318440598690206,1.4528380736883393,196
corporate_secured_credit_rate__romer_surprise__pop_temp_shock,corporate_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,3,0.48130598233540534,1.2537992529168513,-0.7655445686902567,1.7281565333610673,-1.581010266293923,2.5436222309647336,192
