model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,0,-0.004821052056275337,0.0020249391718985535,-0.0068347687787900825,-0.002807335333760591,-0.008151780597528782,-0.0014903235150218919,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = 0,0,-0.005383260785970578,0.002327621724562984,-0.007697982559092518,-0.003068539012848637,-0.00921185782178904,-0.0015546637501521144,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,0,-0.005945469515665818,0.004525617009002256,-0.010446005026656258,-0.0014449340046753792,-0.01338944706711645,0.0014985080357848134,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,1,-0.008230478333643737,0.0067083585109493716,-0.014901658338254582,-0.0015592983290328927,-0.019264746161269584,0.0028037894939821097,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = 0,1,-0.008071326279509938,0.006784363777895381,-0.014818090321000702,-0.0013245622380191734,-0.019230611646139345,0.0030879590871194674,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,1,-0.007912174225376139,0.010648684081124274,-0.018501842055660384,0.002677493604908104,-0.0254277008584738,0.009603352407721522,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,2,-0.0052237022712362515,0.008107723724464643,-0.013286492043916857,0.0028390875014443545,-0.018559721045742415,0.00811231650326991,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = 0,2,-7.280992207535678e-4,0.007256954633191408,-0.007944834963826307,0.006488636522319171,-0.01266472736978074,0.011208528928273604,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,2,0.0037675038297291163,0.017359518398176357,-0.01349580609006211,0.021030813749520344,-0.024786362969642064,0.032321370629100295,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,3,-1.1216293038929757e-4,0.00835886410900654,-0.008424701238269923,0.008200375377491327,-0.013861270877283186,0.01363694501650459,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = 0,3,0.01547061067632903,0.006663047505457377,0.00884449055832586,0.0220967307943322,0.004510872820427508,0.02643034853223055,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,3,0.03105338428304736,0.018845366389407422,0.012312461115125024,0.049794307450969695,5.551502620120344e-5,0.06205125353989352,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,4,0.009305541887748896,0.011842960202128014,-0.00247178324579668,0.02108286702129447,-0.0101743941545633,0.02878547793006109,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = 0,4,0.024346418149785748,0.005505617396700526,0.01887131352770015,0.029821522771871344,0.01529048340621577,0.033402352893355726,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,4,0.0393872944118226,0.019852123475928105,0.019645193722732487,0.05912939510091271,0.0067334571097538015,0.0720411317138914,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,5,0.016663973059709236,0.013727158134336349,0.003012892438951564,0.030315053680466907,-0.005915192785290301,0.03924313890470878,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = 0,5,0.027292749576468697,0.005541544695796249,0.021781916768574924,0.03280358238436247,0.018177719684674548,0.036407779468262846,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,5,0.03792152609322816,0.018350685265398396,0.01967254246875166,0.05617050971770465,0.007737334877392678,0.06810571730906365,184
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,6,0.020583873889387615,0.013717254192343278,0.006942642321819804,0.034225105456955424,-0.0019790014207035043,0.04314674919947874,180
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = 0,6,0.02424999538595685,0.005054934415388986,0.019223076007464986,0.029276914764448714,0.01593536817880246,0.03256462259311124,180
corporate_secured_credit_rate__target__land_precip_shock,corporate_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,6,0.027916116882526085,0.017367278878945826,0.010645089491456164,0.045187144273596005,-6.505147717856437e-4,0.05648274853683781,180
