model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,0,0.05914920266709982,0.011404978268070121,0.04780743212058157,0.07049097321361807,0.04038968279756197,0.07790872253663766,196
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,0,0.03781269973612633,0.007891681393133952,0.029964754962944547,0.04566064450930812,0.02483203897388451,0.050793360498368155,196
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,0,0.016476196805152846,0.01672579375326891,-1.5690064572586662e-4,0.033109294256031555,-0.011035285713553784,0.043987679323859476,196
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,1,0.060029706776816565,0.013973920987566672,0.04613323089138067,0.07392618266225245,0.03704465215768424,0.08301476139594889,196
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,1,0.03531949842524179,0.015712604613439495,0.019693974901648946,0.050945021948834636,0.009474563737971411,0.06116443311251217,196
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,1,0.010609290073667017,0.03289161038349917,-0.02210003116366751,0.043318611311001544,-0.043492594561906274,0.06471117470924032,196
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,2,0.050333939461824954,0.014938825304236146,0.03547790687213398,0.06518997205151593,0.02576175847775771,0.0749061204458922,196
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,2,0.045910414369422885,0.01186084755454973,0.034115301017251784,0.057705527721593985,0.02640105625060327,0.0654197724882425,196
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,2,0.041486889277020815,0.0255190188803062,0.016109299779721784,0.06686447877431985,-4.8816148449391805e-4,0.08346194003853555,196
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,3,0.06006613863255433,0.0151566438410799,0.04499349468178987,0.0751387825833188,0.03513567803814238,0.08499659922696629,192
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,3,0.037762792591488674,0.011830308157910967,0.02599804938305346,0.04952753579992389,0.018303667309995237,0.057221917872982114,192
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,3,0.015459446550423014,0.0285020859874497,-0.012884677547718583,0.04380357064856461,-0.03142231296171633,0.06234120606256236,192
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,4,0.05085432891038151,0.028271598042046875,0.022739415366530572,0.07896924245423245,0.004351688331206589,0.09735696948955644,188
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,4,0.010646278595331323,0.01413881271027523,-0.0034141751636281373,0.024706732354290783,-0.012609998771952456,0.0339025559626151,188
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,4,-0.02956177171971887,0.041312022472192796,-0.07064483813852948,0.011521294699091737,-0.09751400171980588,0.03839045828036815,188
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,5,0.06800404229450405,0.03599393908878951,0.03220958581988563,0.10379849876912246,0.008799281036038276,0.12720880355296982,184
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,5,0.0021512874075937964,0.012647229476313377,-0.010425849645888802,0.014728424461076393,-0.01865155386740782,0.022954128682595415,184
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,5,-0.06370146747931646,0.030760557159944173,-0.09429154603894715,-0.03311138891968576,-0.11429808149089868,-0.013104853467734233,184
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,6,0.07536608021416177,0.026369475571231045,0.04914274735624405,0.1015894130720795,0.031992152680014166,0.11874000774830938,180
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,6,-0.004141658054698267,0.012935494375061758,-0.017005462409193855,0.008722146299797319,-0.02541865289392896,0.017135336784532426,180
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,6,-0.0836493963235583,0.022346726960378014,-0.10587227511324215,-0.06142651753387446,-0.12040649121483032,-0.046892301432286294,180
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,7,0.09672786805397479,0.03602827302557014,0.060899267925263255,0.13255646818268632,0.037466632495067875,0.1559891036128817,176
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,7,-0.022212440328030655,0.02459903977972039,-0.04667514935636391,0.002250268700302597,-0.06267426012922726,0.01824937947316595,176
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,7,-0.1411527487100361,0.06738278354656944,-0.20816208900053856,-0.07414340841953367,-0.2519875646206968,-0.03031793279937542,176
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,8,0.08836484749178565,0.02638729590701418,0.06212379306046694,0.11460590192310435,0.04496160811369165,0.13176808686987965,172
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,8,-8.915411471819263e-4,0.01626206531657217,-0.017063480198519033,0.015280397904155182,-0.02764025826486739,0.025857175970503538,172
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,8,-0.09014792978614951,0.05145397074139573,-0.14131673661237448,-0.038979122959924534,-0.17478218018118918,-0.005513679391109846,172
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,9,0.033416342625595445,0.04052783245440775,-0.00688687984809442,0.07371956509928532,-0.0332460095795187,0.10007869483070958,168
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,9,0.019315540753747706,0.014575609623249311,0.004820710861319487,0.033810370646175925,-0.004659203600082696,0.04329028510757811,168
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,9,0.005214738881899968,0.05347743119708947,-0.04796631414585285,0.05839579190965278,-0.08274780778268041,0.09317728554648035,168
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,10,0.09923428494714512,0.02001406455173312,0.07933114067860525,0.11913742921568499,0.06631407827918602,0.13215449161510423,164
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,10,-0.002868822142494839,0.015392136960424298,-0.01817565408223299,0.012438009797243315,-0.028186634448382545,0.022448990163392867,164
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,10,-0.1049719292321348,0.028865839806237893,-0.13367779118291798,-0.07626606728135163,-0.15245201053242535,-0.05749184793184424,164
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,11,0.05141993680783813,0.034382973882212904,0.01722751738247645,0.08561235623319981,-0.005135022487697483,0.10797489610337374,160
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,11,-0.016378447293197162,0.014982074471188078,-0.03127748935790574,-0.0014794052284885818,-0.04102176682638792,0.008264872239993597,160
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,11,-0.08417683139423246,0.024547321880657558,-0.10858810915013964,-0.05976555363832528,-0.12455358282157726,-0.04380007996688766,160
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,-3 SD,-3,12,0.09106905090924897,0.03664190818336526,0.054630216460453414,0.12750788535804453,0.03079847533541781,0.15133962648308014,156
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,No climate shock,0,12,-0.005992176004790146,0.01302531560186695,-0.018945303786361726,0.006960951776781434,-0.027416913614708587,0.015432561605128296,156
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,+3 SD,3,12,-0.10305340291882925,0.04685762302023426,-0.14965133551977203,-0.05645547031788648,-0.18012733409398635,-0.02597947174367217,156
