model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,No climate shock,0,0,0.34174870247585437,0.36082617357063135,-0.017077730299870697,0.7005751352515794,-0.25175753782081983,0.9352549427725285,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,0,-1.5532073762350884,1.2966266071487529,-2.8426479272936813,-0.2637668251764953,-3.6859683538054955,0.5795536013353186,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,No climate shock,0,1,-1.2246015387350522,0.8381642211760387,-2.058120555907927,-0.39108252156217727,-2.6032589979174148,0.15405592044731042,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,1,-0.8785034212498517,1.4391485966946234,-2.309676088343074,0.5526692458433704,-3.2456922102451236,1.4886853677454202,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,No climate shock,0,2,-2.009151669497886,1.0783960228923204,-3.0815710956851996,-0.9367322433105727,-3.7829552790423615,-0.2353480599534108,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,2,-0.6737164081649762,2.15359081210653,-2.8153717684724096,1.467938952142457,-4.216058066427767,2.8686252500978147,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,No climate shock,0,3,-2.680089973537566,0.8483780034280478,-3.523766166988339,-1.8364137800867926,-4.075547609502038,-1.2846323375730935,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,3,-1.4442480259196824,1.935590882211315,-3.3691116374036456,0.48061558556428086,-4.628011708819162,1.7395156569797976,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,No climate shock,0,4,-4.278468792319926,0.857876152470395,-5.131590494961763,-3.4253470896780898,-5.689549493186029,-2.8673880914538232,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,4,-1.7881075005156242,2.1464988774760614,-3.9227102305225796,0.34649522949133127,-5.318783964379386,1.7425689633481376,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,No climate shock,0,5,-4.745207370449855,1.0195282532856609,-5.759085279084851,-3.73132946181486,-6.422182115646273,-3.0682326252534375,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,5,-2.9089282302339465,2.0814275420392927,-4.978820257744822,-0.8390362027230718,-6.332571871993963,0.5147154115260704,184
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,No climate shock,0,6,-5.436229911328005,1.2059070779724448,-6.635453711436141,-4.237006111219869,-7.419770542297432,-3.4526892803585785,180
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,6,-6.16441604681594,1.6403937762319196,-7.795718569157988,-4.533113524473891,-8.862623699279634,-3.466208394352246,180
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,No climate shock,0,7,-4.8129368838512745,1.7136013255059774,-6.517041230679376,-3.108832537023173,-7.631560239258631,-1.9943135284439184,176
corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,7,-7.36834340192676,2.340429150900569,-9.69580162113374,-5.04088518271978,-11.218006779408514,-3.5186800244450063,176
