model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,0,0.03452351178747394,0.03117565444248941,0.003520636462917181,0.0655263871120307,-0.016755876494840526,0.08580290006978841,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock alone (no climate shock),0,0,0.006109657765486664,0.005846829663240021,2.9523191509299874e-4,0.011924083615880328,-0.0035075212122611344,0.01572683674323446,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,0,-0.02230419625650061,0.0202915864634287,-0.0424833243778896,-0.002125068135111624,-0.05568088584747069,0.011072493334469469,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,1,-0.0996966707758537,0.046169613114246416,-0.14561040650206045,-0.05378293504964695,-0.17563892636176814,-0.02375441518993926,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock alone (no climate shock),0,1,-0.02770407404047822,0.011488231942589407,-0.03912863685992835,-0.016279511221028088,-0.046600534018506154,-0.008807614062450283,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,1,0.04428852269489727,0.026657938372794666,0.017778325729951833,0.0707987196598427,4.4011607535715536e-4,0.08813692931443738,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,2,-0.11219892145463033,0.045452844681392636,-0.15739986116234975,-0.0669979817469109,-0.18696219788408092,-0.03743564502517975,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock alone (no climate shock),0,2,-0.032687349062403254,0.011309075150420168,-0.043933747997550114,-0.021440950127256393,-0.05128912234103862,-0.014085575783767883,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,2,0.04682422332982382,0.029914330198777574,0.017075681842709876,0.07657276481693776,-0.0023804711954594077,0.09602891785510705,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,3,-0.139884653388135,0.046695028214097704,-0.1863208923023463,-0.09344841447392369,-0.2166911399066949,-0.0630781668695751,184
