model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,0,-0.5030556384003317,0.2849216106468574,-0.786398180204919,-0.21971309659574445,-0.97170998306967,-0.034401293730993376,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,0,-0.35166852662746567,0.12177596057347752,-0.4727695906052005,-0.23056746264973085,-0.5519721570522496,-0.1513648962026818,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,0,-0.20028141485459958,0.11951449355163143,-0.3191335451248407,-0.08142928458435847,-0.3968652630462688,-0.0036975666629303627,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,1,-0.9454627904282792,0.4679131101286891,-1.4107826714529474,-0.4801429094036109,-1.7151113667215967,-0.17581421413496168,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,1,-0.6578015435290645,0.32956923059699633,-0.9855442629596205,-0.3300588240985085,-1.1998946878081398,-0.11570839924998921,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,1,-0.3701402966298498,0.21440815570388125,-0.5833601772940388,-0.1569204159656609,-0.7228103291873547,-0.01747026407234492,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,2,-0.9040037462877066,0.4379082257254234,-1.33948503348275,-0.46852245909266327,-1.624298679644053,-0.18370881293136032,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,2,-0.8570386834209969,0.31300607596241264,-1.168310043154369,-0.5457673236876248,-1.371887862725619,-0.3421895041163746,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,2,-0.8100736205542871,0.23560390121469338,-1.044371777432211,-0.5757754636763633,-1.1976075519911917,-0.4225396891173825,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,3,-1.2462872238800582,0.5320941535360129,-1.775432449473767,-0.7171419982863494,-2.121504222203442,-0.37107022555667424,192
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,3,-1.220419241896256,0.3894951085091473,-1.6077557230248158,-0.8330827607676963,-1.861081683807384,-0.5797567999851282,192
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,3,-1.194551259912454,0.32485250224431766,-1.5176033916497298,-0.8714991281751782,-1.7288860764532807,-0.660216443371627,192
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,4,-1.2299458797044869,0.5381592858507522,-1.7651226239412985,-0.6947691354676753,-2.1151391329137104,-0.3447526264952633,188
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,4,-1.3630990664476985,0.4125483583626241,-1.7733610336266523,-0.9528370992687447,-2.0416807299933364,-0.6845174029020609,188
corporate_unsecured_credit_rate__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,4,-1.4962522531909102,0.4324119118044536,-1.9262676876786495,-1.0662368187031708,-2.2075065546594854,-0.7849979517223348,188
