model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,0,-1.9225500286559818,1.919082805593122,-3.8309970532103526,-0.01410300410161125,-5.079160341856034,1.2340602845440705,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,0,-0.8740719205848604,0.6825862347981333,-1.5528751827503275,-0.19526865841939312,-1.9968263645997186,0.24868252342999786,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,0,0.17440618748626102,0.5717822170431349,-0.39420714573143467,0.7430195207039567,-0.766091866043493,1.114904241016015,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,1,-3.060542583328236,3.207434578447338,-6.250201184744743,0.12911601808827156,-8.336302982896903,2.215217816240432,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,1,-1.4686821343424497,1.1032482655919476,-2.5658160691978495,-0.37154819948704976,-3.283364045429285,0.34599977674438565,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,1,0.1231783146433365,1.030659266263008,-0.901768917595092,1.148125546881765,-1.5721053176205146,1.8184619469071877,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,2,-0.7562206399188045,3.082351653617154,-3.821489540683002,2.309048260845393,-5.826237936910847,4.313796657073237,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,2,-0.9289027217710453,1.0407639479693231,-1.963898634389644,0.10609319084755353,-2.640807076388719,0.7830016328466285,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,2,-1.101584803623286,1.0648714739318372,-2.1605546354799907,-0.04261497176658113,-2.8531425097572276,0.6499729025106558,196
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,3,1.6556351532251559,4.053452289286592,-2.375352430070517,5.686622736520828,-5.01170054648264,8.322970852932952,192
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,3,-0.4589919020589605,1.326907484087235,-1.7785455098995318,0.8605617057816106,-2.641560489888901,1.72357668577098,192
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,3,-2.573618957343077,1.472814062834059,-4.038270512630592,-1.1089674020555622,-4.996182510420811,-0.15105540426534292,192
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,4,2.5719671930384425,5.544960777980248,-2.942262764712902,8.086197150789786,-6.548681653926021,11.692616040002907,188
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,4,-0.27073046638281956,1.8018600550638202,-2.062604402581796,1.5211434698161566,-3.234526513213522,2.6930655804478834,188
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,4,-3.1134281258040812,2.0248456928331686,-5.12705188732534,-1.099804364282822,-6.444002907677784,0.21714665606962136,188
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,5,2.6144681106878576,6.087051492748578,-3.4388482317796614,8.667784453155377,-7.397840614600009,12.626776835975724,184
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,5,-0.2492044289272896,1.9599919017379204,-2.1983338266378407,1.6999249687832614,-3.47310421729642,2.9746953594418413,184
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,5,-3.1128769685424365,2.244766211024029,-5.34520242305817,-0.8805515140267022,-6.805188812403423,0.5794348753185501,184
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,6,5.30426396811723,6.06937975946052,-0.7314785798720003,11.34000651610646,-4.678977342577257,15.287505278811716,180
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,6,0.7054468639006529,1.9341465425413003,-1.2179804126124316,2.6288741404137372,-2.4759410916540534,3.8868348194553595,180
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,6,-3.893370240315924,2.2883100007430457,-6.1689981597825625,-1.617742320849286,-7.657305244627447,-0.12943523600440088,180
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,7,7.789457347592226,5.126979440930494,2.6908922255045624,12.888022469679889,-0.6436733811279254,16.222588076312377,176
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,7,1.5865859984959658,1.6543134304844012,-0.05855903374901694,3.2317310307409484,-1.1345174477508326,4.307689444742764,176
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,7,-4.616285350600293,1.9684903896054011,-6.573866136566023,-2.6587045646345633,-7.854163907561853,-1.3784067936387339,176
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,8,9.271131820426477,4.660581010866274,4.636380293832831,13.905883347020124,1.6051582410019316,16.937105399851024,172
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,8,2.1827784913690405,1.5467125911129491,0.6446379620769844,3.7209190206610963,-0.36133732397460205,4.726894306712683,172
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,8,-4.9055748376883965,1.746293255798804,-6.642189932313544,-3.1689597430632497,-7.777971633209953,-2.0331780421668397,172
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,9,10.706735003386552,4.026596796257598,6.702454076841047,14.711015929932056,4.0835726587910655,17.329897347982037,168
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,9,2.750020343847378,1.4467400137049655,1.3112983322634884,4.188742355431267,0.37034478504894386,5.129695902645812,168
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,9,-5.206694315691795,1.3743105869917762,-6.57338831290439,-3.8400003184791998,-7.467234069263024,-2.946154562120566,168
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,10,9.512901592385488,2.7598828414783827,6.7683143439419755,12.257488840829,4.9732982906186365,14.052504894152339,164
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,10,2.6494417072891876,1.1031848935452286,1.5523707932652224,3.746512621313153,0.8348640339432452,4.46401938063513,164
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,10,-4.214018177807112,0.8989786379302641,-5.10801457113403,-3.3200217844801947,-5.692706450958601,-2.735329904655624,164
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,11,10.09043379641836,2.223922765664123,7.878836270454036,12.302031322382684,6.432406369255779,13.74846122358094,160
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,11,2.737466266505913,0.9033669215074868,1.8391059099818663,3.6358266230299594,1.2515599091963379,4.223372623815488,160
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,11,-4.615501263406534,0.7423094189173453,-5.353696716829739,-3.877305809983329,-5.836491603432968,-3.3945109233800994,160
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,12,8.037560824966317,2.2903755140576054,5.759878839501139,10.315242810431494,4.270228353587823,11.80489329634481,156
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock alone (no climate shock),0,12,2.1351539040414043,0.8797397777242749,1.260289746910303,3.010018061172506,0.6881107398781492,3.5821970682046596,156
corporate_unsecured_credit_rate__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit_rate,miyajima_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,12,-3.767253016883508,0.8603724311683661,-4.6228571635552305,-2.9116488702117858,-5.18243973081985,-2.352066302947166,156
