model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,0,0.8473890833340918,0.7253541677340212,0.12605491311194483,1.5687232535562388,-0.34571235028757896,2.040490516955763,196
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,0,0.5667636740478074,0.25163751894914993,0.31652075961748155,0.8170065884781332,0.15285678832722843,0.9806705597683862,196
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,0,0.2861382647615229,0.2867117114217714,0.0010155431295824635,0.5712609863934632,-0.1854605336600414,0.7577370631830871,196
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,1,0.5762058674598469,1.0131185303020966,-0.43129784162495244,1.5837095765446463,-1.090225821639301,2.2426375565589947,196
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,1,0.6591234245229292,0.31718960888162284,0.34369171749838096,0.9745551315474774,0.13739294592267315,1.180853903123185,196
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,1,0.7420409815860114,0.39049704104600447,0.35370812074772967,1.130373842424293,0.0997305073076733,1.3843514558643495,196
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,2,0.4368874872419583,1.0326581292770374,-0.590047530078228,1.4638225045621447,-1.261683982100298,2.135458956584215,196
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,2,0.7783854643934754,0.3268357112003259,0.45336111487584513,1.1034098139111057,0.24078855940835575,1.3159823693785953,196
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,2,1.1198834415449925,0.43779770210496244,0.6845120654355974,1.5552548176543877,0.3997703033666252,1.8399965797233597,196
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,3,0.0787666317536041,1.1743771182651566,-1.0891019513663336,1.2466352148735416,-1.8529118306336558,2.0104450941408643,192
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,3,0.693586854061717,0.38471764793548274,0.3110013562623618,1.0761723518610724,0.06078263550279894,1.3263910726206352,192
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,3,1.30840707636983,0.5876012526837789,0.7240623784545197,1.89275177428514,0.341889024691688,2.274925128047972,192
corporate_unsecured_credit_rate__romer_surprise__pop_temp_shock,corporate_unsecured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,4,0.0715015910233473,1.9503145646147833,-1.8680041024966214,2.0110072845433162,-3.136480394279559,3.2794835763262533,188
