model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,0,0.011587702967560209,0.009835824905198864,0.0018063893527143753,0.021369016582406045,-0.004590789301815756,0.027766195236936173,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = 0,0,8.353066293497022e-4,0.003125002452050052,-0.002272376694141281,0.003942989952840686,-0.004304864988137067,0.0059754782468364725,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,0,-0.009917089708860806,0.005460942984297138,-0.01534776750935409,-0.004486411908367521,-0.018899541583157146,-9.346378345644665e-4,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,1,0.015579843663038176,0.01032644447499715,0.005310629549349459,0.025849057776726893,-0.00140564598517387,0.03256533331125022,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = 0,1,0.004676350424007696,0.00417650397122674,5.229931255644237e-4,0.00882970772245097,-0.002193387281041832,0.011546088129057224,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,1,-0.006227142815022783,0.0061013388019325486,-0.012294667284738159,-1.596183453074088e-4,-0.016262952072641283,0.0038086664425957158,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,2,0.010869956769954219,0.009822898150948327,0.0011014982677771453,0.02063841527213129,-0.00528727288080804,0.027027186420716477,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = 0,2,8.335268749479289e-4,0.003791596312712925,-0.002937055968178472,0.0046041097180743295,-0.005403094071953752,0.007070147821849609,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,2,-0.00920290302005836,0.009014545041701098,-0.018167488400327413,-2.3831763978930838e-4,-0.024030510127217814,0.005624704087101095,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,3,0.024101058399278875,0.013658667332938272,0.010518088995898876,0.03768402780265888,0.0016345498973717766,0.04656756690118598,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = 0,3,0.012117620808861963,0.006296375012006403,0.00585614104252729,0.018379100575196636,0.0017610055337166156,0.02247423608400731,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,3,1.3418321844504977e-4,0.009545853723507762,-0.009358766268864421,0.00962713270575452,-0.015567348901014903,0.015835715337905003,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,4,0.03112885433936463,0.014638891004182508,0.016571093778806993,0.04568661489992227,0.0070500213765877645,0.0552076873021415,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = 0,4,0.016248588493853057,0.007837812085906259,0.008454214477906898,0.024042962509799218,0.0033565348569860685,0.029140642130720047,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,4,0.0013683226483414811,0.013788030047087717,-0.012343292525917844,0.015079937822600807,-0.021310968583126616,0.024047613879809582,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,5,0.038755209871244437,0.014487818228499896,0.024347684823402754,0.053162734919086116,0.014924869511482738,0.06258555023100613,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = 0,5,0.01840782082211605,0.008961057664598034,0.009496426385659354,0.027319215258572747,0.003668192621180691,0.03314744902305141,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,5,-0.0019395682270123386,0.01777403412542139,-0.019615096579476812,0.015735960125452135,-0.031175252723770936,0.02729611626974626,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,6,0.04618169193523616,0.014984995287073165,0.03127974524214525,0.061083638628327074,0.02153356808744316,0.07082981578302916,180
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = 0,6,0.017302253057355364,0.008894075400072006,0.008457469661891816,0.026147036452818913,0.002672800877167064,0.03193170523754366,180
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,6,-0.011577185820525436,0.014374877501598174,-0.025872396072164263,0.002718024431113391,-0.0352217552160123,0.012067383574961427,180
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,7,0.05357111212196794,0.01422412464837669,0.03942581923363158,0.06771640501030429,0.030174509103875716,0.07696771514006016,176
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = 0,7,0.013368900739626214,0.009926213140364036,0.0034976998317709576,0.02324010164748147,-0.0029582669461949256,0.029696068425447354,176
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,7,-0.02683331064271551,0.018023686231884682,-0.04475710750051232,-0.008909513784918693,-0.05647963631226633,0.002813015026835314,176
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,8,0.05506154091875655,0.01017989300099081,0.04493806607368944,0.06518501576382366,0.03831710699409892,0.07180597484341418,172
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = 0,8,0.00731033166776875,0.011296679043834378,-0.003923739861462765,0.018544403197000264,-0.011271051829988908,0.025891715165526408,172
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,8,-0.040440877583219056,0.02027622682302078,-0.060604731189121124,-0.02027702397731699,-0.0737923028139555,-0.007089452352482609,172
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,9,0.04610947238522275,0.00689795591468326,0.03924974574783264,0.05296919902261286,0.034763344580404636,0.05745560019004086,168
