model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgage_rate__central_bank_information__land_temp_shock,household_mortgage_rate,central_bank_information,land_temp_shock,Climate = -3 SD,0,0.010037787808119703,0.04017510058368268,-0.029914657676068296,0.0499902332923077,-0.05604437210009093,0.07611994771633034,184
household_mortgage_rate__central_bank_information__land_temp_shock,household_mortgage_rate,central_bank_information,land_temp_shock,Climate = 0,0,0.007200616889323723,0.010154502092138664,-0.002897607766273504,0.01729884154492095,-0.009502052706816866,0.02390328648546431,184
household_mortgage_rate__central_bank_information__land_temp_shock,household_mortgage_rate,central_bank_information,land_temp_shock,Climate = +3 SD,0,0.004363445970527744,0.02346403218082165,-0.018970545803577682,0.027697437744633173,-0.034231452465002796,0.04295834440605828,184
household_mortgage_rate__central_bank_information__land_temp_shock,household_mortgage_rate,central_bank_information,land_temp_shock,Climate = -3 SD,1,0.0050460731946558,0.06785146560737053,-0.062429351665929264,0.07252149805524087,-0.10655965610360064,0.11665180249291225,184
household_mortgage_rate__central_bank_information__land_temp_shock,household_mortgage_rate,central_bank_information,land_temp_shock,Climate = 0,1,2.3128839220557616e-4,0.01654144916761492,-0.016218486132242492,0.016681062916653645,-0.026976974266179225,0.02743955105059038,184
household_mortgage_rate__central_bank_information__land_temp_shock,household_mortgage_rate,central_bank_information,land_temp_shock,Climate = +3 SD,1,-0.004583496410244648,0.04484709624147165,-0.04918204480664263,0.04001505198615333,-0.07835040532127101,0.06918341250078171,184
household_mortgage_rate__central_bank_information__land_temp_shock,household_mortgage_rate,central_bank_information,land_temp_shock,Climate = -3 SD,2,0.011325263065813114,0.09375636270632746,-0.08191149092856714,0.10456201706019339,-0.1428902301814673,0.1655407563130935,184
household_mortgage_rate__central_bank_information__land_temp_shock,household_mortgage_rate,central_bank_information,land_temp_shock,Climate = 0,2,-0.003164190247718777,0.018531831417980222,-0.02159331609164339,0.015264935596205835,-0.033646340369636776,0.027317959874199223,184
household_mortgage_rate__central_bank_information__land_temp_shock,household_mortgage_rate,central_bank_information,land_temp_shock,Climate = +3 SD,2,-0.017653643561250668,0.06719832534888974,-0.08447954794294786,0.049172260820446526,-0.12818505273643696,0.09287776561393563,184
household_mortgage_rate__central_bank_information__land_temp_shock,household_mortgage_rate,central_bank_information,land_temp_shock,Climate = -3 SD,3,-0.020158750634499904,0.10854097577488708,-0.12809817964511522,0.08778067837611542,-0.19869276831067473,0.15837526704167493,184
