model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,0,1.7170488852195582,3.1451727886660366,-1.410692988526185,4.844790758965301,-3.456299983606846,6.890397754045963,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,0,0.8102846281702049,0.5839245375303587,0.22959626862353022,1.3909729877168795,-0.15018576525256622,1.770755021592976,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,0,-0.0964796288791484,2.517312111919501,-2.599840503076889,2.4068812453185924,-4.237089586338809,4.044130328580512,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,1,3.5066310215556578,6.2637301129611815,-2.7223847675769073,9.735646810688223,-6.796288172993693,13.809550216105007,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,1,0.49543110741569923,0.8714552342072704,-0.37119442010612264,1.3620566349375212,-0.9379851952959737,1.928847410127372,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,1,-2.515768806724259,5.458323299937034,-7.943841441454117,2.9123038280055993,-11.493911683699414,6.462374070250897,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,2,6.878898389684568,8.678441586673786,-1.7514462601585388,15.509243039527675,-7.395867730442293,21.153664509811428,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,2,0.5897781869952688,1.0672070234142843,-0.4715142504558819,1.6510706244464197,-1.1656211561758005,2.3451775301663385,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,2,-5.69934201569403,7.621637065986987,-13.278739078928442,1.8800550475403837,-18.235819386990496,6.837135355602437,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,3,3.503474858912874,9.468664651731418,-5.912713347470968,12.919663065296715,-12.07109253587474,19.078042253700488,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,3,-1.0038140992005065,1.232455479535902,-2.2294391665300406,0.2218109681290279,-3.03102296477135,1.0233947663703369,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,3,-5.511103057313887,7.662298289762208,-13.130935995072525,2.1087298804447503,-18.114462190013313,7.092256075385537,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,4,-1.8556793893482313,9.630376422458585,-11.432683140939513,7.72132436224305,-17.696238976737174,13.98488019804071,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,4,-3.02509133485648,1.4085859631547037,-4.425870750094278,-1.624311919618682,-5.342009065224426,-0.7081736044885338,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,4,-4.194503280364729,7.232128988676544,-11.386550965543897,2.99754440481444,-16.090296877970218,7.701290317240761,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,5,-0.7575039068120222,10.451342695488657,-11.15092404046739,9.635916226843344,-17.94843284599931,16.433425032375265,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,5,-3.3273999054867534,1.4308542017876884,-4.750324146178319,-1.9044756647951875,-5.680945628935985,-0.9738541820375213,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,5,-5.897295904161485,8.129335014766221,-13.98157719484883,2.18698538652586,-19.2688620879033,7.474270279580329,184
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,6,0.3740048313468485,10.164776856935243,-9.734437645100462,10.482447307794159,-16.345565248935465,17.09357491162916,180
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,6,-2.3537661803572925,2.1890786190161036,-4.530712670003776,-0.17681969071080816,-5.954480086527849,1.2469477258132642,180
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,6,-5.081537192061433,6.246339891192774,-11.29325913806564,1.130184753942773,-15.355852017261526,5.19277763313866,180
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,7,1.7930295415320523,9.288375566839626,-7.443868763124474,11.029927846188578,-13.484988698071538,17.071047781135643,176
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,7,-1.115616694346552,2.3694031902731796,-3.4718883754160546,1.2406549867229506,-5.012938125577779,2.781704736884675,176
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,7,-4.024262930225156,5.022633049563261,-9.019059960833184,0.9705341003828725,-12.285759118645615,4.237233258195303,176
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,8,14.180981424336641,12.840754773410028,1.4113916135557698,26.950571235117515,-6.940180637501266,35.30214348617455,172
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,8,0.260164621301522,2.5569676920254865,-2.2826320571458716,2.8029612997489153,-3.945672960924333,4.466002203527377,172
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,8,-13.660652181733598,8.338259659778933,-21.952700232650635,-5.368604130816562,-27.37586882558412,0.05456446211692345,172
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,9,7.549552408937731,11.393463980954596,-3.7807676639889456,18.879872481864407,-11.191028143676387,26.29013296155185,168
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,9,1.5262088917738552,2.5811598943880587,-1.040645913025204,4.093063696572914,-2.7194213222520203,5.771839105799731,168
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,9,-4.497134625390021,6.789046950890903,-11.248555885184619,2.2542866344045764,-15.664123126106752,6.66985387532671,168
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,-3 SD,-3,10,9.926963090874406,9.496661055849263,0.482933639714048,19.370992542034763,-5.693654290768045,25.547580472516856,164
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,No climate shock,0,10,1.411300423283637,2.3680957415513006,-0.9436710550975003,3.7662719016647745,-2.483870446175354,5.3064712927426285,164
household_mortgage_rate__central_bank_information__pop_temp_shock,household_mortgage_rate,central_bank_information,pop_temp_shock,+3 SD,3,10,-7.104362244307132,5.770036321104115,-12.842420350235722,-1.366304138378542,-16.595227414716962,2.3865029261026978,164
