model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,-3 SD,-3,0,3.0661678572999713e-4,0.03362711191903456,-0.03313412975173057,0.03374736332319057,-0.05500506021819705,0.05561829378965705,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,No climate shock,0,0,-0.0022690445233466893,0.009244802216286511,-0.01146261096604781,0.00692452191935443,-0.01747539097925456,0.01293730193256118,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,+3 SD,3,0,-0.004844705832423376,0.01626557628678488,-0.021020136395766227,0.011330724730919476,-0.03159919798219733,0.021909786317350584,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,-3 SD,-3,1,-0.033735066055640424,0.06459421144363248,-0.0979712888354784,0.030501156724197544,-0.13998308902876955,0.07251295691748871,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,No climate shock,0,1,-0.008067562986681083,0.01694655352881443,-0.024920196736646652,0.008785070763284488,-0.035942163022878754,0.019807037049516592,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,+3 SD,3,1,0.017599940082278262,0.03195708864765053,-0.01418003864781072,0.049379918812367245,-0.034964793086619414,0.07016467325117594,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,-3 SD,-3,2,-0.0522689616300947,0.06373518157345368,-0.11565091538362071,0.011112992123431309,-0.15710400620560055,0.052566082945411166,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,No climate shock,0,2,-0.023480099073375015,0.018141020670286674,-0.04152058008841268,-0.005439618058337349,-0.05331942271949766,0.006359224572747634,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,+3 SD,3,2,0.0053087634833446674,0.02969528301033448,-0.02422194480042711,0.034839471767116444,-0.043535630479554416,0.054153157446243744,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,-3 SD,-3,3,-0.10912905967141873,0.0628578660685576,-0.1716385601050387,-0.04661955923779876,-0.21252104865671553,-0.00573707068612192,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,No climate shock,0,3,-0.04567612261176204,0.01582075760666864,-0.06140919973206434,-0.029943045491459746,-0.07169895314221103,-0.01965329208131305,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,+3 SD,3,3,0.01777681444789464,0.045797373079912586,-0.02776674424172257,0.06332037313751185,-0.05755316076744926,0.09310678966323854,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,-3 SD,-3,4,-0.16677318906029198,0.07211088803965232,-0.23848443013658016,-0.09506194798400382,-0.2853850447950056,-0.04816133332557837,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,No climate shock,0,4,-0.06167965767170222,0.018394464470672927,-0.07997217787198463,-0.04338713747141981,-0.09193585927211856,-0.031423456071285875,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,+3 SD,3,4,0.04341387371688754,0.05838144862144423,-0.01464401809791286,0.10147176553168794,-0.052615063794775985,0.13944281122855107,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,-3 SD,-3,5,-0.1313989806342036,0.0634729678121929,-0.19452017384575776,-0.06827778742264945,-0.2358027219534631,-0.026995239314944103,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,No climate shock,0,5,-0.05394394026344216,0.017226764146683136,-0.07107523167130635,-0.03681264885557797,-0.0822794457507515,-0.02560843477613283,184
household_mortgage_rate__forward_guidance__pop_temp_shock,household_mortgage_rate,forward_guidance,pop_temp_shock,+3 SD,3,5,0.023511100107319292,0.047951182401049605,-0.02417433124063327,0.07119653145527186,-0.05536157618165872,0.10238377639629731,184
