model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,0,-0.5586081404186785,0.23301956955827138,-0.7903362883080449,-0.32687999252931205,-0.9418912245572719,-0.17532505628008505,196
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,0,-0.4194570681544757,0.19234757338137953,-0.6107386288198551,-0.22817550748909632,-0.7358406718661521,-0.10307346444279925,196
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,0,-0.2803059958902729,0.18898133710350448,-0.46823997635237274,-0.09237201542817303,-0.5911526336511109,0.030540641870565155,196
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,1,-0.9395136353084459,0.4497175078336383,-1.3867387561910514,-0.4922885144258403,-1.6792331091721826,-0.19979416144470918,196
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,1,-0.8167540358825315,0.46878682992338566,-1.2829427944447522,-0.3505652773203108,-1.5878397533490949,-0.04566831841596797,196
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,1,-0.6939944364566171,0.5252486064094621,-1.2163320537454436,-0.17165681916779052,-1.5579515117604268,0.16996263884719265,196
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,2,-0.8655238362516718,0.5212399050294749,-1.3838749688517362,-0.34717270365160735,-1.7228871845512441,-0.008160487952099449,196
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,2,-1.1190218311006195,0.6075627167857707,-1.7232173643525637,-0.5148262978486752,-2.118373569406184,-0.11967009279505492,196
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,2,-1.372519825949567,0.7597030458380831,-2.1280125087817092,-0.6170271431174247,-2.622120136302418,-0.12291951559671599,196
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,3,-1.211589300716208,0.7932599983534775,-2.0004529595137797,-0.4227256419186364,-2.5163858861234436,0.0932072846910279,192
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,3,-1.4304883624741629,0.7771065609062643,-2.2032881080614177,-0.6576886168869082,-2.7087149077086163,-0.15226181723970944,192
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,3,-1.6493874242321178,0.8342022153429152,-2.47896639347092,-0.8198084549933157,-3.021527963749864,-0.2772468847143714,192
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,4,-1.0017803769690834,0.6878273634396301,-1.6857957208290038,-0.31776503310916315,-2.133155710439227,0.12959495650106012,188
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,4,-1.2682511515201553,0.6977431700209116,-1.962127347403214,-0.5743749556370966,-2.415936535409669,-0.12056576763064175,188
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,4,-1.5347219260712273,0.7961371267273496,-2.3264467678612024,-0.7429970842812521,-2.8442509665194313,-0.22519288562302298,188
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,5,-0.5746641884043499,0.4404352068234663,-1.012658451873064,-0.13666992493563568,-1.29911563578505,0.14978725897635026,184
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,5,-0.7784037484550325,0.4188704230095044,-1.194952742660238,-0.3618547542498268,-1.4673842829649129,-0.08942321394515207,184
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,5,-0.9821433085057151,0.5059163477326698,-1.4852558087531553,-0.4790308082582748,-1.8143016480078389,-0.14998496900359126,184
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,6,5.169367787997703e-4,0.45452516503407914,-0.45148919670655435,0.4525230702641539,-0.7471104294682214,0.748144303025821,180
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,6,-0.3910163598541647,0.30832665538735904,-0.6976342329078209,-0.0843984868005086,-0.8981685772538787,0.11613585754554923,180
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,6,-0.7825496564871293,0.6998224194188027,-1.47849357832508,-0.08660573464917853,-1.9336551012901009,0.36855578831584235,180
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,7,-0.010632829845958536,0.44507600239787853,-0.4532421690580119,0.43197650936609483,-0.7427177066591708,0.7214520469672538,176
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,7,0.031042621247402667,0.4025999700240508,-0.369326092723025,0.4314113352178303,-0.631175399657211,0.6932606421520163,176
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,7,0.07271807234076387,0.8453258930107272,-0.7679229258450783,0.913359070526606,-1.3177192887339224,1.4631554334154502,176
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,8,0.16618239163608112,0.41971854933303293,-0.2512100284775152,0.5835748117496775,-0.5241931865331682,0.8565579698053305,172
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,8,0.027690063422704466,0.38646308689617437,-0.356631199910772,0.41201132675618096,-0.6079851467413298,0.6633652735867386,172
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,8,-0.11080226479067218,0.9148058883705651,-1.020538192087482,0.7989336625061378,-1.615524048233559,1.3939195186522149,172
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,9,0.6294444748146628,0.2947267843191265,0.3363511007554468,0.9225378488738789,0.14466205466760346,1.1142268949617222,168
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,9,0.2510573946987766,0.5497324554497504,-0.2956283792794821,0.7977431686770353,-0.6531720285006835,1.1552868178982367,168
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,9,-0.1273296854171097,1.1422002374674847,-1.263199715770702,1.0085403449364825,-2.0060818887203338,1.7514225178861145,168
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,10,0.05473613362039276,0.2630593337993257,-0.2068652946282526,0.3163375618690381,-0.377957965682866,0.4874302329236515,164
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,10,0.6658437551721103,0.712812760973341,-0.04301851423033831,1.3747060245745588,-0.5066289000521821,1.8383164103964025,164
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,10,1.2769513767238276,1.4276061088010599,-0.1427427722917871,2.6966455257394424,-1.0712517091956726,3.625154462643328,164
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,11,-1.3624082062088978,0.4885619596196488,-1.8482624983890628,-0.8765539140287328,-2.1660211174797954,-0.5587952949380001,160
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,11,0.15450535688027142,0.821799447122778,-0.6627395817283919,0.9717502954889348,-1.1972344443463439,1.5062451581068868,160
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,+3 SD,3,11,1.6714189199694407,1.2681662966265745,0.4102809490682253,2.9325568908706563,-0.4145290126143961,3.7573668525532775,160
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,-3 SD,-3,12,-1.4546696234727934,0.4154493183592713,-1.8678164731892892,-1.0415227737562975,-2.1380229415905574,-0.7713163053550295,156
household_mortgage_rate__miyajima_surprise__pop_precip_shock,household_mortgage_rate,miyajima_surprise,pop_precip_shock,No climate shock,0,12,0.18500802439840214,0.8187451300773418,-0.6291995245466053,0.9992155733434096,-1.1617078723581677,1.5317239211549722,156
