model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgage_rate__target__land_precip_shock,household_mortgage_rate,target,land_precip_shock,Climate = -3 SD,0,5.42687205572853e-4,0.002758705961436612,-0.0022007296852355274,0.0032861040963812335,-0.003994980300788805,0.005080354711934511,184
household_mortgage_rate__target__land_precip_shock,household_mortgage_rate,target,land_precip_shock,Climate = 0,0,-0.00365567861912213,0.0011259033079800656,-0.004775342039474845,-0.002536015198769415,-0.005507624758849801,-0.0018037324793944596,184
household_mortgage_rate__target__land_precip_shock,household_mortgage_rate,target,land_precip_shock,Climate = +3 SD,0,-0.007854044443817113,0.002675385863997752,-0.010514603006897614,-0.0051934858807366115,-0.012254662585708512,-0.0034534263019257135,184
household_mortgage_rate__target__land_precip_shock,household_mortgage_rate,target,land_precip_shock,Climate = -3 SD,1,0.004551699206267992,0.004524447596334602,5.2326626923626836e-5,0.009051071785612357,-0.0028903548325148465,0.01199375324505083,184
household_mortgage_rate__target__land_precip_shock,household_mortgage_rate,target,land_precip_shock,Climate = 0,1,-6.500170644415144e-4,0.002294215782743969,-0.002931518035375489,0.0016314839064924605,-0.004423666215697241,0.0031236320868142124,184
household_mortgage_rate__target__land_precip_shock,household_mortgage_rate,target,land_precip_shock,Climate = +3 SD,1,-0.005851733335151021,0.004157414519075915,-0.00998610697741675,-0.0017173596928852924,-0.012690071685593747,9.866050152917052e-4,184
household_mortgage_rate__target__land_precip_shock,household_mortgage_rate,target,land_precip_shock,Climate = -3 SD,2,0.007573790089112524,0.006193555942021098,0.0014145595574690337,0.013733020620756015,-0.0026137028658477163,0.017761283044072766,184
household_mortgage_rate__target__land_precip_shock,household_mortgage_rate,target,land_precip_shock,Climate = 0,2,0.0060762120022863205,0.004003507556262294,0.002094892352471468,0.010057531652101173,-5.089719221593363e-4,0.012661395926731978,184
household_mortgage_rate__target__land_precip_shock,household_mortgage_rate,target,land_precip_shock,Climate = +3 SD,2,0.004578633915460117,0.004924133465239756,-3.1820942702451803e-4,0.009475477257944752,-0.0035208448744326144,0.012678112705352847,184
household_mortgage_rate__target__land_precip_shock,household_mortgage_rate,target,land_precip_shock,Climate = -3 SD,3,0.023545217261583845,0.007434328045329754,0.016152091130538317,0.030938343392629374,0.011316835812276155,0.03577359871089154,184
