model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,No climate shock,0,0,-8.286724670380519e-4,0.013336155275397768,-0.014090917212366699,0.012433572278290596,-0.02276469584136407,0.021107350907287964,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,0,-0.003651209994160744,0.02217539630843662,-0.025703707666386,0.018401287678064517,-0.04012649104117899,0.032824071052857506,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,No climate shock,0,1,-0.04701695141663484,0.04164395031272799,-0.08843010609312246,-0.0056037967401472225,-0.11551515412911234,0.021481251295842663,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,1,-0.013286020621387895,0.03504325888021801,-0.04813506566818088,0.021563024425405093,-0.07092705209071384,0.04435501084793806,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,No climate shock,0,2,-0.05138423420818965,0.04472818092419118,-0.09586452632988368,-0.006903942086495619,-0.12495554482828714,0.02218707641190784,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,2,0.005158799702682418,0.03161865002748445,-0.026284616073599776,0.03660221547896461,-0.04684925147433463,0.057166850879699464,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,No climate shock,0,3,-0.08004857141529141,0.05360332933195729,-0.13335482483574493,-0.026742317994837887,-0.16821820208363558,0.008121059253052745,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,3,-0.01408057203109013,0.042894067897875865,-0.056736915995067194,0.028575771932886934,-0.08463503518761392,0.05647389112543366,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,No climate shock,0,4,-0.0850980674502441,0.052025589776765586,-0.1368353253323854,-0.03336080956810282,-0.17067254748884636,4.7641258835816325e-4,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,4,-0.01685943028900984,0.054399673377743735,-0.07095761432354283,0.037238753745523163,-0.10633893034936703,0.07262006977134736,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,No climate shock,0,5,-0.07329460691671241,0.0540103506523013,-0.12700562589781647,-0.019583587935608347,-0.16213372808007098,0.015544514246646157,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,5,-0.024652153592143525,0.05720390717717315,-0.08153903003488235,0.032234722850595296,-0.11874420778831209,0.06943990060402504,184
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,No climate shock,0,6,-0.07242473565454059,0.03827759017402493,-0.11049018695337187,-0.03435928435570931,-0.1353857686832475,-0.009463702625833681,180
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,6,0.07475089065745925,0.05438839017590693,0.020663927291940706,0.12883785402297782,-0.014710050187433044,0.16421183150235155,180
household_mortgages__central_bank_information__pop_precip_shock,household_mortgages,central_bank_information,pop_precip_shock,No climate shock,0,7,-0.0956521169853126,0.048082732787054994,-0.1434683696516675,-0.0478358643189577,-0.17474117440383846,-0.01656305956678676,176
