model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgages__central_bank_information__pop_temp_shock,household_mortgages,central_bank_information,pop_temp_shock,-3 SD,-3,0,-0.040293718255369586,0.04657519698618073,-0.08661079006032416,0.006023353549584977,-0.1169030999440682,0.03631566343332903,184
household_mortgages__central_bank_information__pop_temp_shock,household_mortgages,central_bank_information,pop_temp_shock,No climate shock,0,0,3.539736287602391e-4,0.01825034873362528,-0.01779522954072056,0.01850317679824104,-0.0296651786788725,0.030373125936392978,184
household_mortgages__central_bank_information__pop_temp_shock,household_mortgages,central_bank_information,pop_temp_shock,+3 SD,3,0,0.04100166551289006,0.023225844860382913,0.017904540997275543,0.06409879002850458,0.002798550355277034,0.0792047806705031,184
household_mortgages__central_bank_information__pop_temp_shock,household_mortgages,central_bank_information,pop_temp_shock,-3 SD,-3,1,-0.40656598389469384,0.13076159088873568,-0.5366028787750456,-0.27652908901434203,-0.6216496609339752,-0.19148230685541245,184
household_mortgages__central_bank_information__pop_temp_shock,household_mortgages,central_bank_information,pop_temp_shock,No climate shock,0,1,-0.09335628822154314,0.04212988497649414,-0.13525268445513788,-0.05145989198794839,-0.16265378232817784,-0.02405879411490844,184
household_mortgages__central_bank_information__pop_temp_shock,household_mortgages,central_bank_information,pop_temp_shock,+3 SD,3,1,0.21985340745160759,0.06491531582327137,0.15529785989010453,0.28440895501311064,0.11307721477499942,0.32662960012821574,184
household_mortgages__central_bank_information__pop_temp_shock,household_mortgages,central_bank_information,pop_temp_shock,-3 SD,-3,2,-0.3697637350700517,0.09730744056979508,-0.466531886439649,-0.27299558370045446,-0.529820231620644,-0.20970723851945952,184
household_mortgages__central_bank_information__pop_temp_shock,household_mortgages,central_bank_information,pop_temp_shock,No climate shock,0,2,-0.08467681745371965,0.03533948789055647,-0.11982044977507914,-0.04953318513236015,-0.14280510228510906,-0.02654853262233023,184
household_mortgages__central_bank_information__pop_temp_shock,household_mortgages,central_bank_information,pop_temp_shock,+3 SD,3,2,0.20041010016261246,0.06865852116423465,0.13213209254131564,0.2686881077839093,0.08747688260449672,0.3133433177207282,184
household_mortgages__central_bank_information__pop_temp_shock,household_mortgages,central_bank_information,pop_temp_shock,-3 SD,-3,3,-0.3200182979052827,0.09411984629080383,-0.4136165210156628,-0.22642007479490256,-0.4748316684448264,-0.165204927365739,184
