model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,No climate shock,0,0,0.18569942695475017,0.11699383526757537,0.0693539851859666,0.30204486872353375,-0.006738307316084158,0.3781371612255845,184
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,MP Shock with extreme heat,3,0,-0.17513630682261805,0.09833617042145511,-0.27292748670289185,-0.07734512694234426,-0.33688491340086646,-0.01338770024436961,184
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,No climate shock,0,1,0.1479184014186406,0.17088459889745386,-0.022019135074069107,0.3178559379113503,-0.13316175086798382,0.428998553705265,184
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,MP Shock with extreme heat,3,1,-0.13291537031372952,0.19634559656486222,-0.3281727966511786,0.06234205602371956,-0.4558751369593935,0.19004439633193448,184
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,No climate shock,0,2,0.07035939053204228,0.16300319940718286,-0.09174042610684209,0.23245920717092666,-0.1977570132175564,0.33847579428164093,184
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,MP Shock with extreme heat,3,2,-0.10087668887005617,0.1960313340562082,-0.295821594378377,0.09406821663826466,-0.4233195396885458,0.22156616194843343,184
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,No climate shock,0,3,0.0651603541709107,0.1358844442412646,-0.06997100261039105,0.20029171095221246,-0.1583496667856184,0.2886703751274398,184
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,MP Shock with extreme heat,3,3,-0.3371293349616854,0.20239730938996642,-0.5384049348249809,-0.13585373509838988,-0.6700432833969907,-0.004215386526380038,184
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,No climate shock,0,4,0.06838249429854211,0.1553499746945053,-0.08610651269284435,0.22287150128992855,-0.18714547502453427,0.32391046362161846,184
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,MP Shock with extreme heat,3,4,-0.3399634337347221,0.21343917943496715,-0.5522197083096463,-0.12770715915979797,-0.6910396421618737,0.01111277469242955,184
household_mortgages__country_risk__pop_temp_shock,household_mortgages,country_risk,pop_temp_shock,No climate shock,0,5,-0.16340231423067422,0.16945610237364456,-0.33191927109414404,0.005114642632795596,-0.44213279882902334,0.11532817036767487,184
