model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,No climate shock,0,0,-0.017944622453175327,0.01135229532051878,-0.02923400202719042,-0.006655242879160235,-0.03661748658535486,7.282416790042046e-4,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,0,-0.03235819298226746,0.033977567452131006,-0.06614745278733028,0.0014310668227953474,-0.08824631804089342,0.023529932076358492,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,No climate shock,0,1,-0.09396304052256685,0.023964315323398593,-0.11779454281164486,-0.07013153823348883,-0.13338083149966776,-0.05454524954546595,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,1,-0.001991900446398062,0.032296816560698986,-0.03410972427776448,0.030125923384968355,-0.05511543630525014,0.05113163541245402,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,No climate shock,0,2,-0.13190118911674692,0.032427149806031355,-0.1641486238713784,-0.09965375436211542,-0.1852391040868963,-0.07856327414659754,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,2,-0.051688739015407006,0.06031216152466664,-0.11166664349703172,0.008289165466217704,-0.15089341664853792,0.04751593861772391,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,No climate shock,0,3,-0.12936662801605509,0.022475935832489902,-0.15171799958719123,-0.10701525644491894,-0.16633625258925464,-0.09239700344285554,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,3,-0.029671691751660484,0.03390426103254316,-0.06338805140987427,0.004044667906553313,-0.08543923848014855,0.02609585497682758,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,No climate shock,0,4,-0.13577708333166918,0.027176282342355508,-0.16280275154335863,-0.10875141511997974,-0.1804780899095499,-0.0910760767537885,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,4,-0.023963156563685792,0.05329110348101162,-0.07695891452532452,0.029032601397952933,-0.11161922140867395,0.06369290828130236,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,No climate shock,0,5,-0.12832822196074145,0.02867064711790251,-0.1568399730038646,-0.0998164709176183,-0.17548723985966916,-0.08116920406181374,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,5,-0.0069428445093897145,0.04344579256350744,-0.05014785541646536,0.03626216639768593,-0.0784048139832562,0.06451912496447677,184
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,No climate shock,0,6,-0.11176430902015554,0.030292159306301226,-0.1418885856417525,-0.08164003239855859,-0.16159047712331687,-0.06193814091699419,180
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,6,-0.06090247000677615,0.07597101197928358,-0.1364524417649973,0.014647501751444997,-0.18586366460407444,0.06405872459052213,180
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,No climate shock,0,7,-0.10567348052913508,0.0332524129204481,-0.13874160469362057,-0.07260535636464961,-0.1603688325262221,-0.05097812853204805,176
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,7,-0.0820126772874411,0.08220267796149594,-0.1637597784072034,-2.6557616767881875e-4,-0.2172240502775315,0.05319869570264929,176
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,No climate shock,0,8,-0.08450235707448223,0.036282370536424524,-0.12058364647596688,-0.04842106767299757,-0.1441815458457173,-0.024823168303247142,172
household_mortgages__forward_guidance__pop_precip_shock,household_mortgages,forward_guidance,pop_precip_shock,MP Shock with extreme dryness,-3,8,-0.08101297513303392,0.09766303156900571,-0.17813474677499463,0.016108796508926812,-0.24165436682838903,0.07962841656232118,172
