model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,0,0.0626458983406497,0.06070078700746549,0.0022815221840394653,0.12301027449725993,-0.037198011327388675,0.16248980800868806,196
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,0,0.029808933435816202,0.021061841220726938,0.008863819398952165,0.05075404747268024,-0.004834712486372513,0.06445257935800491,196
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,0,-0.0030280314690172873,0.025267368184875183,-0.028155364948429726,0.02209930201039515,-0.04458915367142745,0.03853309073339288,196
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,1,0.04308338730879792,0.07116213337979511,-0.027684357216763253,0.11385113183435909,-0.07396790588256245,0.16013468050015828,196
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,1,0.027578635767889742,0.024985144181729185,0.002731962173236853,0.05242530936254263,-0.013518269259332964,0.06867554079511246,196
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,1,0.012073884226981562,0.036313212977981055,-0.02403807668364642,0.04818584513760954,-0.04765603584611182,0.07180380430007495,196
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,2,41.77068687286808,33.332785428285945,8.622635634369935,74.91873811136622,-13.056866135243212,96.59823988097938,196
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,2,9.454076716617461,7.881161375040236,1.6165936583604799,17.291559774874443,-3.5092801557073177,22.417433588942238,196
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,2,-22.862533439633157,17.754469123374378,-40.51860522157696,-5.206461657689349,-52.06603637181341,6.340969492547099,196
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,3,-39.006045723923094,30.504288516070936,-69.34127591043458,-8.670815537411606,-89.1811353271565,11.169043879310308,192
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,3,-6.845569878705238,6.068707073578161,-12.880643468915832,-0.810496288494643,-16.82770471958633,3.136564962175852,192
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,3,25.314905966512622,18.57998497214371,6.837893441045562,43.791918491979686,-5.246449703621792,55.87626163664704,192
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,4,20.84131770697519,26.696718434959113,-5.707444396501046,47.390079810451425,-23.07087643846952,64.7535118524199,188
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,4,4.71491835030374,5.640004217184611,-0.8938283048117501,10.32366500541923,-4.562063042353963,13.991899742961444,188
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,4,-11.411481006367708,15.787292044915816,-27.11127803496887,4.288316022233451,-37.379265586189604,14.556303573454183,188
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,5,-13.5479907923045,8.526624390438913,-22.027359634545036,-5.0686219500639655,-27.573039846570826,0.477058261961826,184
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,5,-0.04208873374019413,1.0768422853632487,-1.1129630333932834,1.0287855659128953,-1.8133366724746451,1.729159204994257,184
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,5,13.463813324824113,9.398854293184051,4.117048579827399,22.810578069820828,-1.9959262485080842,28.92355289815631,184
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,6,-30.439868933076212,24.49446229593425,-54.7985800582521,-6.0811578079003255,-70.72967408076974,9.849936214617308,180
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,6,-4.862127672480835,4.661348204319762,-9.49764214065225,-0.22661320430941956,-12.529363172839926,2.8051078278782553,180
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,6,20.715613588114543,15.304750951505829,5.4956833538276,35.935543822401485,-4.458461524058805,45.88968870028789,180
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,7,-3.8177146720808723,7.82734272618683,-11.601677350721886,3.966248006560141,-16.692547744641498,9.057118400479752,176
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,7,-0.5710138034200696,1.6169459112858453,-2.178998411622057,1.0369708047819177,-3.2306531501829445,2.088625543342806,176
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,7,2.6756870652407327,4.928862491167066,-2.2258590943572187,7.577233224838684,-5.431570280100481,10.782944410581948,176
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,8,3.1219090088878465,11.82268067215968,-8.635248986212932,14.879067003988627,-16.324670175003064,22.56848819277876,172
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,8,0.6527008926225053,2.2989668865903936,-1.6335248509854943,2.938926636230505,-3.1287631290270363,4.4341649142720465,172
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,8,-1.8165072236428357,7.611886754714544,-9.38620801296862,5.753193565682949,-14.33694676007892,10.703932312793249,172
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,9,-28.558548412496183,24.054454729619476,-52.479690544678405,-4.637406280313961,-68.12460551885076,11.007508693858387,168
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,9,-3.217179285625259,3.372546570762133,-6.571034809411682,0.13667623816116414,-8.764524744606101,2.330166173355583,168
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,9,22.124189841245663,17.698907437618384,4.5233718157063265,39.725007866785,-6.987922250599311,51.23630193309064,168
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = -3 SD,10,-30.349822508225305,32.672275696851656,-62.84102463736187,2.1413796209112625,-84.09093368895017,23.39128867249956,164
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = 0,10,-0.7035965066737951,2.5470011612181827,-3.2364818899916123,1.8292888766440223,-4.893040604553133,3.4858475912055424,164
household_mortgages__romer_surprise__land_temp_shock,household_mortgages,romer_surprise,land_temp_shock,Climate = +3 SD,10,28.942629494877718,28.016863421613948,1.0810388024427446,56.804220187312694,-17.141009919968003,75.02626890972344,164
