model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,0,0.0010886748573624527,7.649740318868806e-4,3.2794040090179514e-4,0.0018494093138231103,-1.6959545351037338e-4,0.0023469451682352786,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock alone (no climate shock),0,0,5.360383797082508e-4,5.111662959749357e-4,2.770502704484601e-5,0.0010443717323716556,-3.047553562014716e-4,0.0013768321156179732,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,0,-1.65980979459512e-5,3.28328820211733e-4,-3.431072814904669e-4,3.099110855985645e-4,-5.566509487039178e-4,5.234547528120154e-4,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,1,0.001496221675434145,9.491593112206637e-4,5.523227159688164e-4,0.0024401206348994738,-6.500646018192408e-5,0.0030574498110502142,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock alone (no climate shock),0,1,0.0010896546709014251,7.057553901221484e-4,3.878106595766798e-4,0.0017914986822261704,-7.120964228154135e-5,0.0022505189840843916,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,1,6.830876663687052e-4,5.359110786888869e-4,1.5014666946709925e-4,0.0012160286632703111,-1.9840761513618597e-4,0.0015645829478735964,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,2,0.0017110234855301507,8.110337338899674e-4,9.044845953142314e-4,0.0025175623757460698,3.769917067612432e-4,0.003045055264299058,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock alone (no climate shock),0,2,0.0010488614064524018,5.970896940676962e-4,4.5508085320348146e-4,0.0016426419597013221,6.673625754980718e-5,0.0020309865553549966,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,2,3.866993273746529e-4,5.934617091737044e-4,-2.0347334769627143e-4,9.768720024455773e-4,-5.894583174165343e-4,0.00136285697216584,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,3,0.0024035917488297465,0.0011012161697598923,0.0013084786476939719,0.003498704849965521,5.922523379425803e-4,0.004214931159716913,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock alone (no climate shock),0,3,0.0017702781729694872,8.676974392279951e-4,9.073896142882917e-4,0.002633166731650683,3.430428929588154e-4,0.003197513452980159,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,3,0.0011369645971092276,7.824445351130255e-4,3.588564609916888e-4,0.0019150727332267665,-1.500421343597904e-4,0.002423971328578246,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,4,0.002647148409529321,0.0012310911775157895,0.0014228800830987662,0.0038714167359598754,6.221836210845164e-4,0.004672113197974125,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock alone (no climate shock),0,4,0.0014854192610307287,9.829986478262674e-4,5.078685065153692e-4,0.002462970015546088,-1.3146963013469935e-4,0.0031023081521961565,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,4,3.2369011253213656e-4,0.001231724265018642,-9.012077927563914e-4,0.0015485880178206645,-0.0017023160121879123,0.0023496962372521854,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,5,-0.2159262783078037,0.11465186251301321,-0.32994272680855047,-0.10190982980705691,-0.4045118101990749,-0.027340746416532474,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock alone (no climate shock),0,5,0.1649000920973362,0.10836625684374884,0.05713441370513728,0.2726657704895351,-0.013346538511258804,0.34314672270593116,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,5,0.545726462502476,0.305481850757478,0.2419376278391967,0.8495152971657554,0.043253532316190224,1.0481993926887618,184
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,6,0.2578254134219097,0.25147538848693,0.007743730907846913,0.5079070959359724,-0.1558147914198475,0.6714656182636669,180
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock alone (no climate shock),0,6,0.005022902952536631,0.047182092979153115,-0.04189770135691774,0.051943507261991,-0.07258473381138493,0.08263053971645819,180
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,6,-0.2477796075168364,0.21178737607092252,-0.4583932332148739,-0.03716598181879885,-0.5961388411896286,0.10057962615595581,180
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,7,-0.11814468979754171,0.09696121726372589,-0.21456853667106754,-0.021720842924015882,-0.27763169968741086,0.04134232009232745,176
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock alone (no climate shock),0,7,0.10753728564162225,0.08086376180692073,0.02712168024673417,0.18795289103651033,-0.025471766255431197,0.24054633753867571,176
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,7,0.3332192610807862,0.24218215334455462,0.09237930951458054,0.5740592126469919,-0.06513493223092193,0.7315734543924943,176
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,8,-0.011649218250376646,0.06819360762439754,-0.07946488893697151,0.05616645243621821,-0.12381772108627245,0.10051928458551918,172
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock alone (no climate shock),0,8,-0.005847867601349269,0.029979833367328082,-0.03566154923080348,0.023965814028104944,-0.05516030525099961,0.04346457004830107,172
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large positive climate shock (+3 SD),3,8,-4.651695232189227e-5,0.046500736914914624,-0.04628954135242152,0.046196507447777736,-0.0765334227227354,0.0764403888180916,172
household_mortgages__target__pop_precip_shock,household_mortgages,target,pop_precip_shock,MP shock during a large negative climate shock (-3 SD),-3,9,0.011782104161200846,0.051708008436352426,-0.03963933245340625,0.06320354077580795,-0.07327000105777073,0.09683420938017243,168
