model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,-3 SD,-3,0,0.04177521917436411,0.0474363682819482,-0.00539825121446038,0.0889486895631886,-0.03625066324360414,0.11980110159233236,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,No climate shock,0,0,0.024140565307472484,0.018940868023985487,0.005304669786184574,0.042976460828760395,-0.007014390159389195,0.05529552077433417,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,+3 SD,3,0,0.006505911440580863,0.014014143302013018,-0.007430563842537145,0.02044238672369887,-0.016545302998352922,0.02955712587951465,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,-3 SD,-3,1,0.0797926881809044,0.05800688749431247,0.02210728163172411,0.1374780947300847,-0.015620151102281418,0.17520552746409024,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,No climate shock,0,1,0.0392570827820504,0.023268734089167468,0.016117306734766298,0.0623968588293345,9.834211209139507e-4,0.07753074444318686,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,+3 SD,3,1,-0.0012785226168035985,0.0238486287995876,-0.024994979530296644,0.022437934296689447,-0.04050602619562458,0.03794898096201738,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,-3 SD,-3,2,-0.03839453377713691,0.06206061023079801,-0.10011119685796185,0.02332212930368803,-0.14047515360608662,0.06368608605181278,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,No climate shock,0,2,0.008104517207116078,0.016656654258078475,-0.008459823927729366,0.024668858341961523,-0.019293240962160972,0.03550227537639313,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,+3 SD,3,2,0.05460356819136907,0.03862473862949106,0.0161928923743554,0.09301424400838273,-0.008928473233401908,0.11813560961614006,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,-3 SD,-3,3,-0.10776103285430393,0.10161030686729391,-0.2088082035338465,-0.006713862174761359,-0.2748951146406243,0.05937304893201649,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,No climate shock,0,3,0.011127098949091072,0.01878352437305419,-0.0075523249381552054,0.02980652283633735,-0.01976904924285848,0.04202324714104062,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,+3 SD,3,3,0.13001523075248606,0.08247048085457118,0.048001810934558714,0.2120286505704134,-0.005636638797587246,0.26566710030255936,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,-3 SD,-3,4,-0.31884726580036105,0.13498550417700964,-0.4530846645482314,-0.18460986705249074,-0.5408786619317884,-0.09681586966893374,184
household_mortgages__target__pop_temp_shock,household_mortgages,target,pop_temp_shock,No climate shock,0,4,-0.046713991480151935,0.027447205523941882,-0.07400908138551422,-0.019418901574789645,-0.09186062703589021,-0.00156735592441367,184
