model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,0,-0.010454484146095748,0.018387430367306692,-0.028740009226834298,0.0078310409346428,-0.04069911567607779,0.019790147383886292,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,0,0.04376335137279948,0.029819843651481527,0.01410877277750136,0.0734179299680976,-0.005285926612465727,0.09281262935806468,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,1,5.537414211308134e-4,0.02531264887007171,-0.02461862179263245,0.025726104634894078,-0.0410818608805557,0.04218934372281733,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,1,0.107275386151531,0.059280671590706706,0.04832325496618425,0.16622751733687774,0.00976735847743801,0.20478341382562398,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,2,-0.0035952014962500486,0.03398717175113192,-0.03739401237216702,0.030203609379666922,-0.059499124220921976,0.05230872122842188,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,2,0.12480033312558513,0.07350522606159968,0.05170248161151232,0.19789818463965791,0.0038949954382750673,0.24570567081289518,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,3,-0.005555036174376332,0.038792230317177503,-0.04413227542058189,0.03302220307182922,-0.06936257690912258,0.058252504560369914,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,3,0.14170662733609965,0.08648510493263198,0.05570083295562106,0.22771242171657824,-5.487111896186614e-4,0.283961965861818,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,4,-0.028576291766490985,0.04259402348744912,-0.07093425420120614,0.013781670668224173,-0.09863722578627783,0.04148464225329586,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,4,0.13697434645566142,0.11079844132458098,0.026789963033078568,0.24715872987824428,-0.04527287161764543,0.31922156452896827,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,5,0.023574086194758904,0.055253999465177575,-0.03137368915225443,0.07852186154177224,-0.06731065522911309,0.11445882761863091,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,5,0.18976235120393217,0.1584642185622365,0.03217635984804276,0.3473483425598216,-0.07088809344019323,0.4504127958480576,184
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,6,0.04878681208891657,0.06973050973538691,-0.020557243017673393,0.11813086719550653,-0.0659096697585095,0.16348329393634264,180
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,6,0.22396325496289637,0.1791868951727188,0.045769434490506494,0.4021570754352862,-0.07077295946412326,0.5186994693899161,180
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,7,0.07170356633697901,0.04144771444767941,0.030485559963457434,0.11292157271050059,0.0035281428988646196,0.1398789897750934,176
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,7,0.3575786652925916,0.10003993968432713,0.25809315863768423,0.45706417194749893,0.19302760766281965,0.5221297229223635,176
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,8,0.017715767276439566,0.039628013701192094,-0.02169262334465502,0.05712415789753415,-0.047466514788848856,0.08289804934172798,172
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,8,0.2772499874189788,0.06355926842752953,0.2140429718801773,0.34045700295778036,0.17270429421957473,0.3817956806183829,172
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,9,0.023170544386777316,0.04836120630943275,-0.024922638469171334,0.07126372724272596,-0.05637656121504152,0.10271764998859616,168
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,9,0.26814774729763463,0.07723836569281049,0.19133744564818148,0.3449580489470878,0.14110194134801118,0.3951935532472581,168
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,10,0.029483801640896902,0.03436174747992387,-0.004687509021376261,0.06365511230317006,-0.027036243329846464,0.08600384661164026,164
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,10,0.23488606019144073,0.06791510714309272,0.16734734650395716,0.3024247738789243,0.12317564988232688,0.3465964705005546,164
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,11,0.04780638418387784,0.027741109305877327,0.020219019345664682,0.07539374902209099,0.002176319926448296,0.09343644844130738,160
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,11,0.20014002549230403,0.04749293187517871,0.1529103049922888,0.24736974599231926,0.12202110424285718,0.2782589467417509,160
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,No climate shock,0,12,0.037011558510927425,0.02379751009418844,0.013345936996998053,0.060677180024856794,-0.0021318622799126816,0.07615497930176754,156
household_secured_credit__central_bank_information__pop_precip_shock,household_secured_credit,central_bank_information,pop_precip_shock,MP Shock with extreme dryness,-3,12,0.15317583774038873,0.041515901509031485,0.11189002220617268,0.1944616532746048,0.08488825656709822,0.22146341891367924,156
