model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,No climate shock,0,0,0.00934880073193357,0.021308096597827654,-0.011841203905971064,0.030538805369838204,-0.025699899240435555,0.04439750070430269,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,MP Shock with extreme dryness,-3,0,-0.07897304281853847,0.04903464732916271,-0.1277359344054344,-0.030210151231642536,-0.15962786032419804,0.001681774687121107,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,No climate shock,0,1,0.09440809190142231,0.03903512266154999,0.055589306448584244,0.13322687735426036,0.030201028813076236,0.1586151549897684,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,MP Shock with extreme dryness,-3,1,0.05633267519075775,0.08927324473773036,-0.03244580679839184,0.14511115717990733,-0.09050874520582441,0.2031740955873399,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,No climate shock,0,2,0.1314223013717613,0.047622810917455925,0.08406342163428976,0.17878118110923286,0.05308974810855979,0.20975485463496282,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,MP Shock with extreme dryness,-3,2,0.077342950308918,0.0765117909600694,0.0012551966301802553,0.15343070398765574,-0.048507746556304965,0.20319364717414096,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,No climate shock,0,3,0.21245107550872488,0.060920937025013305,0.15186776943167546,0.2730343815857743,0.11224505128584956,0.3126570997316002,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,MP Shock with extreme dryness,-3,3,0.13027986552954557,0.1239181666602477,0.007048467821362217,0.25351126323772893,-0.07354738034673977,0.33410711140583094,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,No climate shock,0,4,0.241494954809735,0.08914916083606032,0.15283986903478064,0.3301500405846894,0.09485763426886112,0.3881322753506089,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,MP Shock with extreme dryness,-3,4,0.1299770519546347,0.12208893783187792,0.008564745275018201,0.25138935863425116,-0.07084138024878245,0.3307954841580518,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,No climate shock,0,5,0.29131414955576285,0.12513963546089507,0.16686805256968096,0.41576024654184474,0.0854777662925246,0.4971505328190011,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,MP Shock with extreme dryness,-3,5,0.16551577992523578,0.18410961920424596,-0.017573482267172397,0.348605042117644,-0.13731759497952248,0.46834915482999406,184
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,No climate shock,0,6,0.27870779307207494,0.15499211303576596,0.12457466442832033,0.43284092171582955,0.023768453796322864,0.533647132347827,180
household_secured_credit__country_risk__pop_precip_shock,household_secured_credit,country_risk,pop_precip_shock,MP Shock with extreme dryness,-3,6,0.04625170401719131,0.17875911543594647,-0.13151670752368794,0.22402011555807055,-0.24778087535826204,0.34028428339264466,180
