model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,0,-0.011853795990903335,0.015793041373987002,-0.0275593104851225,0.0038517185033158305,-0.037831037375500504,0.014123445393693836,196
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,0,0.0026575114882524953,0.011720831941619181,-0.008998362233867378,0.014313385210372368,-0.016621541441808472,0.021936564418313462,196
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,1,-0.023147812521270406,0.014899001406134883,-0.03796424192155444,-0.008331383120986373,-0.04765448902210644,0.0013588639795656318,196
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,1,0.0036956619673301216,0.008148119629932723,-0.004407299831992612,0.011798623766652855,-0.0097068021587992,0.017098126093459443,196
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,2,-0.02473214804486849,0.014288921173225494,-0.03894187834814534,-0.010522417741591641,-0.04823533186187212,-0.0012289642278648615,196
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,2,-0.0018132138619263855,0.00849658412545438,-0.01026270892583934,0.006636281201986569,-0.01578885107737832,0.012162423353525548,196
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,3,-0.02216217804091246,0.015095893669804834,-0.03717440850494609,-0.00714994757687883,-0.0469927134957647,0.0026683574139397814,192
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,3,-0.00979474430745742,0.022959568777099582,-0.03262706847294061,0.013037579858025774,-0.04755987428371143,0.027970385668796588,192
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,4,0.0018606852189746038,0.01149965075735216,-0.009575233130833262,0.013296603568782468,-0.017054557037931333,0.02077592747588054,188
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,4,-0.040025465230197496,0.027648788659090116,-0.06752102107343008,-0.012529909386964907,-0.0855036755369166,0.0054527450765215965,188
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,5,0.0048107312648107015,0.01804944479239258,-0.013138681396543327,0.022760143926164732,-0.024877963466416582,0.03449942599603799,184
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,5,-0.049341314445413634,0.03644118976557734,-0.0855805428813346,-0.013102086009492662,-0.10928173760175036,0.010599108710923101,184
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,6,-0.011914097410397938,0.02735319790943187,-0.039115700702429,0.015287505881633126,-0.05690610420044836,0.033077909379652486,180
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,6,-0.04335095459735466,0.046912466807796704,-0.09000342703518399,0.003301517840474659,-0.1205150957753996,0.03381318658069027,180
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,7,-0.024201495585499694,0.030236776494180554,-0.05427069633298891,0.005867705161989523,-0.07393656706927357,0.025533575898274187,176
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,7,-0.03281524863103805,0.047779439708763964,-0.08032988910476349,0.014699391842687391,-0.11140543332970762,0.04577493606763151,176
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,8,-0.026027886975059863,0.021542973017934574,-0.047451466320519914,-0.004604307629599815,-0.06146292427892723,0.009407150328807509,172
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,8,-0.03225732011100166,0.04519287986568334,-0.0771997357583818,0.012685095536378477,-0.10659299247045304,0.04207835224844972,172
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,9,-0.06030986056136646,0.019606683553306865,-0.07980788158455149,-0.04081183953818143,-0.09255998511651303,-0.028059736006219894,168
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,9,-0.019306384237990207,0.03759854246960256,-0.05669655119408317,0.018083782718102757,-0.08115048318720491,0.04253771471122449,168
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,10,-0.0794421076791302,0.02136435488733158,-0.1006880588165279,-0.05819615654173249,-0.11458334430303593,-0.04430087105522445,164
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,10,-0.008362671127124285,0.03351287979303521,-0.041689818626368995,0.024964476372120424,-0.06348645300428693,0.04676111075003836,164
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,11,-0.08523911407592871,0.018200730956855836,-0.1033389744561538,-0.06713925369570363,-0.11517665240348096,-0.055301575748376464,160
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,11,0.020948558188503996,0.01800238490249408,0.0030459446056425137,0.038851171771365475,-0.008662729912139802,0.050559846289147795,160
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,12,-0.08178471583669326,0.019637748331714288,-0.10131362947365571,-0.062255802199730814,-0.11408593740527373,-0.049483494268112806,156
household_secured_credit__miyajima_surprise__pop_temp_shock,household_secured_credit,miyajima_surprise,pop_temp_shock,MP Shock with extreme heat,3,12,0.014479626885537472,0.017800713057768435,-0.003222432541515139,0.03218168631259008,-0.014799940549855357,0.0437591943209303,156
