model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = -3 SD,0,0.0348312806198536,0.044389165023940996,-0.00931187446730318,0.07897443570701038,-0.03818239846712316,0.10784495970683036,196
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = 0,0,0.012530074588469038,0.0074974799090223535,0.005074146588735015,0.019986002588203062,1.978175671178313e-4,0.024862331609820244,196
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = +3 SD,0,-0.00977113144291552,0.033113224095050346,-0.04270083818272948,0.023158575296898444,-0.06423753819571594,0.0446952753098849,196
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = -3 SD,1,0.015622637259350754,0.04337676059911317,-0.027513724266539554,0.05875899878524106,-0.05572578473750622,0.08697105925620774,196
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = 0,1,-0.016152586812755106,0.013595957865068507,-0.02967319429146013,-0.0026319793340500823,-0.038515947418992426,0.006210773793482213,196
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = +3 SD,1,-0.047927810884860964,0.023168471410133434,-0.07096787992058795,-0.024887741849133983,-0.08603655511474043,-0.009819066654981508,196
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = -3 SD,2,40.390892201899426,32.43340512257539,8.13723679841874,72.64454760538011,-12.957311848355133,93.73909625215398,196
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = 0,2,9.362346558777118,7.904281550492626,1.5018714597803147,17.22282165777392,-3.6390396179962785,22.363732735550514,196
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = +3 SD,2,-21.666199084345195,16.784717399193067,-38.35789361942065,-4.974504549269742,-49.27460237576338,5.94220420707299,196
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = -3 SD,3,-37.88396857089681,29.1586019200467,-66.8809701136623,-8.886967028131323,-85.84560069591976,10.07766355412614,192
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = 0,3,-6.58528846062625,5.665947803228736,-12.21983491940205,-0.9507420018504495,-15.90494325488476,2.7343663336322592,192
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = +3 SD,3,24.713391649644315,17.99361182463916,6.819502523215668,42.60728077607296,-4.883466022070294,54.310249321358924,192
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,Climate = -3 SD,4,19.0192526900245,24.728338556707556,-5.572038526373021,43.61054390642202,-21.65524467345984,59.69375005350884,188
