model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,0,-0.012338938555141081,0.02226901970577876,-0.03448454075290611,0.009806663642623946,-0.048968216386845065,0.024290339276562906,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,0,-0.036120374987954514,0.0181844693213719,-0.05420406385657871,-0.018036686119330316,-0.06603116530540085,-0.006209584670508181,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,1,-0.0699551187314362,0.03174588198625678,-0.10152506133211575,-0.03838517613075664,-0.12217244785730405,-0.01773778960556835,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,1,0.017899975503483892,0.03737275523990636,-0.0192656555621096,0.055065606569077385,-0.0435727365020457,0.07937268750901348,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,2,-0.06372006769420126,0.030598799841364648,-0.09414928541320368,-0.033290849975198836,-0.114050614593632,-0.013389520794770508,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,2,0.034574620873755346,0.03286794417241549,0.0018888346865986935,0.06726040706091199,-0.01948833630868075,0.08863757805619144,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,3,-0.07429292450519559,0.019389605197188884,-0.09357507024586488,-0.0550107787645263,-0.10618598693894883,-0.04239986207144235,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,3,0.040648785589664144,0.05970218797355706,-0.018722525885510197,0.10002009706483848,-0.05755257483557971,0.138850146014908,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,4,-0.07640052267464424,0.030922734683315165,-0.10715187995087067,-0.04564916539841782,-0.12726389497375326,-0.02553715037553523,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,4,0.038965917149329996,0.0987168063724877,-0.05920378915308121,0.13713562345174118,-0.12340877985352254,0.20134061415218252,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,5,-0.10385826694579452,0.0467355391330319,-0.150334792262696,-0.05738174162889303,-0.18073138799629446,-0.026985145895294563,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,5,-0.008682785591681882,0.12463543377718361,-0.13262747523866927,0.11526190405530551,-0.2136898308867523,0.19632425970338852,184
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,6,-0.084389622509282,0.03834945436209176,-0.1225265397164568,-0.0462527053021072,-0.14746886160837858,-0.021310383410185443,180
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,6,-0.03968153931916246,0.13227491116286183,-0.1712233674759402,0.09186028883761527,-0.25725440670007943,0.1778913280617545,180
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,7,-0.07130841021696124,0.02723464606661614,-0.09839211869433516,-0.04422470173958733,-0.11610541657837442,-0.02651140385554806,176
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,7,-0.04202067052171881,0.13854952073096408,-0.17980233362755918,0.09576099258412155,-0.2699143522084332,0.18587301116499555,176
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,8,-0.07609232625759733,0.02872292730088556,-0.10465606774082362,-0.04752858477437105,-0.12333733740512239,-0.028847315110072283,172
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,8,-0.01399663073762196,0.16743137952681847,-0.18050008600475065,0.15250682452950676,-0.2893967426177977,0.26140348114255374,172
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,9,-0.08387847376820873,0.031228879972531712,-0.11493427964070407,-0.05282266789571338,-0.13524541025665968,-0.03251153727975777,168
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,9,-0.027098342319438543,0.18585751649289978,-0.21192581474958944,0.15772913011071238,-0.33280675241897767,0.2786100677801006,168
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,10,-0.050709719052469245,0.027382990459824355,-0.07794094978109904,-0.023478488323839447,-0.09575073022708888,-0.0056687078778496144,164
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,10,-0.06963086509234875,0.16193006903116866,-0.23066349876909395,0.09140176858439644,-0.33598212645076864,0.19672039626607116,164
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,11,-0.05708099898169779,0.027307620884372844,-0.08423727784186566,-0.029924720121529927,-0.10199803823677422,-0.01216395972662137,160
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,11,0.022776132892223126,0.09715469320114184,-0.07384011765247739,0.11939238343692365,-0.1370291165950325,0.18258138237947877,160
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,No climate shock,0,12,-0.07818544770824037,0.02343162661257341,-0.10148721350954144,-0.054883681906939305,-0.11672704372730437,-0.039643851689176376,156
household_secured_credit__target__pop_temp_shock,household_secured_credit,target,pop_temp_shock,MP Shock with extreme heat,3,12,-0.021415069532038367,0.08499448911549676,-0.10593850926232969,0.06310837019825295,-0.16121856322455058,0.11838842416047385,156
