model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = -3 SD,0,0.0090058904010945455,0.010565129133693155,-0.0015006855530356432,0.019512466355224734,-0.008372200573671298,0.02638398137586039,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = 0,0,0.011546916354866122,0.005503898227486066,0.006073521374158416,0.01702031133557383,0.002493809393013892,0.02060002331671835,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = +3 SD,0,0.014087942308637698,0.005011287067484123,0.009104428379351024,0.01907145623792437,0.005845108599991435,0.022330776017283963,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = -3 SD,1,0.007729011283526745,0.022228019495973205,-0.014375817932383895,0.029833840499437384,-0.028832827204372802,0.04429084977142629,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = 0,1,0.02244082920976458,0.012205769197045024,0.010302705811124375,0.03457895260840478,0.0023641254762725196,0.042517532943256636,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = +3 SD,1,0.037152647136002415,0.009392795695970882,0.02781190741076553,0.0464933868612393,0.02170287306827054,0.05260242120373429,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = -3 SD,2,0.014021847783484307,0.03011779607668952,-0.015929031949883363,0.04397272751685198,-0.03551751832904325,0.06356121389601187,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = 0,2,0.023024988965801393,0.017282526109319685,0.005838244634610048,0.040211733296992735,-0.005402236787996593,0.051452214719599376,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = +3 SD,2,0.03202813014811848,0.013082905735880829,0.01901773140378169,0.045038528892455264,0.010508665197390684,0.05354759509884627,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = -3 SD,3,0.020576044366358234,0.036878118128125685,-0.016097690924096863,0.05724977965681333,-0.04008306199183412,0.08123515072455058,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = 0,3,0.002640643607591047,0.020133369197448667,-0.0173811441063842,0.022662431321566298,-0.030475801739585428,0.03575708895476752,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = +3 SD,3,-0.015294757151176138,0.01852606775392237,-0.033718151273942246,0.0031286369715899705,-0.04576742688936405,0.015177912587011773,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = -3 SD,4,0.024723418201528843,0.032625972587190716,-0.00772173743518827,0.05716857383824596,-0.02894153114133109,0.07838836754438877,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = 0,4,-0.02527660819922835,0.01965670682574431,-0.044824375260032745,-0.005728841138423958,-0.057609013715475624,0.007055797317018924,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = +3 SD,4,-0.07527663459998554,0.030358276169854134,-0.10546666165775578,-0.0450866075422153,-0.12521155526596456,-0.02534171393400654,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = -3 SD,5,0.020707427716523848,0.0265350270508056,-0.005680539115333831,0.047095394548381526,-0.02293880776924915,0.06435366320229685,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = 0,5,-0.041984381684965384,0.01760657631419238,-0.05949338029694812,-0.02447538307298265,-0.07094462259356259,-0.013024140776368178,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = +3 SD,5,-0.10467619108645462,0.0364913620695461,-0.1409653137655761,-0.06838706840733313,-0.1646991403389469,-0.04465324183396237,184
household_secured_credit_rate__central_bank_information__land_precip_shock,household_secured_credit_rate,central_bank_information,land_precip_shock,Climate = -3 SD,6,0.046793858827884935,0.03216893364401605,0.014803209171141717,0.07878450848462815,-0.006119328351636089,0.09970704600740596,180
