model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,0,-1.130482470469977,1.0068130241623168,-2.1317156192664446,-0.12924932167350933,-2.786542524925343,0.5255775839853893,196
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,0,-0.599059428160979,0.3775050324264569,-0.9744722836088227,-0.22364657271313543,-1.2199999499400693,0.021881093618111414,196
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,0,-0.06763638585198117,0.26694218043857204,-0.33309914155031956,0.1978263698463572,-0.5067171995327006,0.3714444278287382,196
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,1,-1.4584852715128098,1.701180500702864,-3.150237631199488,0.23326708817386854,-4.256678188193036,1.3397076451674164,196
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,1,-0.986265288088057,0.5972745952335391,-1.5802297177589644,-0.39230085841714957,-1.968694572343916,-0.003836003832198176,196
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,1,-0.5140453046633042,0.533066904215331,-1.0441578898384587,0.016067280511850135,-1.390862335469684,0.3627717261430756,196
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,2,-0.048990059037420486,2.5472296633067426,-2.5821026780585363,2.484122559983695,-4.238810009405891,4.140829891331051,196
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,2,-0.8596072219393146,0.9670613004892785,-1.8213089557579536,0.10209451187932439,-2.4502815095335113,0.731067065654882,196
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,2,-1.6702243848412088,0.718208871524528,-2.3844528589199565,-0.9559959107624612,-2.851572852077052,-0.48887591760536564,196
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,3,1.3963544398287453,3.764082372778447,-2.3468669488316545,5.139575828489145,-4.795010103179984,7.587718982837475,192
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,3,-0.6028012855787841,1.3978174111857458,-1.992871829420298,0.7872692582627299,-2.9020063241835743,1.696403753026006,192
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,3,-2.6019570109863137,1.1152354241784794,-3.7110116701953757,-1.4929023517772517,-4.436356043351049,-0.7675579786215789,192
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,4,0.818379153403823,4.849981475480576,-4.0047231583091065,5.641481465116753,-7.159130467187852,8.795888773995499,188
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,4,-0.6509096688446536,1.7218175572367378,-2.363184712087688,1.0613653743983809,-3.483047522814225,2.181228185124917,188
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,4,-2.12019849109313,1.5116467999536887,-3.6234675679358723,-0.6169294142503874,-4.60663621266654,0.3662392304802804,188
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,5,-1.7333054858245083,5.391308239303296,-7.0947344652133655,3.628123493564349,-10.601218397255888,7.1346074256068706,184
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,5,-1.1697211032257389,1.8272675894301396,-2.986861762268224,0.6474195558167462,-4.175308825110776,1.8358666186592985,184
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,5,-0.6061367206269695,1.8245317858395398,-2.4205567382218693,1.20828329696793,-3.6072244460533818,2.394951004799443,184
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,6,-2.9400947218404445,5.339335702534325,-8.24983920232899,2.3696497586481016,-11.722520417665514,5.842330973984624,180
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,6,-1.439087752320978,1.8393909122160745,-3.2682845452786324,0.3901090406366765,-4.464616565661164,1.586441061019208,180
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,6,0.06191921719848836,1.785902502688628,-1.7140856052442452,1.837924039641222,-2.8756289917306113,2.9994674261275884,180
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,7,-2.6460629152364277,4.017330238543191,-6.641128640412623,1.3490028099397668,-9.253983128766016,3.96185729829316,176
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,7,-1.254278873322053,1.4247228504163059,-2.6711057433076184,0.1625479966635126,-3.597739421229952,1.0891816745858465,176
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,7,0.13750516859232165,1.3862679546283627,-1.2410799271289141,1.5160902643135574,-2.142702704504739,2.4177130416893817,176
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,8,-0.5694465071364989,3.2063806391790965,-3.7580570103392787,2.6191639960662814,-5.843473330877214,4.704580316604216,172
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,8,-0.4883291343386275,1.1943395835528938,-1.6760495484322566,0.6993912797550015,-2.452842930157315,1.47618466148006,172
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,8,-0.4072117615407561,1.1200319122765174,-1.5210363261506337,0.7066128030691216,-2.249500314750178,1.4350767916686662,172
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,9,4.013848228908813,2.943814700450957,1.0863484933366006,6.941347964481025,-0.828296058201003,8.85599251601863,168
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,9,1.1943808892459131,1.2037980758470495,-0.0027455970729177714,2.391507375564744,-0.7856907419283088,3.174452520420135,168
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,9,-1.6250864504169873,0.9227603225025527,-2.542732727442825,-0.7074401733911495,-3.1428921136922208,-0.10728078714175404,168
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,10,7.257112870291055,2.9027104771017846,4.370489553661641,10.143736186920467,2.482579014040148,12.031646726541961,164
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,10,2.4059097575297668,1.2255197624318777,1.187181968750042,3.6246375463094918,0.390109131392987,4.421710383666547,164
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,10,-2.4452933552315215,0.9316695845819113,-3.3717995181657594,-1.5187871922972838,-3.9777534505514494,-0.9128332599115938,164
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,11,11.707710733933054,3.254493251417207,8.47125426420827,14.944167203657837,6.354545705450373,17.060875762415733,160
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,11,3.6568926948103733,1.3402187237269818,2.324101619774762,4.989683769845985,1.452429066179775,5.861356323440972,160
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,11,-4.393925344312306,0.7427161625844843,-5.1325252871817435,-3.6553254014428687,-5.615584718134874,-3.1722659704897382,160
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = -3 SD,12,11.343672609438503,3.8805639710942086,7.484615177084122,15.202730041792883,4.960712886966989,17.726632331910018,156
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = 0,12,3.9740168230359627,1.5426240109290044,2.4399422145389655,5.50809143153296,1.4366261236369633,6.511407522434962,156
household_secured_credit_rate__miyajima_surprise__land_temp_shock,household_secured_credit_rate,miyajima_surprise,land_temp_shock,Climate = +3 SD,12,-3.3956389633665784,0.9027558482494348,-4.293391633271937,-2.49788629346122,-4.880540194611314,-1.9107377321218435,156
