model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,0,0.18722755625385934,0.3672237087232888,-0.17796095578753746,0.5524160682952561,-0.41680169294221303,0.7912568054499317,196
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,0,0.35756177025253766,0.11362956505677299,0.24456195351613425,0.47056158698894107,0.17065776803998642,0.5444657724650889,196
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,0,0.527895984251216,0.44732841181635385,0.08304671873674396,0.972745249765688,-0.20789377636335515,1.263685744865787,196
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,1,0.7444351640285096,0.688708962088674,0.05954310744222058,1.4293272206147987,-0.38839027017702943,1.8772605982340487,196
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,1,0.5375572998081376,0.27157520805499813,0.26748719327351583,0.8076274063427593,0.09085583384877344,0.9842587657675017,196
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,1,0.3306794355877655,0.2889923303800774,0.04328873445414011,0.618070136721391,-0.1446706471990627,0.8060295183745938,196
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,2,0.094405368254741,1.1680290777925026,-1.0671503559742315,1.2559610924837135,-1.8268314967370394,2.0156422332465214,196
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,2,0.5523174413614033,0.4370749410833491,0.11766482064762829,0.9869700620751782,-0.1666068607291442,1.2712417434519507,196
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,2,1.0102295144680655,0.6770740762505089,0.3369078618237854,1.6835511671123458,-0.10345823556740119,2.1239172645035325,196
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,3,-0.14023175909040275,1.2484378189048067,-1.381750589797478,1.1012870716166725,-2.193729233539359,1.913265715358553,192
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,3,0.5159518254088207,0.4585597963844133,0.05993342097128157,0.9719702298463597,-0.2383119188482098,1.2702155696658513,192
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,3,1.172135409908044,0.8364138189327517,0.340357094044794,2.0039137257712945,-0.2036428937958239,2.547913713611912,192
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,4,-0.39912796427442726,1.0939611140498153,-1.48702621806619,0.6887702895173355,-2.1985338704631383,1.400277941914284,188
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,4,0.42702345351022136,0.4436701827428749,-0.01418785726354238,0.8682347642839852,-0.3027490557446186,1.1567959627650612,188
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,4,1.25317487129487,0.7032623262213157,0.5538101070196535,1.9525396355700866,0.09641128331140991,2.4099384592783304,188
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,5,0.15932411936185992,0.9351830149080548,-0.7706760020573193,1.0893242407810393,-1.378915054573066,1.697563293296786,184
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,5,0.47997480252480035,0.3735877479232293,0.10845752153196686,0.8514920835176338,-0.13452235963135545,1.0944719646809562,184
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,5,0.8006254856877408,0.5333791420562782,0.2702023931302201,1.3310485782452615,-0.07670513066379259,1.6779561020392744,184
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,6,0.10503057468787624,0.8404374685454102,-0.730749091251956,0.9408102406277085,-1.277366043674955,1.4874271930507077,180
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,6,0.5611479922421403,0.3536680665786368,0.20943999539346303,0.9128559890908176,-0.020584209806644993,1.1428801942909255,180
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,6,1.0172654097964045,0.5954731603716501,0.4250924312249914,1.6094383883678174,0.03779922220684051,1.9967315973859683,180
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,7,-0.7078059106211634,0.7962027839361729,-1.4995960457400423,0.0839842244977157,-2.017442947567436,0.6018311263251095,176
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,7,0.4594903807984731,0.3450221418024917,0.11638039200107186,0.8026003695958743,-0.10802054052392024,1.0270013021208664,176
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,7,1.6267866722181097,0.7020412764530415,0.9286361905107449,2.3249371539254744,0.47203153237468376,2.7815418120615356,176
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,8,-1.8104344592486512,1.1057615869417057,-2.9100677863333573,-0.7108011321639451,-3.6292504160733308,0.008381497576028352,172
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,8,0.10200243280324403,0.32216554928489277,-0.21837763738171787,0.4223825029882059,-0.42791273941682484,0.631917605023313,172
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,8,2.014439324855139,0.7635205192224613,1.2551503255219585,2.77372832418832,0.7585598295602027,3.2703188201500755,172
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,9,-2.0696770235813164,1.3423142593654347,-3.404552020552134,-0.7348020266104986,-4.27758750160723,0.13823345444459711,168
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,9,-0.28017844004136694,0.33278563674102973,-0.6111197399174613,0.05076285983472739,-0.8275621016322046,0.2672052215494707,168
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,9,1.5093201434985826,0.781826725351497,0.7318263931687198,2.2868138938284455,0.22332961865658074,2.7953106683405844,168
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,10,-2.133430189090428,0.9278434884224052,-3.056131460536926,-1.2107289176439298,-3.659596916265327,-0.607263461915529,164
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,10,-0.46180208786810073,0.22580957928480308,-0.6863602040921509,-0.2372439716440505,-0.833225793355095,-0.09037838238110651,164
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,10,1.2098260133542262,0.5917033505372904,0.6214019518907938,1.7982500748176586,0.23656061114362614,2.183091415564826,164
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,11,-1.798936328604301,0.9634626412938695,-2.7570593474170804,-0.8408133097915217,-3.3836913485687665,-0.2141813086398352,160
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,11,-0.7568867314635755,0.25791933942094897,-1.0133766517829903,-0.5003968111441608,-1.181126292371051,-0.3326471705561,160
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,11,0.28516286567714977,0.6327019330247292,-0.34403255934134147,0.914358290695641,-0.7555392036377832,1.3258649349920826,160
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,-3 SD,-3,12,-1.0193009069233747,0.9296905215276947,-1.9438389750019776,-0.09476283884477188,-2.5485057332006082,0.509903919353859,156
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,No climate shock,0,12,-0.8382425186838284,0.24255206982172048,-1.0794503366068808,-0.5970347007607759,-1.2372051704546718,-0.4392798669129849,156
household_secured_credit_rate__romer_surprise__pop_temp_shock,household_secured_credit_rate,romer_surprise,pop_temp_shock,+3 SD,3,12,-0.657184130444282,0.775516630903547,-1.428402757606583,0.11403449671801891,-1.932795473547167,0.618427212658603,156
