model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,0,-0.005904943854094265,0.003764056246932805,-0.009648139261701511,-0.0021617484464870195,-0.012096265423911033,2.8637771572250295e-4,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = 0,0,-0.006590381993346022,0.0032106374827898143,-0.00978322574823507,-0.0033975382384569728,-0.01187141070173919,-0.001309353284952853,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,0,-0.007275820132597779,0.003506268325478719,-0.010762656309518752,-0.0037889839556768056,-0.013043118304826512,-0.0015085219603690452,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,1,-0.005774850847314709,0.006113064222915848,-0.011854035754360878,3.0433405973146095e-4,-0.01582994670616512,0.004280245011535702,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = 0,1,-0.00606652609200145,0.00608114564208082,-0.012113969314715358,-1.9082869287541382e-5,-0.016069120557398224,0.003936068373395323,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,1,-0.006358201336688191,0.007354744754604533,-0.013672185236900251,9.557825635238687e-4,-0.01845567992160177,0.0057392772482253865,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,2,-0.0016875597667430158,0.005888288219669859,-0.007543214405404831,0.004168094871918798,-0.011372932001402606,0.007997812467916574,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = 0,2,2.2647845169830995e-4,0.006122011309086161,-0.005861603955721684,0.006314560859118305,-0.00984333405428999,0.010296290957686608,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,2,0.0021405166701396355,0.010958610281325986,-0.008757359713148444,0.013038393053427714,-0.015884793197447098,0.02016582653772637,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,3,0.0034340056979091094,0.006615260780487681,-0.00314459253473517,0.01001260393055339,-0.007447129990105874,0.014315141385924093,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = 0,3,0.011922664110896911,0.007204169690123928,0.004758420770572405,0.019086907451221418,7.28594669227086e-5,0.023772468754871115,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = +3 SD,3,0.020411322523884712,0.013805567221277064,0.006682267368503568,0.03414037767926586,-0.002296814792155214,0.04311945983992464,184
household_secured_credit_rate__target__land_precip_shock,household_secured_credit_rate,target,land_precip_shock,Climate = -3 SD,4,0.00930748647311017,0.009646643670780422,-2.8569437181289424e-4,0.018900667318033235,-0.006559830356681465,0.025174803302901803,184
