model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = -3 SD,0,0.002938364393688522,0.0027968465080974616,1.570183355833303e-4,0.005719710451793714,-0.0016620387291821459,0.0075387675165591896,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = 0,0,0.002064398555717882,0.001018926552595837,0.0010511190130772148,0.0030776780983585495,3.8841352008346024e-4,0.003740383591352304,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = +3 SD,0,0.0011904327177472422,0.002012383857738576,-8.107982736249393e-4,0.0031916637091194237,-0.0021196441694726485,0.0045005096049671334,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = -3 SD,1,-0.0012765534793691682,0.005325102676130688,-0.0065721438145486845,0.004019036855810348,-0.010035567930091718,0.00748246097135338,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = 0,1,0.0067173233224047365,0.001972818986797719,0.004755437928837867,0.008679208715971606,0.0034723248566517814,0.009962321788157692,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = +3 SD,1,0.01471120012417864,0.004661731106788861,0.010075304875628329,0.019347095372728954,0.007043334805304484,0.022379065443052796,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = -3 SD,2,-2.781833850246532e-4,0.0031346731486691032,-0.0033954838090045816,0.002839117038955275,-0.005434261882920417,0.00487789511287111,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = 0,2,0.006857127275024061,0.0014913910580493567,0.005374001680398343,0.008340252869649779,0.004404007283988584,0.009310247266059538,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = +3 SD,2,0.013992437935072776,0.00344165490377795,0.01056985708472329,0.017415018785422263,0.008331419383878297,0.019653456486267255,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = -3 SD,3,0.0024504494620011816,0.0030007608106301224,-5.336807817568332e-4,0.005434579705759196,-0.0024853628409776127,0.007386261764979976,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = 0,3,0.008128340858851942,0.002034450105913574,0.006105165913029271,0.010151515804674613,0.0047819682232881945,0.01147471349441569,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = +3 SD,3,0.013806232255702704,0.0030695901063738894,0.010753654176196524,0.016858810335208883,0.008757205835979259,0.01885525867542615,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = -3 SD,4,0.0041426468430620185,0.0027460259891696715,0.0014118396506333781,0.006873454035490658,-3.741639649267178e-4,0.008659457651050754,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = 0,4,0.005859079439175181,9.476992149383338e-4,0.004916632483968061,0.006801526394382302,0.004300252948224801,0.0074179059301255615,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = +3 SD,4,0.007575512035288344,0.0018223438825746934,0.005763267795342871,0.009387756275233817,0.0045780230904825334,0.010573000980094154,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = -3 SD,5,-0.32232392772112217,0.2409408128427225,-0.5619294184395334,-0.082718437002711,-0.71863629760611,0.07398844216386563,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = 0,5,0.28236527673372835,0.20813675613553015,0.07538203880904443,0.4893485146584123,-0.05998922149771235,0.6247197749651691,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = +3 SD,5,0.8870544811885789,0.6315386486716186,0.25901589346545306,1.5150930689117046,-0.15173415563896409,1.9258431180161217,184
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = -3 SD,6,1.3458822141484406,1.0050482447385993,0.3464040641620151,2.345360364134866,-0.3072750364710548,2.999039464767936,180
household_unsecured_credit__central_bank_information__land_precip_shock,household_unsecured_credit,central_bank_information,land_precip_shock,Climate = 0,6,0.4241372358804021,0.39292298651214974,0.03339187444907521,0.814882597311729,-0.22216356359671152,1.0704380353575158,180
