model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,0,1.2339276310554383,0.8646797864887761,0.3740400009295487,2.093815261181328,-0.188344051902249,2.6561993140131257,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,0,-2.7851289247645923,2.95536199094235,-5.724111954395683,0.15385410486649898,-7.646266814520638,2.0760089649914537,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,1,-2.4770444336501227,1.6801315884958195,-4.147864536659515,-0.80622433064073,-5.240614970743209,0.28652610344296336,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,1,4.022264430741561,4.840544098688425,-0.7914528072235925,8.835981668706715,-3.939722086404636,11.984250947887759,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,2,-1.22524140758748,1.5886217802546263,-2.8050588604004054,0.3545760452254454,-3.8382917046934057,1.3878088895184455,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,2,1.1143785593666713,5.5194428908041555,-4.37447493431955,6.603232053052893,-7.964297098324059,10.193054217057401,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,3,-1.2201215144402295,2.1650954668966054,-3.37321776939726,0.9329747405168012,-4.781386645861301,2.3411436169808413,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,3,-3.691743959314211,6.509809707903672,-10.165475541534398,2.7819876229059775,-14.399428068123466,7.015940149495044,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,4,-2.809353952661824,2.139457320336192,-4.936954150660965,-0.6817537546626835,-6.328448085724686,0.7097401804010377,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,4,-5.565256332873935,8.374858407857333,-13.893700297333144,2.7631876315852724,-19.340672560243096,8.210159894495227,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,5,-1.9627435103132995,1.7171342831767133,-3.670361234748111,-0.2551257858784881,-4.787178063959232,0.8616910433326328,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,5,-6.1218786707675665,8.173720391997652,-14.250299349741946,2.0065420082068126,-19.566452303232108,7.322694961696975,184
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,6,-0.8141151836406061,1.7900415199186566,-2.5942360843964827,0.9660057171152704,-3.758471470072533,2.130241102791321,180
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,6,-7.647371598119115,8.33594664201751,-15.937119450289298,0.6423762540510687,-21.358783666315553,6.064040470077325,180
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,7,-0.8650604896238592,1.8656633294246554,-2.7203840949855627,0.9902631157378443,-3.933803583698362,2.203682604450643,176
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,7,-20.071658436896676,10.61324522943821,-30.62608382174981,-9.517233052043542,-37.528893346263516,-2.6144235275298335,176
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,8,-1.0743053353370962,2.259504764088574,-3.3212876601349723,1.17267698946078,-4.790859941662315,2.6422492709881236,172
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,8,-17.982859388609373,8.96981495003517,-26.902962576604548,-9.0627562006142,-32.736892042258255,-3.228826734960492,172
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,No climate shock,0,9,-2.572036353102353,2.6135910242750877,-5.171142550678967,0.02706984447426164,-6.871011028749042,1.7269383225443362,168
household_unsecured_credit_rate__central_bank_information__pop_temp_shock,household_unsecured_credit_rate,central_bank_information,pop_temp_shock,MP Shock with extreme heat,3,9,-9.242219903042365,5.935786753604907,-15.145109833216793,-3.3393299728679358,-19.0057202735199,0.521280467435167,168
