model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = -3 SD,0,-0.011010330333275167,0.01543012520964769,-0.026354939986922857,0.004334279320372525,-0.0363906277486795,0.014369967082129169,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = 0,0,-3.3316741170987473e-4,0.005202457428223886,-0.005506792213270257,0.004840457389850507,-0.008890448381584558,0.008224113558164808,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = +3 SD,0,0.010343995509855416,0.012680325836974093,-0.0022660544803917836,0.02295404550010262,-0.010513284434017875,0.031201275453728708,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = -3 SD,1,0.004107007437893481,0.01614740845355425,-0.011950910192151356,0.02016492506793832,-0.02245311592280208,0.030667130798589043,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = 0,1,-0.031316280942933296,0.007790937144655001,-0.039064039804027145,-0.023568522081839446,-0.044131232162670016,-0.018501329723196576,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = +3 SD,1,-0.06673956932376007,0.01434714039378616,-0.0810071961898778,-0.05247194245764234,-0.0903385152368612,-0.04314062341065894,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = -3 SD,2,-5.72407647006272e-4,0.036122679217139304,-0.03649489075714757,0.035350075463135025,-0.0599889275725224,0.05884411227850986,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = 0,2,-0.04683684542782809,0.009494651709418486,-0.05627887666859026,-0.03739481418706592,-0.06245415772870607,-0.031219533126950104,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = +3 SD,2,-0.09310128320864991,0.022551313826259446,-0.11552761501991071,-0.07067495139738911,-0.1301948935482936,-0.056007672869006195,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = -3 SD,3,0.007651276586196375,0.04270814129245616,-0.03482017119932264,0.05012272437171539,-0.06259736451905604,0.0778999176914488,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = 0,3,-0.05071117987781896,0.014641927895042536,-0.0652719604984328,-0.03615039925720512,-0.0747950080815416,-0.026627351674096317,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = +3 SD,3,-0.10907363634183428,0.021755152286035424,-0.1307082190331109,-0.08743905365055768,-0.14485767748440126,-0.07328959519926731,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = -3 SD,4,-0.0014687262597268963,0.04410238920211182,-0.045326694870151694,0.0423892423506979,-0.07401070109604593,0.07107324857659214,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = 0,4,-0.05846064880730384,0.017826876271227553,-0.07618872644823096,-0.040732571166376706,-0.0877832508992476,-0.029138046715360074,184
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,Climate = +3 SD,4,-0.11545257135488078,0.02210364717498606,-0.13743371753573266,-0.0934714251740289,-0.15180983557951225,-0.07909530713024931,184
