model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,0,0.01964212647265404,0.019646544817384953,1.0446510117185018e-4,0.03917978784413623,-0.012673564027286238,0.051957816972594315,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = 0,0,0.0026241475478006233,0.005205058758773322,-0.0025520641674314803,0.007800359263032727,-0.005937412230063201,0.011185707325664446,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = +3 SD,0,-0.014393831377052793,0.011756886341727169,-0.026085559681584453,-0.0027021030725211323,-0.03373218851789894,0.004944525763793358,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,1,-0.14826022206810624,0.04011443039376292,-0.1881523336036527,-0.10836811053255978,-0.21424258839437954,-0.08227785574183295,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = 0,1,-0.054369371920889045,0.013990092678654205,-0.06828192987201177,-0.04045681396976632,-0.07738102660476065,-0.03135771723701745,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = +3 SD,1,0.039521478226328136,0.019259848083107642,0.020368370470659487,0.058674585981996784,0.007841847252294185,0.07120110920036209,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,2,-0.16391385088011462,0.047627330915722924,-0.21127722556549489,-0.11655047619473435,-0.24225383887885943,-0.08557386288136982,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = 0,2,-0.06316199082172223,0.011116400271253072,-0.07421678270438489,-0.052107198939059574,-0.08144684212653718,-0.04487713951690729,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = +3 SD,2,0.03758986923667017,0.027454669942177285,0.010287356281750107,0.06489238219159023,-0.0075690441944756895,0.08274878266781602,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,3,-0.15636746232843476,0.05269855131611852,-0.20877395211848254,-0.10396097253838699,-0.24304886559584055,-0.06968605906102897,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = 0,3,-0.060324800548437876,0.012727066049402665,-0.07298133171139756,-0.04766826938547818,-0.08125896130024879,-0.039390639796626964,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = +3 SD,3,0.03571786123155901,0.0427224121770403,-0.006767778347635069,0.07820350081075308,-0.034554253389961445,0.10598997585307947,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,4,-0.1820059272270703,0.0467426125854358,-0.22848948679447634,-0.13552236765966424,-0.2588906830714119,-0.10512117138272871,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = 0,4,-0.07263591845465206,0.01500943021493713,-0.08756216465438295,-0.05770967225492117,-0.0973242341821664,-0.04794760272713772,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = +3 SD,4,0.03673409031776617,0.03630410644644379,6.311854692141253e-4,0.07283699516631822,-0.02298085084389919,0.09644903147943154,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,5,-0.14963184415992553,0.05826539673297801,-0.2075743272593793,-0.09168936106047175,-0.2454698933019308,-0.05379379501792024,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = 0,5,-0.07751222773079591,0.015264138013262322,-0.0926917701084863,-0.06233268535310554,-0.10261950050419827,-0.05240495495739356,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = +3 SD,5,-0.005392611301666281,0.04156257479715122,-0.04672484145518832,0.03593961885185576,-0.07375696320220228,0.06297174059886972,184
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,6,-0.08487763898587139,0.0717085830878042,-0.15618880473133986,-0.013566473240402915,-0.20282776196139707,0.0330724839896543,180
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = 0,6,-0.060227948981986086,0.017107865575414744,-0.07724100076835004,-0.04321489719562213,-0.08836788372310525,-0.03208801424086692,180
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = +3 SD,6,-0.035578258978100775,0.051653731631537574,-0.0869457195962843,0.015789201640082753,-0.12054108679781331,0.04938456884161175,180
household_unsecured_credit_rate__forward_guidance__pop_temp_shock,household_unsecured_credit_rate,forward_guidance,pop_temp_shock,Climate = -3 SD,7,-0.04956916399207787,0.08791225226745306,-0.13699419629017107,0.03785586830601533,-0.19417195098767076,0.09503362300351503,176
