model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = -3 SD,0,-0.36745729541313843,0.1464151307947784,-0.5130609764531929,-0.22185361437308396,-0.6082887543415038,-0.1266258364847731,196
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = 0,0,-0.42997062190228286,0.12224613431048963,-0.5515392538592676,-0.30840198994529816,-0.6310476193036885,-0.22889362450087727,196
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = +3 SD,0,-0.4924839483914273,0.22597558837342713,-0.7172071536623441,-0.2677607431205104,-0.8641807145299516,-0.12078718225290291,196
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = -3 SD,1,-0.7949593729760709,0.32283029288527487,-1.116000502674746,-0.4739182432773958,-1.325967951118221,-0.2639507948339207,196
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = 0,1,-0.6414285552714768,0.30724315166346605,-0.9469689295054204,-0.33588818103753315,-1.14679856764113,-0.13605854290182362,196
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = +3 SD,1,-0.4878977375668827,0.4496696518433518,-0.935075267682689,-0.04072020745107635,-1.2275384953314252,0.25174302019765993,196
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = -3 SD,2,-1.1474317806008796,0.3860598215816923,-1.5313520135633443,-0.7635115476384149,-1.7824436783497641,-0.512419882851995,196
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = 0,2,-0.8873284083510976,0.3658949666083286,-1.2511955423215193,-0.5234612743806758,-1.4891720712600944,-0.2854847454421008,196
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = +3 SD,2,-0.6272250361013155,0.5712728105287846,-1.1953317859950572,-0.05911828620757387,-1.5668851904783478,0.3124351182757167,196
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = -3 SD,3,-1.108767862110182,0.46292326764616487,-1.5691255549421292,-0.6484101692782348,-1.870208877898203,-0.34732684632216093,192
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = 0,3,-1.1229870967158964,0.3859201976226511,-1.5067684795316076,-0.7392057139001851,-1.7577693334893427,-0.48820485994245,192
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = +3 SD,3,-1.1372063313216108,0.5005135268949789,-1.6349459537954394,-0.6394667088477821,-1.9604778213730896,-0.31393484127013194,192
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = -3 SD,4,-1.065651923615372,0.3878351659833533,-1.451337661813481,-0.6799661854172632,-1.7035840030424168,-0.4277198441883274,188
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = 0,4,-0.8730671021126202,0.40059302496605886,-1.2714399937489589,-0.47469421047628146,-1.5319839921595033,-0.21415021206573692,188
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = +3 SD,4,-0.6804822806098682,0.7897273212192492,-1.4658328407824714,0.10486827956273526,-1.9794681292200198,0.6185035680002836,188
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = -3 SD,5,-1.2245433144614735,0.49674017035419576,-1.7185304927771592,-0.7305561361457877,-2.0416081853210644,-0.4074784436018827,184
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = 0,5,-0.7640417385814411,0.6486597325357194,-1.4091065231223174,-0.11897695404056485,-1.8309920523001906,0.3029085751373084,184
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = +3 SD,5,-0.3035401627014087,1.3416221001085795,-1.6377268364428104,1.030646511039993,-2.510312140063256,1.9032318146604386,184
household_unsecured_credit_rate__miyajima_surprise__land_precip_shock,household_unsecured_credit_rate,miyajima_surprise,land_precip_shock,Climate = -3 SD,6,-1.3703569032902863,0.44573367188742935,-1.81362026711077,-0.9270935394698026,-2.1035235501487217,-0.6371902564318509,180
