model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit_rate__romer_surprise__pop_temp_shock,household_unsecured_credit_rate,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,0,-0.6465084104367115,0.7113010591150145,-1.3538673560090844,0.06085053513566141,-1.816494537376466,0.5234777165030432,196
household_unsecured_credit_rate__romer_surprise__pop_temp_shock,household_unsecured_credit_rate,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,0,0.011160935698137602,0.24948927860526965,-0.23694564418718722,0.25926751558346245,-0.3992124091012464,0.42153428049752156,196
household_unsecured_credit_rate__romer_surprise__pop_temp_shock,household_unsecured_credit_rate,romer_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,0,0.6688302818329867,0.299064813366616,0.3714229205899018,0.9662376430760715,0.1769124388733434,1.16074812479263,196
household_unsecured_credit_rate__romer_surprise__pop_temp_shock,household_unsecured_credit_rate,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,1,-1.7116309684732045,1.069023485895328,-2.774729801358184,-0.648532135588225,-3.4700181265444403,0.04675618959803107,196
household_unsecured_credit_rate__romer_surprise__pop_temp_shock,household_unsecured_credit_rate,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,1,-0.08432139632816843,0.2976841251921072,-0.3803557213318585,0.21171292867552166,-0.5739682093362819,0.405325416679945,196
household_unsecured_credit_rate__romer_surprise__pop_temp_shock,household_unsecured_credit_rate,romer_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,1,1.5429881758168678,0.49610044344401844,1.0496371789701093,2.0363391726636264,0.7269755620857407,2.359000789547995,196
household_unsecured_credit_rate__romer_surprise__pop_temp_shock,household_unsecured_credit_rate,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,2,-1.1525737023110283,2.0874037693095615,-3.228408836142675,0.9232614315206185,-4.5860473631720335,2.2808999585499765,196
household_unsecured_credit_rate__romer_surprise__pop_temp_shock,household_unsecured_credit_rate,romer_surprise,pop_temp_shock,MP shock alone (no climate shock),0,2,0.19396037902738703,0.5296996211463301,-0.33280358495480056,0.7207243430095747,-0.6773179640099743,1.0652387220647483,196
household_unsecured_credit_rate__romer_surprise__pop_temp_shock,household_unsecured_credit_rate,romer_surprise,pop_temp_shock,MP shock during a large positive climate shock (+3 SD),3,2,1.5404944603658022,1.0866051694014927,0.45991138371801843,2.621077537013586,-0.24681199358846118,3.3278009143200658,196
household_unsecured_credit_rate__romer_surprise__pop_temp_shock,household_unsecured_credit_rate,romer_surprise,pop_temp_shock,MP shock during a large negative climate shock (-3 SD),-3,3,-1.2577984910669069,2.0967436425186037,-3.342921735439465,0.8273247533056511,-4.706634876251072,2.191037894117258,192
