model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,0,0.018404390586036032,0.009401233115354742,0.009055260202578921,0.027753520969493142,0.002940738198428503,0.03386804297364356,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = 0,0,0.008436200723167721,0.004799940787896829,0.0036628617677036852,0.013209539678631758,5.410007090433187e-4,0.016331400737292126,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,0,-0.0015319891397005889,0.002085691554250002,-0.0036061215477685062,5.421432683673285e-4,-0.004962646457410756,0.001898668178009579,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,1,0.024908728165810863,0.011248263089199375,0.013722804264339252,0.036094652067282476,0.006406981826636907,0.04341047450498482,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = 0,1,0.014728685252728184,0.007523591008590749,0.007246790864189095,0.022210579641267273,0.002353479294548211,0.027103891210908157,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,1,0.004548642339645503,0.00599196030828814,-0.0014101098248115815,0.010507394504102588,-0.0053072553059915015,0.014404539985282508,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,2,0.027663104402782634,0.006952309163833127,0.020749325748297374,0.034576883057267895,0.016227573458963765,0.039098635346601504,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = 0,2,0.01183072831070252,0.004954815366107597,0.006903373110028001,0.016758083511377038,0.003680782284885555,0.019980674336519483,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,2,-0.004001647781377593,0.008105939327739647,-0.012062663046668254,0.004059367483913067,-0.017334731484458726,0.009331435921703539,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,3,0.041280733950356946,0.01255473706469319,0.028795576704747125,0.05376589119596677,0.020630029154074282,0.06193143874663961,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = 0,3,0.023525144565140755,0.006467471104820932,0.017093516940520286,0.029956772189761224,0.012887101261172203,0.03416318786910931,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,3,0.0057695551799245605,0.009112066773664943,-0.003292011455480205,0.014831121815329326,-0.009218460901762215,0.020757571261611336,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,4,0.05052512956037351,0.010832637989125597,0.03975252731613012,0.06129773180461691,0.03270702567450798,0.06834323344623905,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = 0,4,0.023237713044612075,0.006432438055498997,0.01684092431206268,0.029634501777161468,0.012657293978883878,0.03381813211034027,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,4,-0.004049703471149368,0.01398274859602258,-0.01795495804140413,0.009855551099105396,-0.027049278214067704,0.01894987127176897,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,5,0.06368303677339139,0.013713045112811666,0.05004599095814485,0.07732008258863793,0.04112708478303397,0.0862389887637488,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = 0,5,0.020406668665362268,0.00867419719513698,0.011780544884142369,0.02903279244658217,0.006138883948048927,0.03467445338267561,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,5,-0.022869699442666855,0.0232662798503473,-0.046007034852808965,2.6763596747525487e-4,-0.06113932424017855,0.015399925354844843,184
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = -3 SD,6,0.06998692934222395,0.012941167479147144,0.05711748332464838,0.08285637535979952,0.048700603077162334,0.09127325560728555,180
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = 0,6,0.017548898792592436,0.00873189617028177,0.008865395810686676,0.026232401774498197,0.0031862077067408012,0.03191158987844407,180
household_unsecured_credit_rate__target__land_precip_shock,household_unsecured_credit_rate,target,land_precip_shock,Climate = +3 SD,6,-0.03488913175703907,0.017665589180435856,-0.05245681617906843,-0.017321447335009704,-0.06394644019271366,-0.0058318233213644766,180
