model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,0,1.692509334374485,1.0448070272945176,0.6534927496485041,2.731525919100466,-0.026045293935287317,3.411063962684257,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,0,0.924915870142712,0.5507885934040702,0.377179811450023,1.472651928835401,0.01894925459852792,1.8308824856868962,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,0,0.15732240591093904,0.24790188636888896,-0.08920557925117106,0.40385039107304915,-0.2504399110110395,0.5650847228329177,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,1,2.5465412689961906,1.3580355076790456,1.1960321527060043,3.897050385286377,0.31277163866142965,4.780310899330951,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,1,1.5698679493461443,0.83989167131123,0.7346310557684766,2.4051048429238118,0.18836908754353443,2.951366811148754,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,1,0.5931946296960979,0.4768261849984906,0.11901107110351677,1.067378188288679,-0.19111465012410267,1.3775039095162986,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,2,2.675790029517499,0.8705584213049307,1.8100563446561728,3.5415237143788247,1.2438488527609364,4.107731206274061,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,2,1.3355256745104829,0.5746546740642058,0.7640558037640021,1.9069955452569638,0.3903028496313583,2.2807484993896074,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,2,-0.004738680496533254,0.9722526042781041,-0.9716029472921066,0.9621255862990401,-1.6039519029563867,1.5944745419633202,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,3,4.246599009115562,1.427871126405742,2.8266413112537823,5.666556706977342,1.8979600080277947,6.59523801020333,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,3,2.5954719490385307,0.8756737502155024,1.724651285016876,3.4662926130601854,1.1551168049703646,4.035827093106697,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,3,0.9443448889614989,0.9497574495870519,-1.4889391753458714e-4,1.8888386718405323,-0.6178670967159428,2.5065568746389406,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,4,5.052283585231379,1.2206039273662639,3.8384443873852128,6.266122783077545,3.044568788231769,7.059998382230988,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,4,2.6131548537487457,0.8591713660703614,1.758745115731982,3.4675645917655094,1.1999437160950612,4.026365991402431,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,4,0.17402612226611192,1.6435530720274836,-1.4604181866852266,1.8084704312174504,-2.5293781093455276,2.8774303538777515,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,5,5.792270432424544,1.3393335288285755,4.46035964643383,7.124181218415258,3.5892628198331487,7.99527804501594,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,5,2.5308412904976465,1.0211761622093665,1.5153246058426604,3.546357975152633,0.8511559763311858,4.210526604664107,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,5,-0.730587851429251,2.4824235830330914,-3.1992535530423103,1.7380778501838083,-4.813811285611099,3.352635582752597,184
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,6,6.519614655558021,1.5233606857976638,5.004696612594718,8.034532698521323,4.013909306368452,9.02532000474759,180
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,6,1.9965349050402517,1.0859980505870899,0.9165555824834957,3.0765142275970074,0.2102270726698492,3.782842737410654,180
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,6,-2.526544845477518,2.3895255266092432,-4.902827342545017,-0.15026234841001918,-6.456964574613856,1.4038748836588204,180
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,7,6.237530300778732,1.1902538712751682,5.053872955468214,7.42118764608925,4.279736903618742,8.195323697938722,176
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,7,1.252400578566115,1.3599528886013286,-0.10001529229735162,2.6048164494295816,-0.9845228627329108,3.4893240198651405,176
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,7,-3.7327291436465027,2.8417370547158067,-6.558716959717902,-0.9067413275751028,-8.40697064493819,0.941512357645184,176
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,8,6.04811012060366,0.9774231185465488,5.076103995133583,7.020116246073736,4.440392158996151,7.655828082211169,172
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,8,0.73691903691541,1.5611950251906686,-0.8156236631132997,2.2894617369441197,-1.8310182626480551,3.3048563364788754,172
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,8,-4.57427204677284,2.9421288022003966,-7.500095227539494,-1.648448866006187,-9.413643278030552,0.26509918448487024,172
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,9,5.772972748795973,0.8027882294075024,4.974633665513682,6.571311832078264,4.452503617981092,7.093441879610854,168
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,9,0.45090000376172407,1.6208584260188628,-1.1609754355596866,2.062775443083135,-2.215174857050256,3.116974864573704,168
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,9,-4.871172741272525,2.9767568032269045,-7.831432010639784,-1.9109134719052654,-9.767501965612766,0.02515648306771734,168
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,10,5.712054009659724,0.759780975963918,4.956483828599605,6.467624190719842,4.462325515656745,6.961782503662703,164
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,10,0.2614848480720264,1.2453173329718634,-0.9769307907995883,1.4999004869436412,-1.7868798837722764,2.309849579916329,164
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,10,-5.1890843135156715,2.620489952691876,-7.795051204842061,-2.583117422189282,-9.499406716590794,-0.8787619104405486,164
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,11,4.483100757243681,0.7829748524612999,3.7044652428585483,5.2617362716288145,3.1952217313609186,5.770979783126444,160
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,11,-0.7332338390799144,1.2414595195610985,-1.9678130449932416,0.5013453668334128,-2.7752530325434184,1.30878535438359,160
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,11,-5.94956843540351,2.5605864554633397,-8.495963821679148,-3.4031730491278718,-10.161358353795197,-1.7377785170118232,160
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,-3 SD,-3,12,3.8276378072021253,0.8181002440154808,3.0140715702851075,4.641204044119143,2.481982653623378,5.173292960780873,156
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,12,-0.8012952309207767,0.9471117879235189,-1.743158014702204,0.1405675528606507,-2.3591554904152696,0.7565650285737163,156
household_unsecured_credit_rate__target__pop_precip_shock,household_unsecured_credit_rate,target,pop_precip_shock,+3 SD,3,12,-5.4302282690436785,1.8689373099379432,-7.288807710136296,-3.571648827951061,-8.504356581840032,-2.356099956247326,156
