model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,0,pop_precip_shock,0.012104169494916803,0.00728162986888599,1.6622884866254002,0.10340633054823775
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,0,central_bank_information_pop_precip_shock_resid,1.1383343990623427,0.4323277554579408,2.633035664935665,0.011556680687828605
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,0,"l(corporate_mortgage_rate, 1)",0.4865899824981577,0.054399994231129845,8.944669744463162,1.5171114641112548e-11
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,0,"l(corporate_mortgage_rate, 2)",-0.5368000744685115,0.05726300730740706,-9.374290658309096,3.782076169234305e-12
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,0,"l(pop_precip_shock, 1)",0.02528725691212114,0.032844219212817355,0.7699149962515432,0.4453733487190795
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.034204214702218023,0.01565148562928263,2.1853653712095404,0.03410798557678924
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,0,"l(central_bank_information_pop_precip_shock_resid, 1)",-0.8633941970934016,0.3948561077455206,-2.1866046394041025,0.03401146651604461
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,0,"l(central_bank_information_pop_precip_shock_resid, 2)",-0.7221453224557673,0.2409567094179155,-2.9969919667324056,0.004425717050466175
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,0,as.numeric(date),2.254072842150877e-5,1.4890106686831886e-5,1.513805703047295,0.13706771558569267
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,0,pop_precip_shock:central_bank_information_pop_precip_shock_resid,0.3149324748885186,0.1264237908965232,2.491085520021213,0.016490793974747425
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,1,pop_precip_shock,0.03474451659056432,0.031016417841058113,1.1201975924044691,0.2685727230062555
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,1,central_bank_information_pop_precip_shock_resid,0.6682868523212253,1.0192882367366278,0.6556406992989784,0.5153935418947999
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,1,"l(corporate_mortgage_rate, 1)",0.6553328516957097,0.16360763558092592,4.005515081058425,2.2930001703374037e-4
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,1,"l(corporate_mortgage_rate, 2)",-0.7736403749259563,0.1770703752988804,-4.36911241431614,7.259621111903941e-5
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,1,"l(pop_precip_shock, 1)",0.09099340272017792,0.06897478588777385,1.319227041432643,0.19376673654446538
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.09996392228264851,0.046554629301952505,2.14723914209013,0.037198012542198365
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,1,"l(central_bank_information_pop_precip_shock_resid, 1)",-1.3481388194447164,0.9485556897692594,-1.4212542647576731,0.1621361737979194
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,1,"l(central_bank_information_pop_precip_shock_resid, 2)",-1.7981072492910681,0.6548758085828758,-2.745722510627012,0.008647694436032527
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,1,as.numeric(date),3.4764210283557834e-5,3.85636698506265e-5,0.9014756743384229,0.37213519556888064
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,1,pop_precip_shock:central_bank_information_pop_precip_shock_resid,0.33515468382379177,0.3675456058290785,0.9118723731379619,0.36669524466784176
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,2,pop_precip_shock,0.07291548275154179,0.049423523381818796,1.4753193977741554,0.1470897483067885
corporate_mortgage_rate__central_bank_information__pop_precip_shock,corporate_mortgage_rate,central_bank_information,pop_precip_shock,2,central_bank_information_pop_precip_shock_resid,0.1742554139461304,1.415257438102226,0.12312630144505461,0.9025553703016405
