model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,0,land_precip_shock,0.003538820765429535,0.0062777325455617775,0.5637100242397879,0.5757501214664484
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,0,forward_guidance_land_precip_shock_resid,0.005457723536572834,0.002982333928926715,1.8300175857694665,0.07387600909844438
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,0,"l(corporate_mortgage_rate, 1)",0.484264660554031,0.048063369790915605,10.075545319869795,4.105964706745352e-13
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,0,"l(corporate_mortgage_rate, 2)",-0.5309533863345346,0.04883697876064606,-10.871953994877112,3.5533287489688155e-14
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,0,"l(land_precip_shock, 1)",0.017990249618152886,0.03017259020382601,0.5962447869613676,0.5539993576579222
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,0,"l(land_precip_shock, 2)",0.06386035248908499,0.024421191147920875,2.614956498324686,0.012099420377011928
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,0,"l(forward_guidance_land_precip_shock_resid, 1)",-0.0053514763501029804,0.007016844104067338,-0.7626614288040088,0.44964484483262956
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,0,"l(forward_guidance_land_precip_shock_resid, 2)",-0.008857289439858413,0.003574077307942343,-2.47820309319434,0.017022163301627306
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,0,as.numeric(date),3.1673075429701075e-6,1.0015104393767399e-5,0.3162530732022311,0.7532727599329863
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,0,land_precip_shock:forward_guidance_land_precip_shock_resid,-3.556595188663302e-4,0.001800126928996011,-0.19757468939409345,0.8442676099876036
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,1,land_precip_shock,0.022850038665508957,0.016399194125631966,1.3933635086247507,0.1703544406291233
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,1,forward_guidance_land_precip_shock_resid,0.00350549198991704,0.009766129466433451,0.3589438376754625,0.7213158304685666
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,1,"l(corporate_mortgage_rate, 1)",0.6074473772920043,0.1368400623935472,4.439104796262128,5.795636160478871e-5
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,1,"l(corporate_mortgage_rate, 2)",-0.7063511646857905,0.14941640487008773,-4.727400350048161,2.2666806461955057e-5
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,1,"l(land_precip_shock, 1)",0.09833426701114355,0.07151705111496269,1.374976533261593,0.17594640654453866
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,1,"l(land_precip_shock, 2)",0.14161550544613172,0.051032483499005174,2.775007127546367,0.008011280794381312
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,1,"l(forward_guidance_land_precip_shock_resid, 1)",-0.017023050932870647,0.012008565674304493,-1.4175757034244292,0.16320206021540012
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,1,"l(forward_guidance_land_precip_shock_resid, 2)",-0.017976596252515912,0.010191291063661203,-1.7639174605280925,0.08453400303443785
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,1,as.numeric(date),-8.384170490738038e-6,2.644065249674516e-5,-0.31709393297953326,0.7526388669386238
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,1,land_precip_shock:forward_guidance_land_precip_shock_resid,-0.002853030492576188,0.0034415333588770024,-0.8289998076633937,0.41148030054001417
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,2,land_precip_shock,0.08612706499259332,0.04217047834139577,2.0423544711857935,0.04700202717405365
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,2,forward_guidance_land_precip_shock_resid,-0.006457151524832804,0.013460458202589667,-0.4797126091584689,0.6337551967909245
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,2,"l(corporate_mortgage_rate, 1)",0.6842942324105022,0.18255987547818228,3.748327668487494,5.054536226916245e-4
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,2,"l(corporate_mortgage_rate, 2)",-0.8513214683934777,0.19505234912607144,-4.364579417821976,7.365998175453428e-5
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,2,"l(land_precip_shock, 1)",0.17189140446081003,0.09950324728987425,1.727495424948832,0.09093724782063047
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,2,"l(land_precip_shock, 2)",0.16170871916686236,0.058397103946705296,2.769122237884295,0.00813558360138129
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,2,"l(forward_guidance_land_precip_shock_resid, 1)",-0.030288882999112095,0.020468881234394033,-1.479752735494768,0.14590655688105494
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,2,"l(forward_guidance_land_precip_shock_resid, 2)",-0.026488271146632814,0.013156090531713927,-2.0133846816256304,0.05007838236039168
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,2,as.numeric(date),-1.4609816336398561e-5,4.1878554684801164e-5,-0.34886152223636435,0.7288203577932088
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,2,land_precip_shock:forward_guidance_land_precip_shock_resid,-0.007736603097575447,0.004985732197388224,-1.5517486281409711,0.12772771659397078
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,3,land_precip_shock,0.13395281931434178,0.05613758644425167,2.3861520916537042,0.021293162864477147
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,3,forward_guidance_land_precip_shock_resid,-0.025285485885845952,0.02199367368913486,-1.1496708664154314,0.2563530652299459
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,3,"l(corporate_mortgage_rate, 1)",0.7296077018319743,0.217477755580424,3.3548612817192836,0.0016202284114166733
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,3,"l(corporate_mortgage_rate, 2)",-0.9969727811117063,0.21975404544929175,-4.536766452118661,4.224961327655822e-5
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,3,"l(land_precip_shock, 1)",0.19245499686987058,0.11658649525976515,1.6507486260828377,0.10575313173603211
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,3,"l(land_precip_shock, 2)",0.19421479665691874,0.06793195804383158,2.8589606754983565,0.006419151294899524
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,3,"l(forward_guidance_land_precip_shock_resid, 1)",-0.03840242059972783,0.023592150260876736,-1.6277626318534948,0.1105577733309486
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,3,"l(forward_guidance_land_precip_shock_resid, 2)",-0.026762539591227416,0.011729372286851315,-2.2816685272432147,0.02729074265329169
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,3,as.numeric(date),7.782915582718146e-6,5.596593226673421e-5,0.13906523607298615,0.8900191079180313
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,3,land_precip_shock:forward_guidance_land_precip_shock_resid,-0.015242123659003725,0.008325731784014396,-1.830724800463662,0.0737684135817888
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,4,land_precip_shock,0.14699574193179607,0.057251078429810774,2.567562847082633,0.013634802825386786
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,4,forward_guidance_land_precip_shock_resid,-0.04167340706450387,0.020794269341510782,-2.00408133510673,0.05110265374266272
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,4,"l(corporate_mortgage_rate, 1)",0.6306117322131519,0.2554120304094979,2.4689977649138237,0.01741132126383849
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,4,"l(corporate_mortgage_rate, 2)",-1.0117110023251514,0.24678436246340293,-4.099574998295055,1.708742639670315e-4
corporate_mortgage_rate__forward_guidance__land_precip_shock,corporate_mortgage_rate,forward_guidance,land_precip_shock,4,"l(land_precip_shock, 1)",0.23052949474269438,0.13165527101080363,1.7510084706276374,0.08675899641073258
