model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,0,pop_temp_shock,0.1081460009703904,0.041588924426173235,2.6003558029582194,0.01234086982563143
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,0,miyajima_surprise_pop_temp_shock_resid,-0.09709652914339365,0.404547057370182,-0.24001294132401804,0.8113422895094007
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(corporate_mortgage_rate, 1)",0.37672398667049306,0.07705315400945562,4.889144273370863,1.1747351125131943e-5
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(corporate_mortgage_rate, 2)",-0.41426493032632716,0.0722736135189242,-5.731897301881213,6.420617623325736e-7
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.028891692714464554,0.044997266799448654,0.6420766141915659,0.5238782460738551
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.21602581950527502,0.07715518293923182,-2.7998873345348567,0.007343107250524961
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(miyajima_surprise_pop_temp_shock_resid, 1)",-0.09465337763041391,0.11827435097490684,-0.8002865951088215,0.4274880026140623
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(miyajima_surprise_pop_temp_shock_resid, 2)",-0.07388784323686799,0.0981575443627709,-0.7527474705743771,0.45527770582489857
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,0,as.numeric(date),5.640007478959532e-5,2.865460494126616e-5,1.968272635592064,0.05482708961332594
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,0,pop_temp_shock:miyajima_surprise_pop_temp_shock_resid,-0.324028609422212,0.2330688987297659,-1.3902696206494298,0.1708604236937339
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,1,pop_temp_shock,0.23109822421300116,0.07016342878173065,3.2937133806832306,0.0018616738880470564
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,1,miyajima_surprise_pop_temp_shock_resid,-0.034113457860529016,0.8532471345349937,-0.03998074705415837,0.96827430954074
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(corporate_mortgage_rate, 1)",0.4700195305723647,0.21713666659348027,2.164625339175569,0.035419969699843956
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(corporate_mortgage_rate, 2)",-0.5567032184145985,0.21253855037141056,-2.6193046741015267,0.011758227354149768
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.08203362581241584,0.039759924287046444,-2.06322389399373,0.044522464407144385
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.5272561069537598,0.13293759652600173,-3.966192565025289,2.4257851264346177e-4
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(miyajima_surprise_pop_temp_shock_resid, 1)",-0.11593509356427174,0.2442540526294208,-0.4746496212292822,0.6371891923067001
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(miyajima_surprise_pop_temp_shock_resid, 2)",-0.35739480522185413,0.1771462496653337,-2.017512681736405,0.049251980081845594
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,1,as.numeric(date),1.2283743000327557e-4,6.148603674705317e-5,1.9978101777581685,0.05142101601512551
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,1,pop_temp_shock:miyajima_surprise_pop_temp_shock_resid,-0.7716593019550043,0.5186377896548572,-1.4878578409578056,0.14332893188280937
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,2,pop_temp_shock,0.18331210152597494,0.11796239013541342,1.5539876846810594,0.12675670454251384
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,2,miyajima_surprise_pop_temp_shock_resid,0.5006735919490164,1.3710937966234207,0.36516363299288523,0.7165934170596555
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,2,"l(corporate_mortgage_rate, 1)",0.652525993323881,0.31785206805936883,2.052923541784228,0.04555226036366002
corporate_mortgage_rate__miyajima_surprise__pop_temp_shock,corporate_mortgage_rate,miyajima_surprise,pop_temp_shock,2,"l(corporate_mortgage_rate, 2)",-0.7993943444952301,0.3163521358148902,-2.5269130629893595,0.014856709087067837
