model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,0,pop_temp_shock,0.0035184705670791186,0.0013445334563487597,2.616870967743669,0.012040861828084427
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,0,country_risk_pop_temp_shock_resid,-0.40765080115672886,0.21506631360819234,-1.8954656092696451,0.06446466850719115
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,0,"l(corporate_mortgages, 1)",0.20317022895610007,0.03958693509407463,5.132254580287287,5.915016071323007e-6
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,0,"l(corporate_mortgages, 2)",-0.23143955520142737,0.03810206485336999,-6.074199812847081,2.4227076767479074e-7
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.0073600489815815184,0.0041578639474355375,1.770151470713948,0.08347671186203645
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,0,"l(pop_temp_shock, 2)",0.0015030055523353664,0.0018738200322520658,0.8021077405864676,0.42670637446439175
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,0,"l(country_risk_pop_temp_shock_resid, 1)",-0.050728405705643916,0.04497643617562297,-1.127888512721657,0.2653448630855046
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,0,"l(country_risk_pop_temp_shock_resid, 2)",0.01382253337021333,0.04786187811337056,0.288800479945059,0.774060317935236
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,0,as.numeric(date),3.369285097749079e-6,3.0478459051047956e-6,1.1054643845694132,0.274833827733183
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,0,pop_temp_shock:country_risk_pop_temp_shock_resid,0.27016632004433294,0.12452418845812424,2.169589084575212,0.035358012833805914
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,1,pop_temp_shock,0.01449559418704547,0.005101508799852339,2.841432751711619,0.0067250374825525185
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,1,country_risk_pop_temp_shock_resid,-0.5093479749842524,0.2798115559253729,-1.82032501588354,0.07536404467769023
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,1,"l(corporate_mortgages, 1)",0.25162025386984727,0.04838581151168106,5.200290043892358,4.708708325648697e-6
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,1,"l(corporate_mortgages, 2)",-0.3052420393084721,0.050240709924004756,-6.075591681928623,2.411200922429463e-7
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,1,"l(pop_temp_shock, 1)",0.00850956595618204,0.0035745667291598874,2.3805866839089616,0.021579966057407352
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,1,"l(pop_temp_shock, 2)",-4.3227034320216026e-5,0.004395573791448142,-0.009834218778061891,0.9921970248698664
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,1,"l(country_risk_pop_temp_shock_resid, 1)",0.0320500503706008,0.03150428866939225,1.01732340974068,0.3144382241060215
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,1,"l(country_risk_pop_temp_shock_resid, 2)",0.03121331711839178,0.13277611694951458,0.2350823162742439,0.815211336551781
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,1,as.numeric(date),5.134115276136614e-6,6.045219266909192e-6,0.8492852036385425,0.40021831377008854
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,1,pop_temp_shock:country_risk_pop_temp_shock_resid,0.337410393585256,0.1740146660248933,1.9389767615161153,0.05879036530880618
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,2,pop_temp_shock,0.019523097714602314,0.004608907183506967,4.235949420822786,1.1107004248646773e-4
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,2,country_risk_pop_temp_shock_resid,-0.38799989489698417,0.23454140517048017,-1.6542916787548034,0.10502799797173736
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,2,"l(corporate_mortgages, 1)",0.2582586661985634,0.07248042229851767,3.563150682744369,8.808272769476767e-4
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,2,"l(corporate_mortgages, 2)",-0.34547526686979285,0.09742577409923554,-3.54603563650313,9.266441959457034e-4
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,2,"l(pop_temp_shock, 1)",0.006928691970157798,0.004898037968630843,1.414585189933631,0.16407259801793123
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,2,"l(pop_temp_shock, 2)",-5.627852306796597e-4,0.0038749454554811835,-0.14523694259582143,0.8851723903957478
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,2,"l(country_risk_pop_temp_shock_resid, 1)",0.16204397844956805,0.07551076302297163,2.145971937805364,0.03730481704917214
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,2,"l(country_risk_pop_temp_shock_resid, 2)",0.06854530881468066,0.1303707087879697,0.5257723107585487,0.6016279553325286
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,2,as.numeric(date),6.331664072610819e-6,8.584111030092245e-6,0.7376027698633786,0.46458487549515515
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,2,pop_temp_shock:country_risk_pop_temp_shock_resid,0.3155246894722279,0.15611933242074238,2.021048159633986,0.049248062455437884
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,3,pop_temp_shock,0.019622715285175518,0.002710097066397192,7.240595006164112,4.486913279108121e-9
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,3,country_risk_pop_temp_shock_resid,-0.11838321061017133,0.20404374671718128,-0.5801854382445674,0.5646836137669766
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,3,"l(corporate_mortgages, 1)",0.3194333689368167,0.10740591995466524,2.9740760013195335,0.004710545060102829
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,3,"l(corporate_mortgages, 2)",-0.4479919460973214,0.13023843922485992,-3.439782822672284,0.0012663405173174542
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,3,"l(pop_temp_shock, 1)",0.008004953740132287,0.005639660982191858,1.419403358714154,0.1626718048959723
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,3,"l(pop_temp_shock, 2)",-0.0012912157957482968,0.004636726264252309,-0.27847574391077634,0.7819228563315713
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,3,"l(country_risk_pop_temp_shock_resid, 1)",0.1722597501194674,0.09141618286977522,1.88434634560115,0.06598756909572391
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,3,"l(country_risk_pop_temp_shock_resid, 2)",0.19509458168141652,0.14083338673160942,1.3852864452746163,0.17279370878023026
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,3,as.numeric(date),9.442740795967407e-6,1.0816977398608159e-5,0.8729555815825614,0.38732178533752726
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,3,pop_temp_shock:country_risk_pop_temp_shock_resid,0.1842425960752722,0.17549105779822025,1.0498688559226448,0.29938419011771317
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,4,pop_temp_shock,0.019537648653463604,0.0040492642964424265,4.824987262656293,1.6436331236680777e-5
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,4,country_risk_pop_temp_shock_resid,-0.02382561984055169,0.2200691163990393,-0.10826425911280524,0.9142673747589412
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,4,"l(corporate_mortgages, 1)",0.4410704498414873,0.16238746069692317,2.716160767269418,0.009337216751774671
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,4,"l(corporate_mortgages, 2)",-0.6249813578492248,0.17447133829879072,-3.5821434279303435,8.325247981803363e-4
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,4,"l(pop_temp_shock, 1)",0.009011464806935114,0.0062917232796317535,1.4322729094122755,0.15897593099727833
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,4,"l(pop_temp_shock, 2)",-0.0017391881191702243,0.003231032813193487,-0.5382762168395455,0.5930390337939477
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,4,"l(country_risk_pop_temp_shock_resid, 1)",0.3322060288099182,0.09169283419960979,3.6230315237799893,7.370074776289704e-4
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,4,"l(country_risk_pop_temp_shock_resid, 2)",0.2964070824029489,0.16512232074746858,1.7950758023578286,0.07935952772398237
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,4,as.numeric(date),1.505518855558375e-5,1.245322274291847e-5,1.208939153051357,0.2330001510060964
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,4,pop_temp_shock:country_risk_pop_temp_shock_resid,0.0663981597645796,0.19740007267100274,0.33636340081415395,0.7381603768689342
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,5,pop_temp_shock,0.01997442994605111,0.004791539362235651,4.168687437586108,1.3744802041296884e-4
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,5,country_risk_pop_temp_shock_resid,0.39117577300480727,0.280582311377504,1.3941569270149303,0.17011627434174537
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,5,"l(corporate_mortgages, 1)",0.44921530727505987,0.21321850939721387,2.1068307275246796,0.04073931151434672
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,5,"l(corporate_mortgages, 2)",-0.6883899719231573,0.22637827729929308,-3.040883516456139,0.003924659931801163
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,5,"l(pop_temp_shock, 1)",0.011171938203408251,0.006953284272146561,1.6067138586812504,0.11511238390982324
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,5,"l(pop_temp_shock, 2)",-0.0026344397221653828,0.0033068000079859625,-0.7966734352858288,0.42982399236888835
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,5,"l(country_risk_pop_temp_shock_resid, 1)",0.4500090753719076,0.13563468069172852,3.317802446077132,0.0018025327545194108
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,5,"l(country_risk_pop_temp_shock_resid, 2)",0.37721019233296404,0.17193413890875892,2.1939225957512716,0.03344642004967629
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,5,as.numeric(date),2.027875337140907e-5,1.3782430239446706e-5,1.471348159874536,0.14815603884240447
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,5,pop_temp_shock:country_risk_pop_temp_shock_resid,-0.20083079316788016,0.25787068515449774,-0.7788042795463807,0.44017134583071826
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,6,pop_temp_shock,0.02046407178487706,0.007060748506862175,2.898286458579924,0.005830313719979149
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,6,country_risk_pop_temp_shock_resid,0.5992283486777014,0.4968613027665549,1.206027407127825,0.23425213103577197
corporate_mortgages__country_risk__pop_temp_shock,corporate_mortgages,country_risk,pop_temp_shock,6,"l(corporate_mortgages, 1)",0.31939540502625746,0.23614982310645247,1.3525117267705056,0.18312199243101082
