model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,land_temp_shock,0.007660202084534686,0.005867675268345476,1.305491823288076,0.19836082425244192
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,forward_guidance_land_temp_shock_resid,3.317619490854429e-5,0.0010396149615226754,0.031912002170450364,0.9746833509749521
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(corporate_mortgages, 1)",0.2445443679105627,0.07406591805150435,3.301712506155802,0.001887606904786518
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(corporate_mortgages, 2)",-0.26534491582659914,0.07628847390298485,-3.478178317789331,0.0011317593221348069
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(land_temp_shock, 1)",0.0201980043811624,0.01234488663254582,1.6361433670774077,0.10878574280742909
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(land_temp_shock, 2)",0.0028612444127833554,0.009337462842722515,0.30642632382878704,0.7606934207749654
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(forward_guidance_land_temp_shock_resid, 1)",0.0013308016009267042,0.0019437115821718705,0.6846703045519176,0.4970634396895236
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,"l(forward_guidance_land_temp_shock_resid, 2)",-3.826761892223833e-4,0.0011699106521008346,-0.3270986451274746,0.745110024907641
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,as.numeric(date),5.405228664480165e-6,9.627325277048455e-6,0.5614465605900147,0.5772787211361141
corporate_mortgages__forward_guidance__land_temp_shock,corporate_mortgages,forward_guidance,land_temp_shock,0,land_temp_shock:forward_guidance_land_temp_shock_resid,-2.704449417321324e-4,4.688583846523721e-4,-0.5768158373293242,0.5669383443519276
