model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,0,land_precip_shock,-0.0020502790770573942,0.0011148616599981605,-1.839043489091532,0.07209900367557243
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,0,romer_surprise_land_precip_shock_resid,0.02032793014507352,0.004964704308558324,4.09448959730221,1.6145192142951844e-4
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,0,"l(corporate_secured_credit, 1)",0.39293122343227455,0.06746995327257954,5.823795695319767,4.6542319271756294e-7
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,0,"l(corporate_secured_credit, 2)",-0.4254041596925773,0.06713524128262306,-6.3365253712536624,7.660272681047823e-8
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,0,"l(land_precip_shock, 1)",0.0016810590885425664,0.0010712843640710253,1.5691996867706672,0.1231708542046826
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,0,"l(land_precip_shock, 2)",0.003232820905452686,0.0010562403570029074,3.060686787830989,0.0036101211910057303
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,0,"l(romer_surprise_land_precip_shock_resid, 1)",-0.014567232268051946,0.006595237572276969,-2.2087501941226795,0.03199964696231052
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,0,"l(romer_surprise_land_precip_shock_resid, 2)",0.029737254779110746,0.005636403984768738,5.275926789397952,3.1307696237548374e-6
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,0,as.numeric(date),1.9149098174348194e-5,2.8640073252113366e-6,6.686120529714487,2.228160404631262e-8
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,0,land_precip_shock:romer_surprise_land_precip_shock_resid,-0.0031116431467516697,0.005638072986036571,-0.5518983444269102,0.5835785691956155
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,1,land_precip_shock,-3.8562082355792177e-4,0.0016712818876442233,-0.23073356230855738,0.8185024386355854
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,1,romer_surprise_land_precip_shock_resid,0.02464439693467918,0.01111921182670745,2.2163798404744237,0.031438793897006746
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,1,"l(corporate_secured_credit, 1)",0.5902520951254033,0.14650330344057036,4.028933691347386,1.9891564289713858e-4
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,1,"l(corporate_secured_credit, 2)",-0.6682156360574023,0.14784044575695549,-4.5198432177073204,4.0465118268532195e-5
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,1,"l(land_precip_shock, 1)",0.00589245592801366,0.002460502458485825,2.3948181428112996,0.02058037007991208
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,1,"l(land_precip_shock, 2)",0.004916171554164624,0.0016014167364831631,3.0698889565503875,0.0035186276495439844
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,1,"l(romer_surprise_land_precip_shock_resid, 1)",0.0056271156327195974,0.01429045380613359,0.39376745546767655,0.6954965472075604
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,1,"l(romer_surprise_land_precip_shock_resid, 2)",0.0415836460193943,0.011749165171068504,3.5392851674084143,9.027069415267887e-4
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,1,as.numeric(date),4.4304642441649515e-5,6.636851993114193e-6,6.675550771301826,2.3129521540091956e-8
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,1,land_precip_shock:romer_surprise_land_precip_shock_resid,-0.005918104072097877,0.01009315377376684,-0.5863483510456016,0.5603888853519325
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,2,land_precip_shock,-0.18835338246272604,0.17086359789621458,-1.102361092601685,0.275801378590263
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,2,romer_surprise_land_precip_shock_resid,1.355847872002388,1.2200188327979606,1.1113335594114728,0.27196053528498254
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,2,"l(corporate_secured_credit, 1)",-11.22792771508935,8.477214989520157,-1.3244830677256298,0.19161455750540615
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,2,"l(corporate_secured_credit, 2)",8.44214849278747,7.4298526306212,1.1362470983602315,0.2614943826699209
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,2,"l(land_precip_shock, 1)",-0.10035305786992757,0.13413081896148565,-0.7481730048837095,0.4580060686181302
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,2,"l(land_precip_shock, 2)",-1.0177024750163408,0.7718780394390816,-1.3184757474845354,0.19360124238603105
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,2,"l(romer_surprise_land_precip_shock_resid, 1)",1.598548558169169,1.3592957005639377,1.1760123698662266,0.24538978743620246
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,2,"l(romer_surprise_land_precip_shock_resid, 2)",1.3900151292857974,2.320458518463274,0.5990260624035358,0.5519723644831186
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,2,as.numeric(date),4.3443308300679194e-4,4.981519769757318e-4,0.8720894487746979,0.3875010673692386
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,2,land_precip_shock:romer_surprise_land_precip_shock_resid,1.563016110814671,0.7006144729210447,2.2309218139586076,0.030393857900179094
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,3,land_precip_shock,-0.09644637825503541,0.2124680285848103,-0.45393360543436856,0.651965893920027
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,3,romer_surprise_land_precip_shock_resid,2.572717701592328,2.0501014273645795,1.2549221551928655,0.21571134134268322
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,3,"l(corporate_secured_credit, 1)",-13.277359572939218,10.78243738155795,-1.2313875891965327,0.22430403809858612
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,3,"l(corporate_secured_credit, 2)",9.455676670828684,8.743046428833392,1.0815082303171963,0.2849891421814294
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,3,"l(land_precip_shock, 1)",-0.9054961177009268,0.828137334930421,-1.0934129878071557,0.2797851013768385
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,3,"l(land_precip_shock, 2)",-1.3409045961210602,1.1473464874297359,-1.1687006591399687,0.24841796837328703
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,3,"l(romer_surprise_land_precip_shock_resid, 1)",1.690124375340034,1.004969173513417,1.6817673814125897,0.09924785581140268
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,3,"l(romer_surprise_land_precip_shock_resid, 2)",1.8538554495086115,2.8316763258217974,0.6546848001671213,0.5158619873385815
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,3,as.numeric(date),0.001121729537098612,0.0010770446615503422,1.0414884146809182,0.3029768455001779
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,3,land_precip_shock:romer_surprise_land_precip_shock_resid,0.7583941942417168,0.5223888770711395,1.4517809002630007,0.15320552948443797
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,4,land_precip_shock,-1.02482619747538,0.7484054148703084,-1.369346315663647,0.1775397890242302
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,4,romer_surprise_land_precip_shock_resid,1.163183216145572,0.9070447867230516,1.2823878524762717,0.2061315733260508
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,4,"l(corporate_secured_credit, 1)",-7.4300314145599735,6.802332501207104,-1.0922770113400782,0.2803991182498381
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,4,"l(corporate_secured_credit, 2)",4.450878451604906,5.438687693365318,0.818373604543345,0.4173632521377848
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,4,"l(land_precip_shock, 1)",-0.7797026098038036,0.9167300462940291,-0.8505258586819835,0.39943838661682507
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,4,"l(land_precip_shock, 2)",1.4545387052006156e-4,0.21324324858370297,6.82103051262453e-4,0.9994587101181402
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,4,"l(romer_surprise_land_precip_shock_resid, 1)",4.314597206101963,3.2349987606765964,1.3337245313811403,0.18886068104798792
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,4,"l(romer_surprise_land_precip_shock_resid, 2)",-2.141419184415324,1.4139931373904138,-1.5144480745977358,0.13675381555672017
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,4,as.numeric(date),2.7290042326293573e-4,9.483839516421067e-4,0.2877531012523087,0.7748282144597889
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,4,land_precip_shock:romer_surprise_land_precip_shock_resid,2.885401362265015,1.2904052924811875,2.236042721676206,0.030241544175421596
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,5,land_precip_shock,-1.3122700718814546,0.9391770729911753,-1.3972552244083423,0.16918870505027092
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,5,romer_surprise_land_precip_shock_resid,1.194894369710387,2.2297816938206814,0.5358795316248929,0.5946808107473789
corporate_secured_credit__romer_surprise__land_precip_shock,corporate_secured_credit,romer_surprise,land_precip_shock,5,"l(corporate_secured_credit, 1)",8.069021668128515,7.863423879627327,1.0261460900046169,0.3103072872342281
