model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,0,land_temp_shock,0.010562461099986145,0.004320721418175885,2.4446059066787478,0.018481774133474568
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,0,target_land_temp_shock_resid,5.735600073571029e-4,4.668813210646339e-4,1.2284920845606084,0.2256486145742991
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,0,"l(corporate_secured_credit, 1)",0.44459855913631646,0.09061290799752296,4.906569813965911,1.2547848133579605e-5
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,0,"l(corporate_secured_credit, 2)",-0.48347933894731376,0.09430761826952112,-5.126620179989928,6.0276453236299976e-6
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,0,"l(land_temp_shock, 1)",0.003296015833509293,0.0038744348045175797,0.850708812977353,0.3994352124020313
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,0,"l(land_temp_shock, 2)",-0.016506902357394125,0.0036326125548105876,-4.544085588080238,4.125708854241442e-5
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,0,"l(target_land_temp_shock_resid, 1)",-2.644859758805555e-4,2.368020092434052e-4,-1.1169076509342215,0.2699619815864658
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,0,"l(target_land_temp_shock_resid, 2)",8.963336941897862e-5,1.470785126940312e-4,0.609425318336226,0.5453074457133407
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,0,as.numeric(date),2.227359328209663e-5,4.701828665714709e-6,4.737219253545661,2.194719894317805e-5
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,0,land_temp_shock:target_land_temp_shock_resid,-1.1573953519231638e-4,3.5457222195564147e-4,-0.3264201988355306,0.7456197906430313
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,1,land_temp_shock,0.02070906533941893,0.009394840370553454,2.2043019915833812,0.032659225833187866
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,1,target_land_temp_shock_resid,9.000070799827627e-4,8.796024295174587e-4,1.0231975831132,0.3116836921922236
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,1,"l(corporate_secured_credit, 1)",0.7023355708945759,0.17559887240182967,3.9996587750711425,2.3351765121478867e-4
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,1,"l(corporate_secured_credit, 2)",-0.7942747624516014,0.1842207314399358,-4.311538425904962,8.729632607778371e-5
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,1,"l(land_temp_shock, 1)",-0.012950477484731491,0.004121644314566804,-3.142065762191472,0.0029650928232913083
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,1,"l(land_temp_shock, 2)",-0.02154689084718005,0.005504247395450987,-3.9145934583150432,3.039435991846497e-4
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,1,"l(target_land_temp_shock_resid, 1)",-2.473107749757585e-4,2.7561637213854937e-4,-0.8973007410874636,0.37433415971440154
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,1,"l(target_land_temp_shock_resid, 2)",1.7574524722344773e-4,5.264677544493094e-4,0.33381958484291036,0.740066362591832
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,1,as.numeric(date),5.276038140262864e-5,1.132599450294961e-5,4.658344253026817,2.8425652567133844e-5
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,1,land_temp_shock:target_land_temp_shock_resid,-3.558958853983354e-4,5.837549129675975e-4,-0.6096666212008225,0.5451489726495233
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,2,land_temp_shock,0.013425433909555773,0.015086402376696796,0.8899029453366141,0.37825097750307546
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,2,target_land_temp_shock_resid,0.0015411247572387763,0.0011240273571194147,1.3710740645924064,0.17715125535799958
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,2,"l(corporate_secured_credit, 1)",0.8501788353941218,0.23493337720193375,3.6188082149917857,7.463640809030368e-4
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,2,"l(corporate_secured_credit, 2)",-0.998801560710534,0.2485997051070167,-4.017710158910172,2.2075300624234252e-4
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,2,"l(land_temp_shock, 1)",-0.01778000602519961,0.0054480189605867905,-3.263572714013568,0.0021047419622602943
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,2,"l(land_temp_shock, 2)",-0.03127425762911202,0.009225881515399726,-3.3898395049740686,0.001464352736992092
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,2,"l(target_land_temp_shock_resid, 1)",-2.074424790093053e-4,4.5530767742017525e-4,-0.4556094467475221,0.6508618072266373
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,2,"l(target_land_temp_shock_resid, 2)",9.018349728563901e-4,6.561835083685603e-4,1.3743639718995406,0.17613510988641257
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,2,as.numeric(date),8.491892979953451e-5,1.6758659454870598e-5,5.067167217533881,7.3531557912076395e-6
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,2,land_temp_shock:target_land_temp_shock_resid,-0.0012680686518875943,6.597967204345398e-4,-1.9219080856486355,0.060963098134643165
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,3,land_temp_shock,0.008074641575147297,0.01965212930701788,0.41087871186883546,0.683111554276905
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,3,target_land_temp_shock_resid,0.002248324274356768,0.001339788555055546,1.6781187343875732,0.1002567916982684
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,3,"l(corporate_secured_credit, 1)",0.9283271123171777,0.2425722731399131,3.827012462309443,3.977703614465517e-4
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,3,"l(corporate_secured_credit, 2)",-1.1369831076862398,0.2614946991840652,-4.3480158918476635,7.767802796187496e-5
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,3,"l(land_temp_shock, 1)",-0.02826204547447727,0.005062522751425656,-5.58260117774649,1.2948228208365783e-6
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,3,"l(land_temp_shock, 2)",-0.03408893020626796,0.010856535850696342,-3.139945437022757,0.002982706811399177
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,3,"l(target_land_temp_shock_resid, 1)",3.5144729035677135e-4,5.410219717907932e-4,0.6495989232996842,0.5192536136234125
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,3,"l(target_land_temp_shock_resid, 2)",0.0013737365776989234,7.680412601594217e-4,1.7886234099113087,0.08040866771723933
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,3,as.numeric(date),1.194420363822503e-4,2.2363655716361325e-5,5.340899444041526,2.9338014638918114e-6
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,3,land_temp_shock:target_land_temp_shock_resid,-0.0021168425400272264,8.213920091286989e-4,-2.57714041103552,0.013310876744682296
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,4,land_temp_shock,-0.0034482283932755343,0.02118902717979415,-0.16273651281941645,0.8714544988373183
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,4,target_land_temp_shock_resid,0.0030809957593481486,0.0015945473649368429,1.9322071122485478,0.05964401797646597
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,4,"l(corporate_secured_credit, 1)",0.8977544723049128,0.2571535015650606,3.49112287735183,0.0010895496520980806
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,4,"l(corporate_secured_credit, 2)",-1.1662807887617141,0.27707166042758197,-4.209311002655013,1.208672816984965e-4
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,4,"l(land_temp_shock, 1)",-0.033955317194763225,0.005843228509718928,-5.811054135275731,5.951621489405986e-7
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,4,"l(land_temp_shock, 2)",-0.03500534796478598,0.01316747336940683,-2.6584711419365417,0.010830854314297103
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,4,"l(target_land_temp_shock_resid, 1)",6.881473462814495e-4,5.33588766892719e-4,1.2896586078615957,0.2037582442225842
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,4,"l(target_land_temp_shock_resid, 2)",0.0021477069018296826,8.317190362244004e-4,2.5822505056265475,0.013140936919010204
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,4,as.numeric(date),1.5544097897088365e-4,2.7815165396231993e-5,5.5883535746273365,1.2697832573099129e-6
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,4,land_temp_shock:target_land_temp_shock_resid,-0.0025663842126150034,0.001210051149367101,-2.120889033457232,0.03947510559565217
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,5,land_temp_shock,-0.08824420025419553,0.39936443220270573,-0.22096159081439018,0.8261218817236148
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,5,target_land_temp_shock_resid,-0.024122137795850165,0.051759630095427084,-0.46604154147502946,0.6434338362329441
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,5,"l(corporate_secured_credit, 1)",-0.8977301881546412,6.683824066652771,-0.13431385673863502,0.8937533315512711
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,5,"l(corporate_secured_credit, 2)",-2.301086022246684,7.497424821116873,-0.3069168517389544,0.7603224522666343
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,5,"l(land_temp_shock, 1)",-1.9659597351252058,1.686782401325316,-1.1655088015979644,0.24995389157594639
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,5,"l(land_temp_shock, 2)",1.2035917434063208,1.3492856365195067,0.8920214599712152,0.37712665708633464
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,5,"l(target_land_temp_shock_resid, 1)",0.09147999745678287,0.07925199283531356,1.154292708410238,0.2544736137889667
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,5,"l(target_land_temp_shock_resid, 2)",0.051554220385783424,0.04974658728274719,1.0363368263387014,0.3055820835860321
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,5,as.numeric(date),1.1784239923565192e-4,2.277887541368422e-4,0.5173319450391264,0.6074582342770516
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,5,land_temp_shock:target_land_temp_shock_resid,0.0630457692003804,0.06802039893035541,0.9268656196052535,0.358940938978198
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,6,land_temp_shock,-1.9407583081123148,1.7481288777225508,-1.11019177867522,0.2729469343705689
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,6,target_land_temp_shock_resid,-0.08779604843486048,0.09068003525293998,-0.9681960112825828,0.33823856124071006
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,6,"l(corporate_secured_credit, 1)",6.288165471350207,12.730636632241536,0.49393959257503556,0.6238057277914568
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,6,"l(corporate_secured_credit, 2)",-9.945271350720576,14.109215150822164,-0.7048777160465266,0.4846010394622907
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,6,"l(land_temp_shock, 1)",1.2464157768320887,1.331683784704048,0.935969778372792,0.3543976780710292
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,6,"l(land_temp_shock, 2)",-1.481091648863564,1.2539687733858123,-1.1811232307360433,0.24389887188243384
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,6,"l(target_land_temp_shock_resid, 1)",0.0918513762122596,0.07667867425881933,1.1978738169393317,0.23737920122092887
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,6,"l(target_land_temp_shock_resid, 2)",-0.06561814376182837,0.06095886838746081,-1.0764331014931696,0.2876004803131072
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,6,as.numeric(date),2.3825554409694227e-4,2.2410420360490448e-4,1.0631462518971155,0.29351585568633176
