model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,0,pop_temp_shock,0.008904087449441255,0.005232774940972236,1.70159954324099,0.09573107192316795
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,0,target_pop_temp_shock_resid,4.2916569245344497e-4,4.410532889571254e-4,0.9730472557368549,0.3357314984955819
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,0,"l(corporate_secured_credit, 1)",0.44653286466928915,0.09140308948921216,4.8853147871111195,1.3463522252334369e-5
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,0,"l(corporate_secured_credit, 2)",-0.485932721852863,0.09520328312421286,-5.10415928848652,6.498082493567577e-6
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.00659143432476288,0.0040569745866220214,1.6247166907326225,0.11120761973788736
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.017905592214506896,0.003478527757738567,-5.14746279504969,5.6212907438708505e-6
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,0,"l(target_pop_temp_shock_resid, 1)",-1.8516469801181827e-4,2.3585294533943888e-4,-0.7850853748946394,0.4365174687132649
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,0,"l(target_pop_temp_shock_resid, 2)",6.121780315105844e-5,1.3748631738216716e-4,0.4452646948197245,0.6582631485993177
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,0,as.numeric(date),2.2626271937873156e-5,4.75719367787903e-6,4.756222569428991,2.0617708470037037e-5
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,0,pop_temp_shock:target_pop_temp_shock_resid,1.3505003165425867e-5,3.6650295075763326e-4,0.03684827949545395,0.9707689595941356
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,1,pop_temp_shock,0.021887157437140058,0.010948480613109449,1.9991045525470355,0.05165799002736766
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,1,target_pop_temp_shock_resid,9.300622020213832e-4,9.152385537860244e-4,1.0161964857949204,0.31496854990715467
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,1,"l(corporate_secured_credit, 1)",0.703588121242968,0.1768581484157787,3.978262395854621,2.4957573640779074e-4
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,1,"l(corporate_secured_credit, 2)",-0.7966642023873576,0.1859484238367956,-4.2843288797466705,9.521833915967052e-5
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.009117352525599138,0.0044478576000485685,-2.049830130690241,0.04623534940048517
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.024930273451645103,0.006216580664881505,-4.010287133002287,2.2591794721452295e-4
corporate_secured_credit__target__pop_temp_shock,corporate_secured_credit,target,pop_temp_shock,1,"l(target_pop_temp_shock_resid, 1)",-2.0525278193432272e-4,2.692386128903824e-4,-0.7623452658994687,0.4498315720267392
