model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,0,pop_temp_shock,0.12740901642218375,0.07428226372202569,1.7152010458238802,0.0931877166264173
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,0,forward_guidance_pop_temp_shock_resid,0.003075924443560334,0.007395279273394298,0.41593080259003407,0.679437596097987
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,0,"l(corporate_secured_credit_rate, 1)",0.32189626723033643,0.07261748622640665,4.432765218927145,5.9153530731928235e-5
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,0,"l(corporate_secured_credit_rate, 2)",-0.5008736864556635,0.05429597479238198,-9.22487695212977,6.116468913145556e-12
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.020980382426042457,0.024244596140473883,0.8653632464934257,0.39142957283229896
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,0,"l(pop_temp_shock, 2)",0.02935106860127359,0.06081372952022084,0.4826388519966404,0.6316918313497168
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,0,"l(forward_guidance_pop_temp_shock_resid, 1)",-0.0011858693614713702,0.0034115914089438374,-0.34760005502490476,0.72976121172443
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,0,"l(forward_guidance_pop_temp_shock_resid, 2)",-0.0051147854434314384,0.002037677806290813,-2.510105094947217,0.01573377725137795
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,0,as.numeric(date),2.9192935156200057e-5,4.17514844400279e-5,0.6992071191656185,0.48802111053303654
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,0,pop_temp_shock:forward_guidance_pop_temp_shock_resid,-0.003153275725744566,0.006160600280653021,-0.5118455316192532,0.6112619598968368
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,1,pop_temp_shock,0.22395140686229678,0.12606551168647662,1.7764684715615258,0.0824166591255618
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,1,forward_guidance_pop_temp_shock_resid,0.004252682346967317,0.01155753396083433,0.36795759038032005,0.7146300361409247
corporate_secured_credit_rate__forward_guidance__pop_temp_shock,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,1,"l(corporate_secured_credit_rate, 1)",0.20341468098841428,0.12403293910959312,1.6400053280095297,0.10797701706935572
