model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,0,pop_temp_shock,0.15102216227239773,0.11989178013299687,1.2596540155202274,0.21428838737353947
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,0,target_pop_temp_shock_resid,0.24500631313911772,0.49083176879315804,0.4991655567477461,0.620094430489498
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,0,"l(corporate_secured_credit_rate, 1)",0.32112247890514106,0.0666082114131516,4.8210644317306555,1.6650601701248232e-5
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,0,"l(corporate_secured_credit_rate, 2)",-0.4719614583146778,0.055843323718644616,-8.45152879317429,7.661783383843093e-11
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,0,"l(pop_temp_shock, 1)",-0.0500953337516592,0.07393836533233386,-0.6775282835439167,0.5015395726827787
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.028318397508954582,0.05620778740363026,-0.5038162649171563,0.6168482167869875
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,0,"l(target_pop_temp_shock_resid, 1)",0.14584749829283244,0.34319683985413574,0.4249674861657235,0.6728856176807114
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,0,"l(target_pop_temp_shock_resid, 2)",0.8335102394341529,0.7618198274476514,1.0941041561318876,0.27973137115975083
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,0,as.numeric(date),2.564372585529282e-5,3.3856590441711625e-5,0.7574219825661924,0.4527451412485455
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,0,pop_temp_shock:target_pop_temp_shock_resid,-0.8138888861815684,0.7126263843860183,-1.1420976040380477,0.25945420079271436
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,1,pop_temp_shock,0.24767135367731777,0.19813469000016656,1.2500150966855403,0.21775585582249535
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,1,target_pop_temp_shock_resid,1.1131127022864666,0.9515321562364585,1.1698109149449016,0.24823574749096042
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,1,"l(corporate_secured_credit_rate, 1)",0.18812148295580158,0.11545554992583691,1.6293844953892798,0.11021301810214647
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,1,"l(corporate_secured_credit_rate, 2)",-0.4672221672932281,0.0845838144346262,-5.5237774557251536,1.5807691348860649e-6
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.07092777783001773,0.09889736184433924,-0.7171857419377415,0.4769658676933809
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.21348930731093374,0.11991191425649543,-1.7803844483232356,0.08176520154681091
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,1,"l(target_pop_temp_shock_resid, 1)",0.8513406066258187,0.3484689621101012,2.44308876598551,0.01855028137186065
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,1,"l(target_pop_temp_shock_resid, 2)",2.414286049627966,1.3542591817605518,1.7827355960691125,0.08137614541341462
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,1,as.numeric(date),4.7233114201765395e-5,6.746552873357592e-5,0.7001073746607821,0.48746415580073077
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,1,pop_temp_shock:target_pop_temp_shock_resid,-2.1199554676836345,1.3967754765949338,-1.5177496334999183,0.1360721970235512
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,2,pop_temp_shock,0.26068369170894795,0.2337982049490758,1.1149944105247864,0.27077223334165956
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,2,target_pop_temp_shock_resid,2.7276771331337764,1.2636617234915752,2.1585500948758947,0.036256542737415444
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,2,"l(corporate_secured_credit_rate, 1)",0.07569763119276193,0.1351901518188804,0.5599345083521842,0.578300964911566
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,2,"l(corporate_secured_credit_rate, 2)",-0.4400905253818302,0.10212760910067228,-4.309221857411848,8.794494144007111e-5
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,2,"l(pop_temp_shock, 1)",-0.2745246944743252,0.12446981122724331,-2.2055524288787436,0.03256550553312753
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,2,"l(pop_temp_shock, 2)",-0.18137735512727282,0.13709938770933833,-1.322962546789832,0.192531375689756
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,2,"l(target_pop_temp_shock_resid, 1)",2.1284396207374345,0.42906797977938327,4.960611653733351,1.0487090293646867e-5
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,2,"l(target_pop_temp_shock_resid, 2)",3.436862722755705,1.6046690247334148,2.1417891601208385,0.03765927365010177
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,2,as.numeric(date),6.683607914259717e-5,9.362489422005579e-5,0.7138708107429822,0.4789935401928226
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,2,pop_temp_shock:target_pop_temp_shock_resid,-3.1200358598165385,1.6571750006094272,-1.8827437408053724,0.06620956966143897
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,3,pop_temp_shock,0.04964670487254172,0.20318924985106043,0.2443372614886526,0.8080802897170982
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,3,target_pop_temp_shock_resid,4.889002804750171,1.1587877591431546,4.219066663566811,1.1718533168565347e-4
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,3,"l(corporate_secured_credit_rate, 1)",0.08994363476613815,0.1192805307031428,0.7540512624812484,0.4547462508268123
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,3,"l(corporate_secured_credit_rate, 2)",-0.5660998191708502,0.07660439516559021,-7.38991304542191,2.7008549905212317e-9
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,3,"l(pop_temp_shock, 1)",-0.3032246557976828,0.105320602238259,-2.8790630641450394,0.006084282860532394
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,3,"l(pop_temp_shock, 2)",-0.07590134167129634,0.11881654909839315,-0.6388111946294761,0.5261840373161302
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,3,"l(target_pop_temp_shock_resid, 1)",2.985857873268468,0.5304633139384759,5.628773554762306,1.106898440915657e-6
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,3,"l(target_pop_temp_shock_resid, 2)",3.5666544676294607,1.306659361488228,2.7295977610929882,0.00901774502858973
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,3,as.numeric(date),7.861566312295956e-5,1.0837104608744508e-4,0.7254305089896819,0.47194384465688943
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,3,pop_temp_shock:target_pop_temp_shock_resid,-3.878419722332265,1.5334765931758412,-2.5291678657448755,0.015006870531540883
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,4,pop_temp_shock,-0.05396100637363047,0.19129473458583302,-0.2820830719175829,0.7791731221186213
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,4,target_pop_temp_shock_resid,6.140994983680769,1.3875507317051627,4.425780509037023,6.050054018040853e-5
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,4,"l(corporate_secured_credit_rate, 1)",-0.04722198492407836,0.11429754156220465,-0.4131496117821443,0.6814591542502334
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,4,"l(corporate_secured_credit_rate, 2)",-0.6145547901315864,0.06361459808747282,-9.660593772620352,1.5166642265002584e-12
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,4,"l(pop_temp_shock, 1)",-0.26700786121829534,0.07826932726275403,-3.411398443759925,0.001375505608687727
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,4,"l(pop_temp_shock, 2)",-0.009755838471939568,0.1268472038511532,-0.07691015785722324,0.9390359598821365
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,4,"l(target_pop_temp_shock_resid, 1)",3.186668995948167,0.5846507057459329,5.450551867345172,2.0256556808582605e-6
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,4,"l(target_pop_temp_shock_resid, 2)",3.048770870420539,0.9226733526230514,3.3042797451050725,0.001873781978698948
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,4,as.numeric(date),1.073960880741037e-4,1.2319136491341937e-4,0.8717825973401885,0.38795464116183664
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,4,pop_temp_shock:target_pop_temp_shock_resid,-4.166306570522229,1.5457629624693643,-2.6953075417634103,0.00985372802061317
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,5,pop_temp_shock,-0.07275103433280232,0.17326782027633006,-0.4198762021521244,0.6765738979228866
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,5,target_pop_temp_shock_resid,6.344489322472759,1.6428510492112183,3.861877390235066,3.5747614510632297e-4
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,5,"l(corporate_secured_credit_rate, 1)",-0.4016382961809352,0.1600039755147977,-2.510176980845019,0.015730976965946657
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,5,"l(corporate_secured_credit_rate, 2)",-0.44381128615263904,0.10624928582912643,-4.177075475748523,1.3385242619430858e-4
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,5,"l(pop_temp_shock, 1)",-0.21334071409096347,0.08550210875522418,-2.4951514903768772,0.016326235231166032
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,5,"l(pop_temp_shock, 2)",-0.07857622945698521,0.18770903627287094,-0.4186065360367609,0.6774949376157784
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,5,"l(target_pop_temp_shock_resid, 1)",2.8132966291722505,0.4408512843715804,6.381509431649986,8.460009454596275e-8
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,5,"l(target_pop_temp_shock_resid, 2)",2.5380624358234303,0.7668252196348938,3.3098317202345933,0.0018442117934785198
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,5,as.numeric(date),1.373325123951918e-4,1.425593580787234e-4,0.9633356536254515,0.3405275062419051
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,5,pop_temp_shock:target_pop_temp_shock_resid,-4.075888590186091,1.5024743905318447,-2.7127840686477933,0.009419123971819189
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,6,pop_temp_shock,-0.09550965225540442,0.1314363987459256,-0.7266605990934846,0.4712823069352079
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,6,target_pop_temp_shock_resid,4.984206031114021,1.2298288824829737,4.05276384552875,2.0292536947343396e-4
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,6,"l(corporate_secured_credit_rate, 1)",-0.6398423284920486,0.18842769553272798,-3.3956915233881553,0.0014608070994444765
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,6,"l(corporate_secured_credit_rate, 2)",-0.35862715667865724,0.1536096934484528,-2.3346648810219954,0.024188234086786664
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,6,"l(pop_temp_shock, 1)",-0.2696696560318519,0.10420286558524036,-2.587929367559051,0.013033761355263632
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,6,"l(pop_temp_shock, 2)",-0.1722029266898008,0.25992276363042444,-0.6625157576988926,0.5110963595722882
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,6,"l(target_pop_temp_shock_resid, 1)",2.510264653071752,0.4244947009242019,5.913535899521127,4.521100714085484e-7
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,6,"l(target_pop_temp_shock_resid, 2)",1.7188966544197954,0.6227424813795728,2.760204588278436,0.008390123220754116
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,6,as.numeric(date),1.3159458038657277e-4,1.5809569547225362e-4,0.8323729497724883,0.40969364558705146
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,6,pop_temp_shock:target_pop_temp_shock_resid,-2.9245632059914906,1.0273854396986484,-2.846607605076942,0.006688572679543883
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,7,pop_temp_shock,-0.23265750771923363,0.13906133067685564,-1.6730568202304386,0.10157728296622162
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,7,target_pop_temp_shock_resid,3.107659335597938,1.0961376971128545,2.835099407477074,0.006954086223548709
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,7,"l(corporate_secured_credit_rate, 1)",-0.7626521045606955,0.17755888705620435,-4.295206605565658,9.778337292442364e-5
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,7,"l(corporate_secured_credit_rate, 2)",-0.36520318618156866,0.19294206262541927,-1.892812698341366,0.06512627375515558
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,7,"l(pop_temp_shock, 1)",-0.3112293185596226,0.1517810655241026,-2.0505147824924177,0.046441070152716875
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,7,"l(pop_temp_shock, 2)",-0.19480856838933625,0.2804428919082585,-0.6946461258610331,0.49101362615002675
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,7,"l(target_pop_temp_shock_resid, 1)",1.9351496856020414,0.42205098333269947,4.585108818658001,3.889214689135449e-5
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,7,"l(target_pop_temp_shock_resid, 2)",0.9071199001564926,0.5580538775910566,1.625505953067192,0.11136281191618921
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,7,as.numeric(date),1.2023041332338626e-4,1.7307133691531388e-4,0.6946870317539444,0.4909882413030795
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,7,pop_temp_shock:target_pop_temp_shock_resid,-1.3013310710668968,1.2739257913948612,-1.021512461602672,0.31272465691045814
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,8,pop_temp_shock,-0.42231735856471947,0.24515572990798015,-1.7226493491432462,0.09230892135606175
corporate_secured_credit_rate__target__pop_temp_shock,corporate_secured_credit_rate,target,pop_temp_shock,8,target_pop_temp_shock_resid,0.09152465346706674,1.5897335910440678,0.05757232154033893,0.9543623373300525
