model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,0,land_precip_shock,0.0015635568881909995,0.005635845664389181,0.2774307497578466,0.7827199454639471
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,0,central_bank_information_land_precip_shock_resid,9.813287149667462e-4,0.0015498342899118727,0.6331829934041187,0.5298190979846003
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,0,"l(corporate_unsecured_credit, 1)",0.17756124564055975,0.09240405081719884,1.9215742607629374,0.06100626847886538
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,0,"l(corporate_unsecured_credit, 2)",-0.23364525199041436,0.08769512869052672,-2.6642899723078224,0.01067080402160165
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,0,"l(land_precip_shock, 1)",-0.00269241853752218,0.004092138271802919,-0.6579490620037017,0.513922811503025
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,0,"l(land_precip_shock, 2)",0.0023207752552604245,0.006611001085903149,0.3510474775460389,0.7271909827913965
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,0,"l(central_bank_information_land_precip_shock_resid, 1)",-0.0015502123049030763,0.0011481883202745775,-1.3501376712596753,0.18372385746236755
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,0,"l(central_bank_information_land_precip_shock_resid, 2)",-8.497912110397776e-4,8.197280935921231e-4,-1.0366744993646797,0.3054263612141042
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,0,as.numeric(date),2.118353811764884e-5,7.65262443616223e-6,2.76814030197885,0.008156497259375681
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,0,land_precip_shock:central_bank_information_land_precip_shock_resid,-9.358069473448361e-4,5.648584667508122e-4,-1.6567104902008456,0.10453530212026003
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,1,land_precip_shock,-0.0041463413014278085,0.005372878265218387,-0.7717169637490894,0.44431592067960624
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,1,central_bank_information_land_precip_shock_resid,7.679287058950797e-5,0.0022311662561599285,0.03441826460824868,0.9726958388288692
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,1,"l(corporate_unsecured_credit, 1)",0.20903102198755857,0.10645158873784238,1.9636251977632562,0.05577022766880542
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,1,"l(corporate_unsecured_credit, 2)",-0.33179715371230234,0.09701551418194652,-3.4200422119088865,0.001341346425698705
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,1,"l(land_precip_shock, 1)",-0.0016446323515604017,0.007007900016916842,-0.23468262212507496,0.8155196671432865
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,1,"l(land_precip_shock, 2)",0.00791200301303501,0.005054582723101311,1.5653127956288522,0.12451554948373313
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,1,"l(central_bank_information_land_precip_shock_resid, 1)",-0.0033418746035790174,0.0010833563701668693,-3.084741730059028,0.003477535836143982
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,1,"l(central_bank_information_land_precip_shock_resid, 2)",-0.0037358804498486436,0.0011854053565181872,-3.151563664957444,0.0028873885063589967
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,1,as.numeric(date),4.758052438748094e-5,1.4065148544601798e-5,3.3828668240935387,0.0014942391883912569
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,1,land_precip_shock:central_bank_information_land_precip_shock_resid,-0.0019051197968865238,0.00055567379934157125,-3.428485919515978,0.0013087596539063239
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,2,land_precip_shock,-0.0033663435092644535,0.008241409971708998,-0.40846693961596287,0.6848681787505719
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,2,central_bank_information_land_precip_shock_resid,-0.0023664759167060677,0.0026369667144779947,-0.8974235069836775,0.37426937982183117
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,2,"l(corporate_unsecured_credit, 1)",0.1807647873219559,0.1452504883820196,1.2445038177533079,0.21975710724832662
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,2,"l(corporate_unsecured_credit, 2)",-0.3601996214428326,0.13190108386158952,-2.7308313995418585,0.008988925846721282
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,2,"l(land_precip_shock, 1)",0.004607201580323268,0.006790299471922137,0.6784975536607817,0.5009308089000704
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,2,"l(land_precip_shock, 2)",0.015402401525267072,0.009685778003058707,1.5902079853991173,0.11878971596196633
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,2,"l(central_bank_information_land_precip_shock_resid, 1)",-0.005707846863995184,0.0022481876470687497,-2.538865859990484,0.014648917511909406
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,2,"l(central_bank_information_land_precip_shock_resid, 2)",-0.0010358702272825228,0.0017429026914140275,-0.5943362371206823,0.5552637400193257
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,2,as.numeric(date),6.520093188932692e-5,1.9813537583521936e-5,3.2907264346146707,0.001947869251912898
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,2,land_precip_shock:central_bank_information_land_precip_shock_resid,-0.003012744289175524,8.486019295615054e-4,-3.5502444482211906,9.151701587437567e-4
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,3,land_precip_shock,0.003201425464599856,0.010402610772161381,0.30775211480249265,0.7596909041694491
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,3,central_bank_information_land_precip_shock_resid,-0.006631761931626929,0.0016725956039320537,-3.964952386599919,2.60099391622586e-4
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,3,"l(corporate_unsecured_credit, 1)",0.09188659165142019,0.11438112356084273,0.8033370261706073,0.42600303724960165
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,3,"l(corporate_unsecured_credit, 2)",-0.3175747175443236,0.1084812271242038,-2.9274624371710107,0.005343595294240228
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,3,"l(land_precip_shock, 1)",0.009553486454828355,0.008751104433379023,1.0916892293490221,0.2807803330412909
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,3,"l(land_precip_shock, 2)",0.01966358041767039,0.010054123316781521,1.9557727509517961,0.05671754888703452
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,3,"l(central_bank_information_land_precip_shock_resid, 1)",-0.0031157230963106256,0.0020974137618140604,-1.4855071293209339,0.14438203944986197
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,3,"l(central_bank_information_land_precip_shock_resid, 2)",9.396753090196253e-4,0.0028554819457053794,0.329077657252531,0.7436237098313065
